edit_seed,variant,unlearn_accuracy,preserve_accuracy,overall_accuracy
20260820,official,19.75,40.611111111111114,53.930360836589294
20260820,constant_mean,19.333333333333332,40.888888888888886,54.26934795856185
20260820,shuffled,19.666666666666668,40.611111111111114,53.949165518297356
20260820,identity_B,19.333333333333332,40.94444444444444,54.31825795644891
20260821,official,19.0,40.44444444444444,53.950594693504115
20260821,constant_mean,19.083333333333332,40.77777777777778,54.22764969945979
20260821,shuffled,19.416666666666668,40.5,53.907088781830694
20260821,identity_B,19.25,40.388888888888886,53.845677596881444
20260822,official,19.75,40.22222222222222,53.58635001152871
20260822,constant_mean,18.916666666666668,40.72222222222222,54.215811478525275
20260822,shuffled,19.166666666666668,40.27777777777778,53.765290519877674
20260822,identity_B,19.166666666666668,40.77777777777778,54.2089234049033
20260823,official,18.833333333333332,40.77777777777778,54.283675018982535
20260823,constant_mean,19.75,40.72222222222222,54.028243398392654
20260823,shuffled,18.416666666666668,40.94444444444444,54.52452202826268
20260823,identity_B,19.416666666666668,40.666666666666664,54.0545246277205
20260824,official,19.0,40.22222222222222,53.75252062328139
20260824,constant_mean,18.833333333333332,40.94444444444444,54.43114952987565
20260824,shuffled,19.0,41.0,54.442622950819676
20260824,identity_B,19.0,40.611111111111114,54.098675194152584
