edit_seed,variant,role,concept,accuracy,delta_vs_official
20260820,official,target,golden retriever,13.333333333333334,
20260820,official,target,labrador retriever,20.0,
20260820,official,retain,german shepherd,45.833333333333336,
20260820,official,retain,chesapeake bay retriever,10.0,
20260820,official,retain,pug,82.5,
20260820,official,target,tabby,13.333333333333334,
20260820,official,target,tiger cat,42.5,
20260820,official,retain,persian cat,19.166666666666668,
20260820,official,retain,siamese cat,38.333333333333336,
20260820,official,retain,egyptian cat,0.8333333333333334,
20260820,official,target,orange,8.333333333333334,
20260820,official,target,lemon,11.666666666666666,
20260820,official,retain,pomegranate,17.5,
20260820,official,retain,fig,15.0,
20260820,official,retain,granny smith,23.333333333333332,
20260820,official,target,yawl,36.666666666666664,
20260820,official,target,lifeboat,5.0,
20260820,official,retain,speedboat,98.33333333333333,
20260820,official,retain,catamaran,88.33333333333333,
20260820,official,retain,schooner,89.16666666666667,
20260820,official,target,soccer ball,36.666666666666664,
20260820,official,target,volleyball,10.0,
20260820,official,retain,tennis ball,19.166666666666668,
20260820,official,retain,rugby ball,27.5,
20260820,official,retain,ping-pong ball,34.166666666666664,
20260820,constant_mean,target,golden retriever,13.333333333333334,0.0
20260820,constant_mean,target,labrador retriever,20.0,0.0
20260820,constant_mean,retain,german shepherd,46.666666666666664,0.8333333333333286
20260820,constant_mean,retain,chesapeake bay retriever,7.5,-2.5
20260820,constant_mean,retain,pug,83.33333333333333,0.8333333333333286
20260820,constant_mean,target,tabby,12.5,-0.8333333333333339
20260820,constant_mean,target,tiger cat,43.333333333333336,0.8333333333333357
20260820,constant_mean,retain,persian cat,19.166666666666668,0.0
20260820,constant_mean,retain,siamese cat,35.833333333333336,-2.5
20260820,constant_mean,retain,egyptian cat,0.0,-0.8333333333333334
20260820,constant_mean,target,orange,5.833333333333333,-2.500000000000001
20260820,constant_mean,target,lemon,10.0,-1.666666666666666
20260820,constant_mean,retain,pomegranate,20.0,2.5
20260820,constant_mean,retain,fig,13.333333333333334,-1.666666666666666
20260820,constant_mean,retain,granny smith,20.0,-3.333333333333332
20260820,constant_mean,target,yawl,40.833333333333336,4.166666666666671
20260820,constant_mean,target,lifeboat,4.166666666666667,-0.833333333333333
20260820,constant_mean,retain,speedboat,98.33333333333333,0.0
20260820,constant_mean,retain,catamaran,91.66666666666667,3.333333333333343
20260820,constant_mean,retain,schooner,93.33333333333333,4.166666666666657
20260820,constant_mean,target,soccer ball,34.166666666666664,-2.5
20260820,constant_mean,target,volleyball,9.166666666666666,-0.8333333333333339
20260820,constant_mean,retain,tennis ball,20.0,0.8333333333333321
20260820,constant_mean,retain,rugby ball,28.333333333333332,0.8333333333333321
20260820,constant_mean,retain,ping-pong ball,35.833333333333336,1.6666666666666714
20260820,shuffled,target,golden retriever,12.5,-0.8333333333333339
20260820,shuffled,target,labrador retriever,19.166666666666668,-0.8333333333333321
20260820,shuffled,retain,german shepherd,44.166666666666664,-1.6666666666666714
20260820,shuffled,retain,chesapeake bay retriever,10.833333333333334,0.8333333333333339
20260820,shuffled,retain,pug,82.5,0.0
20260820,shuffled,target,tabby,12.5,-0.8333333333333339
20260820,shuffled,target,tiger cat,41.666666666666664,-0.8333333333333357
20260820,shuffled,retain,persian cat,19.166666666666668,0.0
20260820,shuffled,retain,siamese cat,38.333333333333336,0.0
20260820,shuffled,retain,egyptian cat,0.8333333333333334,0.0
20260820,shuffled,target,orange,9.166666666666666,0.8333333333333321
20260820,shuffled,target,lemon,11.666666666666666,0.0
20260820,shuffled,retain,pomegranate,17.5,0.0
20260820,shuffled,retain,fig,14.166666666666666,-0.8333333333333339
20260820,shuffled,retain,granny smith,21.666666666666668,-1.6666666666666643
20260820,shuffled,target,yawl,37.5,0.8333333333333357
20260820,shuffled,target,lifeboat,5.833333333333333,0.833333333333333
20260820,shuffled,retain,speedboat,98.33333333333333,0.0
20260820,shuffled,retain,catamaran,91.66666666666667,3.333333333333343
20260820,shuffled,retain,schooner,89.16666666666667,0.0
20260820,shuffled,target,soccer ball,35.0,-1.6666666666666643
20260820,shuffled,target,volleyball,11.666666666666666,1.666666666666666
20260820,shuffled,retain,tennis ball,20.0,0.8333333333333321
20260820,shuffled,retain,rugby ball,27.5,0.0
20260820,shuffled,retain,ping-pong ball,33.333333333333336,-0.8333333333333286
20260820,identity_B,target,golden retriever,15.833333333333334,2.5
20260820,identity_B,target,labrador retriever,19.166666666666668,-0.8333333333333321
20260820,identity_B,retain,german shepherd,44.166666666666664,-1.6666666666666714
20260820,identity_B,retain,chesapeake bay retriever,10.833333333333334,0.8333333333333339
20260820,identity_B,retain,pug,81.66666666666667,-0.8333333333333286
20260820,identity_B,target,tabby,10.833333333333334,-2.5
20260820,identity_B,target,tiger cat,44.166666666666664,1.6666666666666643
20260820,identity_B,retain,persian cat,20.833333333333332,1.6666666666666643
20260820,identity_B,retain,siamese cat,37.5,-0.8333333333333357
20260820,identity_B,retain,egyptian cat,0.8333333333333334,0.0
20260820,identity_B,target,orange,6.666666666666667,-1.666666666666667
20260820,identity_B,target,lemon,9.166666666666666,-2.5
20260820,identity_B,retain,pomegranate,20.0,2.5
20260820,identity_B,retain,fig,14.166666666666666,-0.8333333333333339
20260820,identity_B,retain,granny smith,20.833333333333332,-2.5
20260820,identity_B,target,yawl,39.166666666666664,2.5
20260820,identity_B,target,lifeboat,4.166666666666667,-0.833333333333333
20260820,identity_B,retain,speedboat,98.33333333333333,0.0
20260820,identity_B,retain,catamaran,90.0,1.6666666666666714
20260820,identity_B,retain,schooner,94.16666666666667,5.0
20260820,identity_B,target,soccer ball,33.333333333333336,-3.3333333333333286
20260820,identity_B,target,volleyball,10.833333333333334,0.8333333333333339
20260820,identity_B,retain,tennis ball,19.166666666666668,0.0
20260820,identity_B,retain,rugby ball,30.0,2.5
20260820,identity_B,retain,ping-pong ball,31.666666666666668,-2.4999999999999964
20260821,official,target,golden retriever,11.666666666666666,
20260821,official,target,labrador retriever,19.166666666666668,
20260821,official,retain,german shepherd,47.5,
20260821,official,retain,chesapeake bay retriever,6.666666666666667,
20260821,official,retain,pug,82.5,
20260821,official,target,tabby,9.166666666666666,
20260821,official,target,tiger cat,43.333333333333336,
20260821,official,retain,persian cat,19.166666666666668,
20260821,official,retain,siamese cat,35.833333333333336,
20260821,official,retain,egyptian cat,0.0,
20260821,official,target,orange,7.5,
20260821,official,target,lemon,10.833333333333334,
20260821,official,retain,pomegranate,18.333333333333332,
20260821,official,retain,fig,15.0,
20260821,official,retain,granny smith,20.0,
20260821,official,target,yawl,35.0,
20260821,official,target,lifeboat,5.833333333333333,
20260821,official,retain,speedboat,98.33333333333333,
20260821,official,retain,catamaran,89.16666666666667,
20260821,official,retain,schooner,89.16666666666667,
20260821,official,target,soccer ball,36.666666666666664,
20260821,official,target,volleyball,10.833333333333334,
20260821,official,retain,tennis ball,17.5,
20260821,official,retain,rugby ball,31.666666666666668,
20260821,official,retain,ping-pong ball,35.833333333333336,
20260821,constant_mean,target,golden retriever,14.166666666666666,2.5
20260821,constant_mean,target,labrador retriever,17.5,-1.6666666666666679
20260821,constant_mean,retain,german shepherd,46.666666666666664,-0.8333333333333357
20260821,constant_mean,retain,chesapeake bay retriever,8.333333333333334,1.666666666666667
20260821,constant_mean,retain,pug,82.5,0.0
20260821,constant_mean,target,tabby,10.833333333333334,1.6666666666666679
20260821,constant_mean,target,tiger cat,42.5,-0.8333333333333357
20260821,constant_mean,retain,persian cat,20.833333333333332,1.6666666666666643
20260821,constant_mean,retain,siamese cat,38.333333333333336,2.5
20260821,constant_mean,retain,egyptian cat,0.0,0.0
20260821,constant_mean,target,orange,5.833333333333333,-1.666666666666667
20260821,constant_mean,target,lemon,13.333333333333334,2.5
20260821,constant_mean,retain,pomegranate,19.166666666666668,0.8333333333333357
20260821,constant_mean,retain,fig,15.833333333333334,0.8333333333333339
