scope,seed,n,mi_count,mi_mean,mi_std,mi_median,mi_p90,mi_p95,mi_p99,mi_min,mi_max,mi_unique_count,mi_unique_values,theoretical_no_tie_unique_count,enumerated_no_tie_unique_count,fraction_exact_repo_max,fraction_numerically_at_ln2,alpha_mean,alpha_std,alpha_median,alpha_p90,alpha_p95,alpha_p99,alpha_min,alpha_max
seed,20260820,5,249600,0.6846796219829823,0.0699790206569422,0.6931471228599548,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.0,0.6931471824645996,14,"[0.0,0.02013555,0.02013556,0.02415719,0.08630458,0.08630459,0.16389658,0.19274479,0.19274481,0.27435848,0.42281044,0.42281047,0.69314712,0.69314718]",3,3,0.49176682692307694,0.9851682692307693,0.007428208054428511,0.00118714745404476,0.007583963684737682,0.008423777297139168,0.008689802139997482,0.009216012433171272,0.0,0.011020397767424583
seed,20260820,10,249600,0.6832860971800386,0.07267645272579903,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.0,0.6931471824645996,21,"[0.0,0.00505942,0.00550867,0.02013555,0.02013556,0.02100591,0.02415719,0.04620085,0.08228286,0.08630458,0.08630459,0.13250548,0.14839931,0.19274479,0.19274481,0.20503804,0.27539614,0.36806422,0.42281047,0.52559733,0.69314718]",6,6,0.9803205128205128,0.9803205128205128,0.00799097202793006,0.0013965782244167587,0.008205571211874485,0.009125101380050182,0.009407861158251762,0.010060449130833149,0.0,0.011237806640565395
seed,20260820,20,249600,0.6825747130993524,0.0735888674329611,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.0,0.6931471824645996,61,"[0.0,0.00125366,0.00127936,0.00133413,0.0050084,0.00505942,0.00521894,0.00550867,0.01132137,0.01155764,0.01206169,0.02013555,0.02013556,0.02034613,0.02100591,0.03166745,0.03166746,0.03235306,0.03382211,0.04570058,0.04620085,0.04777468,0.04777469,0.06274121,0.06418122,0.07265289,0.08228286,0.08324792,0.08324793,0.08630459,0.09202269,0.10529695,0.10529696,0.1079301,0.12397014,0.13081205,0.13250548,0.13793379,0.16052793,0.16052794,0.19274479,0.19274481,0.19561672,0.20503804,0.23034084,0.23034085,0.23814552,0.2704381,0.27539614,0.31800061,0.33239579,0.36806422,0.37752661,0.42281047,0.43009755,0.47050008,0.49463192,0.49463195,0.52559733,0.59263909,0.69314718]",11,11,0.9763221153846153,0.9763221153846153,0.008299110152222105,0.0015525153486252454,0.008534909226000309,0.009551804512739182,0.009841619059443474,0.010762197896838188,0.0,0.011498376727104187
seed,20260820,50,249600,0.6821091730160025,0.07395122285574578,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.0,0.6931471824645996,191,"[0.0,1.2e-07,0.00020006,0.00020077,0.0002068,0.00080018,0.00080154,0.00080541,0.000812,0.0008492,0.00180182,0.00180763,0.00181938,0.00320348,0.00320861,0.00322423,0.00325056,0.00501044,0.00502661,0.00721738,0.00722915,0.00766449,0.00983622,0.00986848,0.00993324,0.01285515,0.01287629,0.01293987,0.01340345,0.01629537,0.01634914,0.02013557,0.02016892,0.0202698,0.02044024,0.02068382,0.02440932,0.02449104,0.02449105,0.02465622,0.02490835,0.02908305,0.02913211,0.02928004,0.02953016,0.03420601,0.03432256,0.03432257,0.03455811,0.03491785,0.03972894,0.03972895,0.03979716,0.04000326,0.04035162,0.04572028,0.04587932,0.04587933,0.04620089,0.04669223,0.05211167,0.05220319,0.05247958,0.05294739,0.05450676,0.0589947,0.05920488,0.05963013,0.06627772,0.06627773,0.06639709,0.06675804,0.07408028,0.07408029,0.07435173,0.07490127,0.07689879,0.08228284,0.08228285,0.08243558,0.08243559,0.08289756,0.08480591,0.08630471,0.09103829,0.09138297,0.09208108,0.10019381,0.10019382,0.10038638,0.10038639,0.10096909,0.10195804,0.10994206,0.10994207,0.11037399,0.110374,0.11125012,0.12009028,0.12033036,0.12105765,0.13087875,0.13141547,0.13250551,0.13650587,0.14206724,0.14206725,0.14236453,0.14326593,0.15395321,0.15461649,0.1546165,0.15596543,0.16623917,0.16660583,0.16660585,0.16771856,0.17929199,0.18010941,0.18177545,0.19274485,0.19319627,0.1945689,0.19691971,0.20704924,0.20805719,0.21011715,0.21011716,0.21332394,0.22175367,0.22175369,0.22231084,0.22231087,0.22400811,0.23741546,0.23741548,0.23866323,0.23866324,0.24122232,0.25347728,0.25416851,0.27063051,0.27218688,0.27539617,0.28818375,0.28904951,0.28904954,0.29170558,0.30700296,0.30896968,0.30896971,0.32622218,0.32732379,0.33072415,0.33072418,0.33674932,0.34611875,0.3469432,0.34947976,0.35482007,0.36806411,0.3694998,0.37397826,0.39102107,0.39439982,0.39439985,0.41437787,0.41446042,0.41632172,0.41632175,0.44007868,0.44007871,0.44483253,0.44483256,0.46617964,0.46617967,0.46899021,0.47838277,0.49549133,0.49549136,0.50294197,0.52520299,0.52559733,0.52984369,0.55995554,0.5599556,0.57786238,0.59510815,0.60837495,0.64392769,0.69314718]",26,26,0.9716746794871794,0.9716746794871794,0.00850617629715889,0.001697607592412401,0.008794882334768772,0.00974685326218605,0.010118724778294563,0.011048955842852592,0.0,0.01146447379142046
seed,20260821,5,249600,0.6846186209056908,0.07013193072066864,0.6931471228599548,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.0,0.6931471824645996,13,"[0.0,0.02013555,0.02013556,0.02415719,0.08630458,0.08630459,0.19274479,0.19274481,0.27435848,0.42281044,0.42281047,0.69314712,0.69314718]",3,3,0.4916706730769231,0.9850160256410256,0.007446945987395268,0.001226210489553652,0.007587759289890528,0.008456124924123287,0.008699443191289902,0.009408383630216122,0.0,0.01101423054933548
seed,20260821,10,249600,0.6832698795432076,0.07263868410363596,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.0,0.6931471824645996,25,"[0.0,0.00505942,0.00550867,0.02013555,0.02013556,0.02100591,0.04620085,0.05067186,0.05067187,0.06328785,0.08228286,0.08630458,0.08630459,0.13250548,0.14839931,0.14839932,0.19274479,0.19274481,0.20503804,0.27539614,0.34201449,0.36806422,0.42281047,0.52559733,0.69314718]",6,6,0.9802524038461539,0.9802524038461539,0.008000203945917246,0.0014204679756086344,0.008195036090910435,0.009132257662713528,0.009478386491537094,0.010276186279952526,0.0,0.011205064132809639
seed,20260821,20,249600,0.6825842842533483,0.07345959162789845,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.0,0.6931471824645996,61,"[0.0,0.00125366,0.00127936,0.00133413,0.0050084,0.00505942,0.01132137,0.01206169,0.01424424,0.02013555,0.02013556,0.02034613,0.02100591,0.03166745,0.03166746,0.03235306,0.03382211,0.03631042,0.04570058,0.04620085,0.04777468,0.04777469,0.06274121,0.06418122,0.08228286,0.08324792,0.08324793,0.08630458,0.08630459,0.10529695,0.10529696,0.1079301,0.11370288,0.13081205,0.13250548,0.13793379,0.16052793,0.16052794,0.16506784,0.16506785,0.19274479,0.19274481,0.19561672,0.23034084,0.23034085,0.23814552,0.2704381,0.27539614,0.29258645,0.31800061,0.33239579,0.36806422,0.37752661,0.38039568,0.42281047,0.43009755,0.49463192,0.49463195,0.52559733,0.59263909,0.69314718]",11,11,0.97625,0.97625,0.008304668290693136,0.0015608169452524382,0.008503314107656479,0.009510630741715431,0.009882449172437191,0.010853446088731289,0.0,0.011245341040194035
seed,20260821,50,249600,0.6821159861012618,0.07398419908017644,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.0,0.6931471824645996,201,"[0.0,0.00020006,0.00020077,0.00020211,0.00080018,0.00080154,0.00080541,0.000812,0.00083359,0.00180182,0.00180763,0.00183731,0.00320348,0.00320861,0.00322423,0.00501044,0.00502661,0.00721738,0.00722915,0.0072645,0.00732413,0.00983622,0.00986848,0.00993324,0.01285515,0.01287629,0.01293987,0.01304717,0.01482375,0.01629537,0.01634914,0.0164579,0.01662368,0.01714241,0.02013557,0.02016892,0.0202698,0.02044024,0.02440932,0.02449104,0.02449105,0.02465622,0.02908305,0.02913211,0.02928004,0.03420601,0.03432256,0.03432257,0.03491785,0.03972894,0.03972895,0.03979716,0.04000326,0.04035163,0.04151137,0.04572028,0.04587932,0.04587933,0.04620089,0.04669223,0.05211167,0.05220319,0.05247958,0.05361754,0.0589947,0.05920488,0.05963013,0.06028067,0.06627772,0.06627773,0.06639709,0.06675804,0.06736924,0.06824623,0.07408028,0.07408029,0.07435173,0.07490127,0.08228284,0.08228285,0.08243558,0.08243559,0.08289756,0.08822134,0.09103829,0.09138297,0.09208108,0.10019381,0.10019382,0.10038638,0.10038639,0.10096909,0.10338172,0.10338173,0.10994206,0.10994207,0.11037399,0.110374,0.11125012,0.11259601,0.11445269,0.12009028,0.12033036,0.12105765,0.12229396,0.12407751,0.13087875,0.13141547,0.13250551,0.14206724,0.14206725,0.14236453,0.14326593,0.14480092,0.15395321,0.15461649,0.1546165,0.15596543,0.1580478,0.16623917,0.16660583,0.16660585,0.16771856,0.17929199,0.18010941,0.18177545,0.19274485,0.19319627,0.1945689,0.19691971,0.20035285,0.20704924,0.20805719,0.21011716,0.21332394,0.22175367,0.22175369,0.22231084,0.22231087,0.22400811,0.23741546,0.23741548,0.23866323,0.23866324,0.24122232,0.25094551,0.25347728,0.25416851,0.25628012,0.27063051,0.27218688,0.27299944,0.28818375,0.28904951,0.28904954,0.29170558,0.30700296,0.30896968,0.30896971,0.32622218,0.32732379,0.33072415,0.33072418,0.33674932,0.3469432,0.34947976,0.35482007,0.36364609,0.36806411,0.3694998,0.37397826,0.38212273,0.39102107,0.39439982,0.39439985,0.41437787,0.41446045,0.41632172,0.41632175,0.42250919,0.44007868,0.44007871,0.44483253,0.44483256,0.45565686,0.46617964,0.46617967,0.46899021,0.47838277,0.49549133,0.49549136,0.50294197,0.52520299,0.52984369,0.55995554,0.5599556,0.57786238,0.59510815,0.60837495,0.64392769,0.69314718]",26,26,0.9716947115384615,0.9716947115384615,0.008501164247170222,0.001692656667423796,0.00875899475067854,0.00971208419650793,0.010196149349212646,0.011015190742909908,0.0,0.011337673291563988
seed,20260822,5,249600,0.6846580502091316,0.07007232082104986,0.6931471228599548,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.0,0.6931471824645996,13,"[0.0,0.02013555,0.02013556,0.02415719,0.08630458,0.08630459,0.19274479,0.19274481,0.27435848,0.42281044,0.42281047,0.69314712,0.69314718]",3,3,0.49166666666666664,0.9851121794871794,0.007424307809831235,0.0012487980265014778,0.0075834705494344234,0.008467876352369785,0.008934272453188896,0.009504164569079876,0.0,0.011216375976800919
seed,20260822,10,249600,0.6833490844872535,0.07241248230581432,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.0,0.6931471824645996,25,"[0.0,0.00505942,0.00550867,0.02013555,0.02013556,0.02100591,0.02415719,0.04620085,0.05067186,0.05067187,0.08228286,0.08630458,0.08630459,0.13250548,0.14839931,0.14839932,0.19274479,0.19274481,0.20503804,0.27435848,0.27539614,0.36806422,0.42281047,0.52559733,0.69314718]",6,6,0.9804366987179487,0.9804366987179487,0.007973347352415077,0.0014141771520078644,0.00815151073038578,0.00911766942590475,0.009361907839775085,0.010554701089859009,0.0,0.01136432308703661
