group,role,concept,official_mean_accuracy,paper_mi_mean_accuracy,delta
dogs,target,golden retriever,12.833333333333334,2.5,-10.333333333333334
dogs,target,labrador retriever,19.166666666666668,0.6666666666666666,-18.5
dogs,retain,german shepherd,46.0,5.0,-41.0
dogs,retain,chesapeake bay retriever,9.0,5.333333333333333,-3.666666666666667
dogs,retain,pug,82.5,33.666666666666664,-48.833333333333336
cats,target,tabby,11.666666666666666,1.1666666666666667,-10.5
cats,target,tiger cat,43.166666666666664,39.833333333333336,-3.3333333333333286
cats,retain,persian cat,19.5,14.833333333333334,-4.666666666666666
cats,retain,siamese cat,36.5,14.0,-22.5
cats,retain,egyptian cat,0.16666666666666666,0.0,-0.16666666666666666
fruits,target,orange,7.833333333333333,2.1666666666666665,-5.666666666666666
fruits,target,lemon,10.833333333333334,0.16666666666666666,-10.666666666666668
fruits,retain,pomegranate,17.666666666666668,19.666666666666668,2.0
fruits,retain,fig,15.0,2.5,-12.5
fruits,retain,granny smith,20.666666666666668,6.166666666666667,-14.5
boats,target,yawl,37.0,4.666666666666667,-32.333333333333336
boats,target,lifeboat,4.833333333333333,3.3333333333333335,-1.5
boats,retain,speedboat,98.33333333333333,63.5,-34.83333333333333
boats,retain,catamaran,89.83333333333333,46.0,-43.83333333333333
boats,retain,schooner,90.0,49.333333333333336,-40.666666666666664
balls,target,soccer ball,35.166666666666664,1.8333333333333333,-33.33333333333333
balls,target,volleyball,10.166666666666666,0.8333333333333334,-9.333333333333332
balls,retain,tennis ball,18.5,18.666666666666668,0.16666666666666785
balls,retain,rugby ball,28.833333333333332,15.0,-13.833333333333332
balls,retain,ping-pong ball,34.333333333333336,12.5,-21.833333333333336
