edit_seed,group,official_unlearn,projection_unlearn,delta_unlearn,official_preserve,projection_preserve,delta_preserve,official_overall,projection_overall,delta_overall
20260820,dogs,16.666666666666668,17.916666666666668,1.25,46.111111111111114,59.166666666666664,13.05555555555555,59.37052932761087,68.76597836774827,9.395449040137407
20260821,dogs,15.416666666666666,17.5,2.083333333333334,45.55555555555556,58.611111111111114,13.055555555555557,59.217360369975104,68.53346456692914,9.316104196954036
20260822,dogs,16.25,17.083333333333332,0.8333333333333321,45.833333333333336,58.05555555555556,12.222222222222221,59.244372990353696,68.29392446633827,9.049551475984572
20260823,dogs,16.25,17.916666666666668,1.6666666666666679,46.94444444444444,57.77777777777778,10.833333333333336,60.164718384697125,67.81860311155246,7.653884726855338
20260824,dogs,15.416666666666666,17.916666666666668,2.5000000000000018,44.72222222222222,57.77777777777778,13.055555555555557,58.50877192982457,67.81860311155246,9.309831181727894
mean,dogs,16.0,17.666666666666668,1.6666666666666672,45.833333333333336,58.27777777777778,12.444444444444445,59.30115060049227,68.24611472482412,8.94496412433185
20260820,cats,27.916666666666668,46.25,18.333333333333332,19.444444444444443,26.11111111111111,6.666666666666668,30.627212948912494,35.14782608695652,4.520613138044027
20260821,cats,26.25,47.5,21.25,18.333333333333332,26.38888888888889,8.055555555555557,29.36651583710407,35.12323943661972,5.756723599515649
20260822,cats,27.5,47.916666666666664,20.416666666666664,18.333333333333332,26.11111111111111,7.777777777777779,29.266055045871557,34.78389579632919,5.5178407504576334
20260823,cats,27.083333333333332,49.166666666666664,22.083333333333332,18.333333333333332,27.5,9.166666666666668,29.29984779299848,35.691489361702125,6.391641568703644
20260824,cats,28.333333333333332,47.083333333333336,18.750000000000004,19.166666666666668,26.11111111111111,6.944444444444443,30.244648318042813,34.96777973052138,4.7231314124785655
mean,cats,27.416666666666668,47.583333333333336,20.166666666666668,18.72222222222222,26.444444444444443,7.722222222222223,29.760855988585885,35.142846082425784,5.381990093839904
20260820,fruits,10.0,9.166666666666666,-0.8333333333333339,18.61111111111111,25.27777777777778,6.666666666666668,30.843989769820972,39.54944178628389,8.705452016462921
20260821,fruits,9.166666666666666,8.333333333333334,-0.8333333333333321,17.77777777777778,24.444444444444443,6.666666666666664,29.735720375106563,38.59649122807018,8.860770852963615
20260822,fruits,10.416666666666666,8.75,-1.666666666666666,18.333333333333332,25.0,6.666666666666668,30.437580437580436,39.24731182795699,8.809731390376555
20260823,fruits,8.333333333333334,8.333333333333334,0.0,16.666666666666668,25.27777777777778,8.61111111111111,28.205128205128208,39.62787015043547,11.422741945307262
20260824,fruits,8.75,8.333333333333334,-0.4166666666666661,17.5,24.72222222222222,7.222222222222221,29.367816091954023,38.94192521877486,9.57410912682084
mean,fruits,9.333333333333334,8.583333333333334,-0.7499999999999997,17.77777777777778,24.944444444444443,7.166666666666666,29.71804697591804,39.19260804230428,9.474561066386238
20260820,boats,20.833333333333332,19.166666666666668,-1.6666666666666643,91.94444444444444,92.5,0.5555555555555571,85.0784632034632,86.27403846153847,1.1955752580752659
20260821,boats,20.416666666666668,17.916666666666668,-2.5,92.22222222222223,91.66666666666667,-0.5555555555555571,85.43788736189707,86.61071143085532,1.1728240689582492
20260822,boats,22.083333333333332,18.75,-3.333333333333332,92.5,92.5,0.0,84.5843520782396,86.51079136690647,1.9264392886668702
20260823,boats,19.166666666666668,19.166666666666668,0.0,93.88888888888889,91.94444444444444,-1.9444444444444429,86.87334393216746,86.03161843515541,-0.8417254970120496
20260824,boats,22.083333333333332,19.166666666666668,-2.9166666666666643,93.05555555555556,92.5,-0.5555555555555571,84.81586785810994,86.27403846153847,1.4581706034285276
mean,boats,20.916666666666668,18.833333333333336,-2.083333333333332,92.72222222222223,92.22222222222223,-0.5,85.35798288677546,86.34023963119883,0.9822567444233726
20260820,balls,23.333333333333332,6.666666666666667,-16.666666666666664,26.944444444444443,26.944444444444443,0.0,39.87488829311886,41.81678214010777,1.9418938469889113
20260821,balls,23.75,6.25,-17.5,28.333333333333332,27.77777777777778,-0.5555555555555536,41.31474103585657,42.857142857142854,1.5424018212862833
20260822,balls,22.5,5.416666666666667,-17.083333333333332,26.11111111111111,26.944444444444443,0.8333333333333321,39.06166219839142,41.940952380952375,2.8792901825609576
20260823,balls,23.333333333333332,6.25,-17.083333333333332,28.055555555555557,26.944444444444443,-1.1111111111111143,41.07869142351901,41.8584579976985,0.7797665741794901
20260824,balls,20.416666666666668,6.25,-14.166666666666668,26.666666666666668,28.055555555555557,1.3888888888888893,39.947712418300654,43.18700114025086,3.239288721950203
mean,balls,22.666666666666668,6.166666666666667,-16.5,27.22222222222222,27.333333333333332,0.11111111111111072,40.255539073837305,42.332067303230474,2.076528229393169
