edit_seed,variant,unlearn_accuracy,preserve_accuracy,overall_accuracy
20260820,official,19.75,40.611111111111114,53.930360836589294
20260820,projection_accumulation,19.833333333333332,46.0,58.457067371202115
20260821,official,19.0,40.44444444444444,53.950594693504115
20260821,projection_accumulation,19.5,45.77777777777778,58.36515618125826
20260822,official,19.75,40.22222222222222,53.58635001152871
20260822,projection_accumulation,19.583333333333332,45.72222222222222,58.2980988034941
20260823,official,18.833333333333332,40.77777777777778,54.283675018982535
20260823,projection_accumulation,20.166666666666668,45.888888888888886,58.27868610988363
20260824,official,19.0,40.22222222222222,53.75252062328139
20260824,projection_accumulation,19.75,45.833333333333336,58.34434897554527
