edit_seed,group,role,concept,official_accuracy,projection_accumulation_accuracy,delta_accuracy,favorable
20260820,dogs,target,golden retriever,13.333333333333334,13.333333333333334,0.0,False
20260821,dogs,target,golden retriever,11.666666666666666,13.333333333333334,1.6666666666666679,False
20260822,dogs,target,golden retriever,13.333333333333334,14.166666666666666,0.8333333333333321,False
20260823,dogs,target,golden retriever,13.333333333333334,15.833333333333334,2.5,False
20260824,dogs,target,golden retriever,12.5,14.166666666666666,1.666666666666666,False
20260820,dogs,target,labrador retriever,20.0,22.5,2.5,False
20260821,dogs,target,labrador retriever,19.166666666666668,21.666666666666668,2.5,False
20260822,dogs,target,labrador retriever,19.166666666666668,20.0,0.8333333333333321,False
20260823,dogs,target,labrador retriever,19.166666666666668,20.0,0.8333333333333321,False
20260824,dogs,target,labrador retriever,18.333333333333332,21.666666666666668,3.3333333333333357,False
20260820,dogs,retain,german shepherd,45.833333333333336,74.16666666666667,28.333333333333336,True
20260821,dogs,retain,german shepherd,47.5,73.33333333333333,25.83333333333333,True
20260822,dogs,retain,german shepherd,43.333333333333336,73.33333333333333,29.999999999999993,True
20260823,dogs,retain,german shepherd,46.666666666666664,71.66666666666667,25.000000000000007,True
20260824,dogs,retain,german shepherd,46.666666666666664,72.5,25.833333333333336,True
20260820,dogs,retain,chesapeake bay retriever,10.0,7.5,-2.5,False
20260821,dogs,retain,chesapeake bay retriever,6.666666666666667,9.166666666666666,2.499999999999999,True
20260822,dogs,retain,chesapeake bay retriever,10.0,6.666666666666667,-3.333333333333333,False
20260823,dogs,retain,chesapeake bay retriever,11.666666666666666,7.5,-4.166666666666666,False
20260824,dogs,retain,chesapeake bay retriever,6.666666666666667,6.666666666666667,0.0,False
20260820,dogs,retain,pug,82.5,95.83333333333333,13.333333333333329,True
20260821,dogs,retain,pug,82.5,93.33333333333333,10.833333333333329,True
20260822,dogs,retain,pug,84.16666666666667,94.16666666666667,10.0,True
20260823,dogs,retain,pug,82.5,94.16666666666667,11.666666666666671,True
20260824,dogs,retain,pug,80.83333333333333,94.16666666666667,13.333333333333343,True
20260820,cats,target,tabby,13.333333333333334,10.0,-3.333333333333334,True
20260821,cats,target,tabby,9.166666666666666,12.5,3.333333333333334,False
20260822,cats,target,tabby,12.5,12.5,0.0,False
20260823,cats,target,tabby,10.833333333333334,14.166666666666666,3.333333333333332,False
20260824,cats,target,tabby,12.5,10.0,-2.5,True
20260820,cats,target,tiger cat,42.5,82.5,40.0,False
20260821,cats,target,tiger cat,43.333333333333336,82.5,39.166666666666664,False
20260822,cats,target,tiger cat,42.5,83.33333333333333,40.83333333333333,False
20260823,cats,target,tiger cat,43.333333333333336,84.16666666666667,40.833333333333336,False
20260824,cats,target,tiger cat,44.166666666666664,84.16666666666667,40.00000000000001,False
20260820,cats,retain,persian cat,19.166666666666668,20.0,0.8333333333333321,True
20260821,cats,retain,persian cat,19.166666666666668,21.666666666666668,2.5,True
20260822,cats,retain,persian cat,20.0,22.5,2.5,True
20260823,cats,retain,persian cat,18.333333333333332,21.666666666666668,3.3333333333333357,True
