edit_seed,group,official_unlearn,projection_unlearn,delta_unlearn,official_preserve,projection_preserve,delta_preserve,official_overall,projection_overall,delta_overall
20260820,dogs,16.666666666666668,15.833333333333334,-0.8333333333333339,46.111111111111114,45.0,-1.1111111111111143,59.37052932761087,58.64516129032257,-0.7253680372882982
20260821,dogs,15.416666666666666,17.083333333333332,1.666666666666666,45.55555555555556,46.94444444444444,1.3888888888888857,59.217360369975104,59.948306595365416,0.7309462253903121
20260822,dogs,16.25,17.916666666666668,1.6666666666666679,45.833333333333336,46.388888888888886,0.55555555555555,59.244372990353696,59.27747747747747,0.03310448712377223
20260823,dogs,16.25,16.666666666666668,0.41666666666666785,46.94444444444444,46.94444444444444,0.0,60.164718384697125,60.056858564321246,-0.10785982037587871
20260824,dogs,15.416666666666666,15.833333333333334,0.41666666666666785,44.72222222222222,46.111111111111114,1.3888888888888928,58.50877192982457,59.580668088130786,1.0718961583062168
mean,dogs,16.0,16.666666666666668,0.6666666666666672,45.833333333333336,46.27777777777778,0.44444444444444287,59.30115060049227,59.501694403123494,0.20054380263122482
20260820,cats,27.916666666666668,27.083333333333332,-0.8333333333333357,19.444444444444443,19.72222222222222,0.27777777777777857,30.627212948912494,31.04697651174413,0.41976356283163696
20260821,cats,26.25,27.083333333333332,0.8333333333333321,18.333333333333332,19.444444444444443,1.1111111111111107,29.36651583710407,30.70175438596491,1.3352385488608398
20260822,cats,27.5,27.5,0.0,18.333333333333332,20.0,1.6666666666666679,29.266055045871557,31.35135135135135,2.085296305479794
20260823,cats,27.083333333333332,27.5,0.41666666666666785,18.333333333333332,18.333333333333332,0.0,29.29984779299848,29.266055045871557,-0.03379274712692393
20260824,cats,28.333333333333332,28.75,0.41666666666666785,19.166666666666668,18.61111111111111,-0.5555555555555571,30.244648318042813,29.513137557959816,-0.7315107600829975
mean,cats,27.416666666666668,27.583333333333332,0.16666666666666644,18.72222222222222,19.22222222222222,0.5,29.760855988585885,30.375854970578352,0.6149989819924698
20260820,fruits,10.0,10.0,0.0,18.61111111111111,18.333333333333332,-0.27777777777777857,30.843989769820972,30.461538461538463,-0.3824513082825085
20260821,fruits,9.166666666666666,7.5,-1.666666666666666,17.77777777777778,18.88888888888889,1.1111111111111107,29.735720375106563,31.371571072319203,1.6358506972126392
20260822,fruits,10.416666666666666,10.0,-0.4166666666666661,18.333333333333332,17.77777777777778,-0.5555555555555536,30.437580437580436,29.690721649484537,-0.7468587880958992
20260823,fruits,8.333333333333334,10.416666666666666,2.083333333333332,16.666666666666668,17.22222222222222,0.5555555555555536,28.205128205128208,28.890333766796704,0.6852055616684964
20260824,fruits,8.75,8.333333333333334,-0.4166666666666661,17.5,18.055555555555557,0.5555555555555571,29.367816091954023,30.16877637130802,0.8009602793539976
mean,fruits,9.333333333333334,9.25,-0.08333333333333322,17.77777777777778,18.055555555555557,0.27777777777777785,29.71804697591804,30.116588264289387,0.3985412883713451
20260820,boats,20.833333333333332,22.916666666666668,2.0833333333333357,91.94444444444444,93.05555555555556,1.1111111111111143,85.0784632034632,84.31972789115646,-0.7587353123067402
20260821,boats,20.416666666666668,20.416666666666668,0.0,92.22222222222223,91.38888888888889,-0.8333333333333428,85.43788736189707,85.07852694286487,-0.35936041903219973
20260822,boats,22.083333333333332,20.416666666666668,-1.6666666666666643,92.5,92.22222222222223,-0.27777777777777146,84.5843520782396,85.43788736189707,0.8535352836574646
20260823,boats,19.166666666666668,17.916666666666668,-1.25,93.88888888888889,92.77777777777777,-1.1111111111111143,86.87334393216746,87.10352131321154,0.23017738104408636
20260824,boats,22.083333333333332,19.166666666666668,-2.9166666666666643,93.05555555555556,93.33333333333333,0.27777777777777146,84.81586785810994,86.63476874003189,1.818900881921948
mean,boats,20.916666666666668,20.166666666666668,-0.7499999999999986,92.72222222222223,92.55555555555556,-0.16666666666666857,85.35798288677546,85.71488644983236,0.35690356305691184
20260820,balls,23.333333333333332,23.75,0.41666666666666785,26.944444444444443,26.666666666666668,-0.277777777777775,39.87488829311886,39.51417004048583,-0.3607182526330277
20260821,balls,23.75,23.75,0.0,28.333333333333332,27.77777777777778,-0.5555555555555536,41.31474103585657,40.72096128170895,-0.5937797541476186
20260822,balls,22.5,22.5,0.0,26.11111111111111,27.77777777777778,1.6666666666666679,39.06166219839142,40.89709762532982,1.8354354269384032
20260823,balls,23.333333333333332,22.916666666666668,-0.4166666666666643,28.055555555555557,27.5,-0.5555555555555571,41.07869142351901,40.537848605577686,-0.5408428179413249
20260824,balls,20.416666666666668,22.916666666666668,2.5,26.666666666666668,27.77777777777778,1.1111111111111107,39.947712418300654,40.838852097130236,0.8911396788295818
mean,balls,22.666666666666668,23.166666666666668,0.5000000000000007,27.22222222222222,27.5,0.27777777777777857,40.255539073837305,40.5017859300465,0.24624685620920275
