projection,layer_index,target_index,target_concept,official_contribution_frobenius,geo_contribution_frobenius,lambda,new_contribution_frobenius,new_to_official_ratio,norm_matches,rtol,atol
to_v,0,0,golden retriever,208.3917236328125,1130.9427490234375,0.18426372110843658,208.3917236328125,1.0,True,1e-05,1e-07
to_v,0,1,labrador retriever,269.2607421875,987.7164916992188,0.2726093530654907,269.2607421875,1.0,True,1e-05,1e-07
to_v,0,2,tabby,257.3028259277344,1139.017578125,0.22589890658855438,257.30279541015625,0.9999998807907104,True,1e-05,1e-07
to_v,0,3,tiger cat,235.7454376220703,1130.2142333984375,0.2085847407579422,235.7454376220703,1.0,True,1e-05,1e-07
to_v,0,4,orange,225.2837677001953,1028.92822265625,0.21894992887973785,225.2837677001953,1.0,True,1e-05,1e-07
to_v,0,5,lemon,291.40594482421875,1029.5947265625,0.2830297648906708,291.40594482421875,1.0,True,1e-05,1e-07
to_v,0,6,yawl,267.50970458984375,811.00048828125,0.3298514783382416,267.5096740722656,0.9999998807907104,True,1e-05,1e-07
to_v,0,7,lifeboat,276.23919677734375,1041.1864013671875,0.26531195640563965,276.23919677734375,1.0,True,1e-05,1e-07
to_v,0,8,soccer ball,273.0478210449219,902.33349609375,0.3026019036769867,273.0478515625,1.0000001192092896,True,1e-05,1e-07
to_v,0,9,volleyball,273.4346923828125,830.2345581054688,0.32934632897377014,273.4346923828125,1.0,True,1e-05,1e-07
to_v,1,0,golden retriever,126.00719451904297,21.174407958984375,5.950919151306152,126.00718688964844,0.9999999403953552,True,1e-05,1e-07
to_v,1,1,labrador retriever,162.61915588378906,9.810855865478516,16.575429916381836,162.61915588378906,1.0,True,1e-05,1e-07
to_v,1,2,tabby,175.7825927734375,7.46703577041626,23.541147232055664,175.7825927734375,1.0,True,1e-05,1e-07
to_v,1,3,tiger cat,147.00314331054688,10.17011833190918,14.454418182373047,147.0031280517578,0.9999998807907104,True,1e-05,1e-07
to_v,1,4,orange,114.91443634033203,22.891138076782227,5.020040512084961,114.91443634033203,1.0,True,1e-05,1e-07
to_v,1,5,lemon,148.73568725585938,13.900910377502441,10.699707984924316,148.73568725585938,1.0,True,1e-05,1e-07
to_v,1,6,yawl,115.48533630371094,10.405816078186035,11.098153114318848,115.48533630371094,1.0,True,1e-05,1e-07
to_v,1,7,lifeboat,146.02476501464844,7.483292102813721,19.513439178466797,146.02476501464844,1.0,True,1e-05,1e-07
to_v,1,8,soccer ball,165.00177001953125,16.578128814697266,9.95297908782959,165.00177001953125,1.0,True,1e-05,1e-07
to_v,1,9,volleyball,150.99168395996094,12.071561813354492,12.508049011230469,150.99169921875,1.0000001192092896,True,1e-05,1e-07
to_v,2,0,golden retriever,228.2767333984375,346.89300537109375,0.6580609083175659,228.2767333984375,1.0,True,1e-05,1e-07
to_v,2,1,labrador retriever,306.751953125,299.641845703125,1.0237287282943726,306.751953125,1.0,True,1e-05,1e-07
to_v,2,2,tabby,222.10980224609375,235.74978637695312,0.942142128944397,222.1098175048828,1.0000001192092896,True,1e-05,1e-07
to_v,2,3,tiger cat,265.43670654296875,297.3716735839844,0.8926092386245728,265.43670654296875,1.0,True,1e-05,1e-07
to_v,2,4,orange,250.7683868408203,235.47097778320312,1.0649651288986206,250.76837158203125,0.9999999403953552,True,1e-05,1e-07
to_v,2,5,lemon,241.2393035888672,304.6796569824219,0.7917801737785339,241.2393035888672,1.0,True,1e-05,1e-07
to_v,2,6,yawl,237.57720947265625,263.7587585449219,0.9007367491722107,237.57720947265625,1.0,True,1e-05,1e-07
to_v,2,7,lifeboat,264.2750244140625,211.2333526611328,1.2511045932769775,264.2749938964844,0.9999998807907104,True,1e-05,1e-07
to_v,2,8,soccer ball,229.6136016845703,292.43829345703125,0.7851694226264954,229.61363220214844,1.0000001192092896,True,1e-05,1e-07
to_v,2,9,volleyball,186.6389617919922,313.13818359375,0.5960274934768677,186.6389617919922,1.0,True,1e-05,1e-07
to_v,3,0,golden retriever,337.4851989746094,368.06201171875,0.9169248342514038,337.4851989746094,1.0,True,1e-05,1e-07
to_v,3,1,labrador retriever,346.2757873535156,338.3469543457031,1.023434042930603,346.27581787109375,1.0000001192092896,True,1e-05,1e-07
to_v,3,2,tabby,308.2684020996094,580.1925048828125,0.5313208699226379,308.26837158203125,0.9999998807907104,True,1e-05,1e-07
to_v,3,3,tiger cat,317.03594970703125,455.4844970703125,0.6960411667823792,317.0359802246094,1.0000001192092896,True,1e-05,1e-07
to_v,3,4,orange,296.4794006347656,555.0811767578125,0.5341190099716187,296.4794006347656,1.0,True,1e-05,1e-07
to_v,3,5,lemon,313.7554931640625,628.0638427734375,0.4995598793029785,313.7554931640625,1.0,True,1e-05,1e-07
to_v,3,6,yawl,273.8131103515625,446.9400329589844,0.6126394867897034,273.8131103515625,1.0,True,1e-05,1e-07
to_v,3,7,lifeboat,367.84637451171875,300.32989501953125,1.2248077392578125,367.8464050292969,1.0000001192092896,True,1e-05,1e-07
