matrix_index,projection,layer_index,official_V_frobenius,treatment_V_frobenius,treatment_to_official_V_ratio,official_mat1_agg_frobenius,treatment_mat1_agg_frobenius
0,to_v,0,3837.640297004095,3805.7338317780846,0.9916859156260897,3837.911215460219,3805.929380099916
1,to_v,1,2160.0453051651234,1686.412085007027,0.7807299601422527,2160.294005895499,1686.6224404722554
2,to_v,2,3628.7015270993434,3467.507850449655,0.9555781385032952,3629.009229335956,3467.7401624256845
3,to_v,3,4828.139209211312,4720.735451699614,0.9777546270192895,4828.55429744346,4721.057040658353
4,to_v,4,4929.38731643437,4447.792901735546,0.902301364493472,4929.707063386684,4447.998335602721
5,to_v,5,4419.018733774631,3687.2978160605985,0.8344155203232161,4419.33293958546,3687.5094513253516
6,to_v,6,5512.483785420612,4107.913973347733,0.7452020057115311,5512.855274437628,4108.170648481455
7,to_v,7,6714.658376862597,5155.758507362643,0.767836309458182,6715.121352333968,5156.042774962694
8,to_v,8,4800.426706950756,3846.185364984884,0.8012173916572495,4800.833989964798,3846.456822222466
9,to_v,9,8862.734775319339,8074.527383292096,0.9110649915619479,8863.43694624489,8074.977996576237
10,to_v,10,3953.9110185644586,3525.4769750612495,0.891642972871261,3954.2572819994675,3525.7328469388567
11,to_v,11,3914.155614176053,3746.3808757085367,0.9571364158696501,3914.4545272264327,3746.5670735210965
12,to_v,12,1786.582918793889,1414.8946419575611,0.791955764870263,1786.7798618657869,1415.0559596387416
13,to_v,13,2691.2531686096613,2584.2846000808304,0.9602532493871275,2691.5362794611283,2584.477888092023
14,to_v,14,2831.406890446343,2486.8282043968316,0.8783012476192739,2831.6990633625505,2487.028205491936
15,to_v,15,5892.0272647236525,4696.241660983535,0.7970502256669035,5892.388824165292,4696.4556897925295
16,to_k,0,8667.858961721806,8622.138847277067,0.994725327829324,8668.521482628217,8622.49249428603
17,to_k,1,5612.106182404209,4596.1109489126875,0.8189636474311552,5612.770212024521,4596.56262737155
18,to_k,2,8180.940514561122,7401.463759891396,0.9047203981886498,8181.610943767039,7401.945442488111
19,to_k,3,8491.663568490543,7615.423846758387,0.8968117713726247,8492.356760323863,7615.907511317521
20,to_k,4,11584.38509282545,10288.716926547897,0.8881539109848827,11585.266929268511,10289.31693916828
21,to_k,5,11151.878257237218,9737.235465121415,0.8731475757280847,11152.691588391312,9737.76279480798
22,to_k,6,9521.340323466173,8627.80596424845,0.906154561347258,9521.998893840178,8628.240921263876
23,to_k,7,9706.694614597318,8706.727614224137,0.8969817182803516,9707.399328979418,8707.191093857084
24,to_k,8,9512.497365518437,8866.666888520545,0.9321071583852477,9513.201084619745,8867.065368665686
25,to_k,9,8382.364442084625,7837.755235862264,0.9350291662948836,8383.094636128177,7838.22301544926
26,to_k,10,5463.138702917401,4631.62317303222,0.8477952739070785,5463.600626841554,4631.953640744855
27,to_k,11,7313.2035887077145,6811.505909840165,0.9313983710719856,7313.746939746533,6811.801380595412
28,to_k,12,4659.01260873607,4091.1518931428213,0.8781156516879867,4659.679717310859,4091.491630576419
29,to_k,13,7319.230359419129,6940.064865860939,0.9481959885208092,7319.966658490383,6940.488792509676
30,to_k,14,5565.304738087812,4985.851290012151,0.8958810927081855,5566.069412578869,4986.297384358976
31,to_k,15,10328.621732010717,9381.74384217143,0.9083248554930907,10329.371028012809,9382.224480088118
