edit_seed,variant,unlearn_accuracy,preserve_accuracy,overall_accuracy
20260820,official,19.75,40.611111111111114,53.930360836589294
20260820,projection_accumulation_budget_matched_cos2,19.916666666666668,40.55555555555556,53.84373321053035
20260821,official,19.0,40.44444444444444,53.950594693504115
20260821,projection_accumulation_budget_matched_cos2,19.166666666666668,40.888888888888886,54.307013540240376
20260822,official,19.75,40.22222222222222,53.58635001152871
20260822,projection_accumulation_budget_matched_cos2,19.666666666666668,40.833333333333336,54.14488766620816
20260823,official,18.833333333333332,40.77777777777778,54.283675018982535
20260823,projection_accumulation_budget_matched_cos2,19.083333333333332,40.55555555555556,54.030795030109005
20260824,official,19.0,40.22222222222222,53.75252062328139
20260824,projection_accumulation_budget_matched_cos2,19.0,40.77777777777778,54.246350364963504
