edit_seed,group,role,concept,official_accuracy,projection_accumulation_budget_matched_cos2_accuracy,delta_accuracy,favorable
20260820,dogs,target,golden retriever,13.333333333333334,13.333333333333334,0.0,False
20260821,dogs,target,golden retriever,11.666666666666666,15.0,3.333333333333334,False
20260822,dogs,target,golden retriever,13.333333333333334,15.0,1.666666666666666,False
20260823,dogs,target,golden retriever,13.333333333333334,12.5,-0.8333333333333339,True
20260824,dogs,target,golden retriever,12.5,11.666666666666666,-0.8333333333333339,True
20260820,dogs,target,labrador retriever,20.0,18.333333333333332,-1.6666666666666679,True
20260821,dogs,target,labrador retriever,19.166666666666668,19.166666666666668,0.0,False
20260822,dogs,target,labrador retriever,19.166666666666668,20.833333333333332,1.6666666666666643,False
20260823,dogs,target,labrador retriever,19.166666666666668,20.833333333333332,1.6666666666666643,False
20260824,dogs,target,labrador retriever,18.333333333333332,20.0,1.6666666666666679,False
20260820,dogs,retain,german shepherd,45.833333333333336,42.5,-3.3333333333333357,False
20260821,dogs,retain,german shepherd,47.5,48.333333333333336,0.8333333333333357,True
20260822,dogs,retain,german shepherd,43.333333333333336,45.833333333333336,2.5,True
20260823,dogs,retain,german shepherd,46.666666666666664,46.666666666666664,0.0,False
20260824,dogs,retain,german shepherd,46.666666666666664,46.666666666666664,0.0,False
20260820,dogs,retain,chesapeake bay retriever,10.0,11.666666666666666,1.666666666666666,True
20260821,dogs,retain,chesapeake bay retriever,6.666666666666667,9.166666666666666,2.499999999999999,True
20260822,dogs,retain,chesapeake bay retriever,10.0,10.0,0.0,False
20260823,dogs,retain,chesapeake bay retriever,11.666666666666666,12.5,0.8333333333333339,True
20260824,dogs,retain,chesapeake bay retriever,6.666666666666667,9.166666666666666,2.499999999999999,True
20260820,dogs,retain,pug,82.5,80.83333333333333,-1.6666666666666714,False
20260821,dogs,retain,pug,82.5,83.33333333333333,0.8333333333333286,True
20260822,dogs,retain,pug,84.16666666666667,83.33333333333333,-0.8333333333333428,False
20260823,dogs,retain,pug,82.5,81.66666666666667,-0.8333333333333286,False
20260824,dogs,retain,pug,80.83333333333333,82.5,1.6666666666666714,True
20260820,cats,target,tabby,13.333333333333334,11.666666666666666,-1.6666666666666679,True
20260821,cats,target,tabby,9.166666666666666,10.833333333333334,1.6666666666666679,False
20260822,cats,target,tabby,12.5,11.666666666666666,-0.8333333333333339,True
20260823,cats,target,tabby,10.833333333333334,12.5,1.666666666666666,False
20260824,cats,target,tabby,12.5,12.5,0.0,False
20260820,cats,target,tiger cat,42.5,42.5,0.0,False
20260821,cats,target,tiger cat,43.333333333333336,43.333333333333336,0.0,False
20260822,cats,target,tiger cat,42.5,43.333333333333336,0.8333333333333357,False
20260823,cats,target,tiger cat,43.333333333333336,42.5,-0.8333333333333357,True
20260824,cats,target,tiger cat,44.166666666666664,45.0,0.8333333333333357,False
20260820,cats,retain,persian cat,19.166666666666668,18.333333333333332,-0.8333333333333357,False
20260821,cats,retain,persian cat,19.166666666666668,19.166666666666668,0.0,False
20260822,cats,retain,persian cat,20.0,21.666666666666668,1.6666666666666679,True
20260823,cats,retain,persian cat,18.333333333333332,17.5,-0.8333333333333321,False
20260824,cats,retain,persian cat,20.833333333333332,20.0,-0.8333333333333321,False
20260820,cats,retain,siamese cat,38.333333333333336,40.833333333333336,2.5,True
20260821,cats,retain,siamese cat,35.833333333333336,39.166666666666664,3.3333333333333286,True
20260822,cats,retain,siamese cat,35.0,37.5,2.5,True
20260823,cats,retain,siamese cat,36.666666666666664,37.5,0.8333333333333357,True
20260824,cats,retain,siamese cat,36.666666666666664,35.833333333333336,-0.8333333333333286,False
20260820,cats,retain,egyptian cat,0.8333333333333334,0.0,-0.8333333333333334,False
20260821,cats,retain,egyptian cat,0.0,0.0,0.0,False
20260822,cats,retain,egyptian cat,0.0,0.8333333333333334,0.8333333333333334,True
20260823,cats,retain,egyptian cat,0.0,0.0,0.0,False
20260824,cats,retain,egyptian cat,0.0,0.0,0.0,False
20260820,fruits,target,orange,8.333333333333334,7.5,-0.8333333333333339,True
20260821,fruits,target,orange,7.5,7.5,0.0,False
20260822,fruits,target,orange,9.166666666666666,6.666666666666667,-2.499999999999999,True
20260823,fruits,target,orange,6.666666666666667,8.333333333333334,1.666666666666667,False
20260824,fruits,target,orange,7.5,6.666666666666667,-0.833333333333333,True
20260820,fruits,target,lemon,11.666666666666666,12.5,0.8333333333333339,False
20260821,fruits,target,lemon,10.833333333333334,7.5,-3.333333333333334,True
20260822,fruits,target,lemon,11.666666666666666,13.333333333333334,1.6666666666666679,False
20260823,fruits,target,lemon,10.0,12.5,2.5,False
20260824,fruits,target,lemon,10.0,10.0,0.0,False
20260820,fruits,retain,pomegranate,17.5,17.5,0.0,False
20260821,fruits,retain,pomegranate,18.333333333333332,20.0,1.6666666666666679,True
20260822,fruits,retain,pomegranate,19.166666666666668,16.666666666666668,-2.5,False
20260823,fruits,retain,pomegranate,16.666666666666668,16.666666666666668,0.0,False
20260824,fruits,retain,pomegranate,16.666666666666668,17.5,0.8333333333333321,True
20260820,fruits,retain,fig,15.0,18.333333333333332,3.333333333333332,True
20260821,fruits,retain,fig,15.0,15.833333333333334,0.8333333333333339,True
20260822,fruits,retain,fig,15.0,17.5,2.5,True
20260823,fruits,retain,fig,15.0,15.0,0.0,False
20260824,fruits,retain,fig,15.0,16.666666666666668,1.6666666666666679,True
20260820,fruits,retain,granny smith,23.333333333333332,19.166666666666668,-4.166666666666664,False
20260821,fruits,retain,granny smith,20.0,20.833333333333332,0.8333333333333321,True
20260822,fruits,retain,granny smith,20.833333333333332,19.166666666666668,-1.6666666666666643,False
20260823,fruits,retain,granny smith,18.333333333333332,20.0,1.6666666666666679,True
20260824,fruits,retain,granny smith,20.833333333333332,20.0,-0.8333333333333321,False
20260820,boats,target,yawl,36.666666666666664,39.166666666666664,2.5,False
20260821,boats,target,yawl,35.0,36.666666666666664,1.6666666666666643,False
20260822,boats,target,yawl,39.166666666666664,36.666666666666664,-2.5,True
20260823,boats,target,yawl,35.0,34.166666666666664,-0.8333333333333357,True
20260824,boats,target,yawl,39.166666666666664,35.0,-4.166666666666664,True
20260820,boats,target,lifeboat,5.0,6.666666666666667,1.666666666666667,False
20260821,boats,target,lifeboat,5.833333333333333,4.166666666666667,-1.666666666666666,True
20260822,boats,target,lifeboat,5.0,4.166666666666667,-0.833333333333333,True
20260823,boats,target,lifeboat,3.3333333333333335,1.6666666666666667,-1.6666666666666667,True
20260824,boats,target,lifeboat,5.0,3.3333333333333335,-1.6666666666666665,True
20260820,boats,retain,speedboat,98.33333333333333,98.33333333333333,0.0,False
20260821,boats,retain,speedboat,98.33333333333333,97.5,-0.8333333333333286,False
20260822,boats,retain,speedboat,98.33333333333333,98.33333333333333,0.0,False
20260823,boats,retain,speedboat,98.33333333333333,98.33333333333333,0.0,False
20260824,boats,retain,speedboat,98.33333333333333,98.33333333333333,0.0,False
20260820,boats,retain,catamaran,88.33333333333333,90.0,1.6666666666666714,True
20260821,boats,retain,catamaran,89.16666666666667,89.16666666666667,0.0,False
20260822,boats,retain,catamaran,88.33333333333333,89.16666666666667,0.8333333333333428,True
20260823,boats,retain,catamaran,92.5,90.0,-2.5,False
20260824,boats,retain,catamaran,90.83333333333333,90.83333333333333,0.0,False
20260820,boats,retain,schooner,89.16666666666667,90.83333333333333,1.6666666666666572,True
20260821,boats,retain,schooner,89.16666666666667,87.5,-1.6666666666666714,False
20260822,boats,retain,schooner,90.83333333333333,89.16666666666667,-1.6666666666666572,False
20260823,boats,retain,schooner,90.83333333333333,90.0,-0.8333333333333286,False
20260824,boats,retain,schooner,90.0,90.83333333333333,0.8333333333333286,True
20260820,balls,target,soccer ball,36.666666666666664,35.833333333333336,-0.8333333333333286,True
20260821,balls,target,soccer ball,36.666666666666664,36.666666666666664,0.0,False
20260822,balls,target,soccer ball,34.166666666666664,34.166666666666664,0.0,False
20260823,balls,target,soccer ball,35.0,34.166666666666664,-0.8333333333333357,True
20260824,balls,target,soccer ball,33.333333333333336,35.0,1.6666666666666643,False
20260820,balls,target,volleyball,10.0,11.666666666666666,1.666666666666666,False
20260821,balls,target,volleyball,10.833333333333334,10.833333333333334,0.0,False
20260822,balls,target,volleyball,10.833333333333334,10.833333333333334,0.0,False
20260823,balls,target,volleyball,11.666666666666666,11.666666666666666,0.0,False
20260824,balls,target,volleyball,7.5,10.833333333333334,3.333333333333334,False
20260820,balls,retain,tennis ball,19.166666666666668,19.166666666666668,0.0,False
20260821,balls,retain,tennis ball,17.5,16.666666666666668,-0.8333333333333321,False
20260822,balls,retain,tennis ball,16.666666666666668,19.166666666666668,2.5,True
20260823,balls,retain,tennis ball,19.166666666666668,18.333333333333332,-0.8333333333333357,False
20260824,balls,retain,tennis ball,20.0,20.0,0.0,False
