projection,layer_index,target_index,target_concept,official_vs_v1_pearson,official_vs_v1_spearman,official_vs_direct_pearson,official_vs_direct_spearman
to_v,0,0,golden retriever,0.019665194547719905,-0.01114277579718498,0.03018852717782983,-0.01114277579718498
to_v,0,1,labrador retriever,0.030857587442634022,0.07268131394629827,0.047584058388024035,0.07268130729205997
to_v,0,2,tabby,0.028298393231984447,0.1150367016900358,0.04464930211736655,0.1150367016900358
to_v,0,3,tiger cat,0.025899817595601827,0.03418118653231991,0.04157678059930989,0.03418118653231991
to_v,0,4,orange,0.026465683777727164,-0.04410591227236893,0.040788277453576376,-0.04410591227236893
to_v,0,5,lemon,0.03819922919696505,-0.005729851956296573,0.057595713986520115,-0.005729851956296573
to_v,0,6,yawl,0.039086701776983854,0.08769194508906908,0.06012269236073507,0.08769194508906908
to_v,0,7,lifeboat,0.03614533395673296,-0.029050064464336542,0.056384359618161795,-0.029050064464336542
to_v,0,8,soccer ball,0.037692662898155115,-0.025242405655639608,0.06140505879616333,-0.025242405655639608
to_v,0,9,volleyball,0.03773531314662806,0.13466880456811847,0.06226843862360106,0.13466880456811847
to_v,1,0,golden retriever,0.035238367104235634,0.06361743709033446,0.06686862437085508,0.06361743709033446
to_v,1,1,labrador retriever,0.05107696430919739,0.1204698980477544,0.09475026240195342,0.1204698980477544
to_v,1,2,tabby,0.06763614582566127,0.15030126408755135,0.13347570414641313,0.15030126408755135
to_v,1,3,tiger cat,0.05555414631406697,0.02160783035862597,0.10558535271709943,0.02160783035862597
to_v,1,4,orange,0.03186488750936341,0.042277679240406055,0.06215347624152315,0.042277679240406055
to_v,1,5,lemon,0.04876992923011841,0.016617228221632023,0.08734668690293373,0.016617228221632023
to_v,1,6,yawl,0.030145458180007852,0.03362627330157335,0.059950719646003715,0.03362627330157335
to_v,1,7,lifeboat,0.04602319536482534,-0.011317096792282445,0.08233487306766743,-0.011317096792282445
to_v,1,8,soccer ball,0.061394294087936285,0.1444525607900785,0.12100054124907783,0.1444525607900785
to_v,1,9,volleyball,0.05240239780664425,0.008814938860754015,0.09902865486203499,0.008814938860754015
to_v,2,0,golden retriever,0.03254341251508554,-0.028597815893157838,0.05665159107996424,-0.028606106177836002
to_v,2,1,labrador retriever,0.04390709887543917,0.051396782419769436,0.06962151301898574,0.051396480873919494
to_v,2,2,tabby,0.029943246515882923,0.02823037799345485,0.0466925942570611,0.02823037799345485
to_v,2,3,tiger cat,0.038867208695077066,0.05697523068935319,0.06479658533029589,0.05697523068935319
to_v,2,4,orange,0.041136334412188474,0.07522984014678778,0.06765811997736161,0.07522983928584848
to_v,2,5,lemon,0.034761973410387025,0.029947916947280186,0.05445358427570384,0.029947916947280186
to_v,2,6,yawl,0.03447797221713641,0.029097387516748584,0.05555631194427016,0.029097387516748584
to_v,2,7,lifeboat,0.036764306754634817,0.08832270510973175,0.05577489174017224,0.08832270510973175
to_v,2,8,soccer ball,0.037269034749591395,0.02955541641297495,0.06384907417090101,0.02955541641297495
to_v,2,9,volleyball,0.02251793705519866,0.042489364160850376,0.03824077067800335,0.042489364160850376
to_v,3,0,golden retriever,0.041848035252716,0.11129599063341582,0.07332646998514405,0.11129599063341582
to_v,3,1,labrador retriever,0.040838091938726964,0.07551040680322858,0.06483709106008109,0.07551040680322858
to_v,3,2,tabby,0.03196237531312241,0.015649693098394896,0.05464335555977572,0.015657977619115356
to_v,3,3,tiger cat,0.03626032209650582,0.043582448139519045,0.060147911668456996,0.043582448139519045
to_v,3,4,orange,0.031338396676860454,0.04454036314916273,0.05083722925505628,0.04454036314916273
to_v,3,5,lemon,0.03253314147268065,0.07920871236027374,0.05087958179139909,0.07920871236027374
to_v,3,6,yawl,0.02674716820663837,0.02244957798585904,0.042986551826918344,0.02244957798585904
to_v,3,7,lifeboat,0.04314355558249637,0.06978362830999194,0.06838012898943191,0.06978362830999194
to_v,3,8,soccer ball,0.04505972113904378,0.06280474002090274,0.07867705136851046,0.06280474002090274
to_v,3,9,volleyball,0.04645484510412108,0.06254506198248759,0.08080540404234017,0.06254506198248759
to_v,4,0,golden retriever,0.046420530877125346,0.08160621592577355,0.08422929092247637,0.08160621592577355
to_v,4,1,labrador retriever,0.0468218715273618,0.08263725541356814,0.07860887766848704,0.08263931823756653
to_v,4,2,tabby,0.04269622639658352,0.10209268698049064,0.07851772790602304,0.10209268683444579
to_v,4,3,tiger cat,0.05126182297121509,0.09667431759745863,0.08821864934891781,0.09667431759745863
to_v,4,4,orange,0.05000187957314159,0.06790842946122787,0.08768005679480341,0.06790842936408403
to_v,4,5,lemon,0.038237372710979094,0.06245263539489265,0.07225915655256819,0.06245263539489265
to_v,4,6,yawl,0.034663526861139646,0.020274877333876742,0.06623178333388463,0.020274877333876742
to_v,4,7,lifeboat,0.04440065981451011,0.042949245681625274,0.08100140606901039,0.042949245681625274
to_v,4,8,soccer ball,0.04327267599534452,0.06346834546010012,0.0804496107634264,0.06346834536930789
to_v,4,9,volleyball,0.045886313698736254,0.10695904440840812,0.08042183942736908,0.1069590442554019
to_v,5,0,golden retriever,0.04647478276394752,0.058860250678425916,0.08567321625089108,0.058860250678425916
to_v,5,1,labrador retriever,0.05097135452643589,0.06608363300210873,0.09405033478499623,0.06608363290757528
to_v,5,2,tabby,0.04627660039478763,0.09364967191737501,0.08605147546759466,0.09364967191737501
to_v,5,3,tiger cat,0.04955594930772681,0.06824073550126174,0.09062078099053827,0.06824279139785969
to_v,5,4,orange,0.058877509849698216,0.08096355575313652,0.1061517290959748,0.08096355563731716
to_v,5,5,lemon,0.046964591061507924,0.06685307482493161,0.08824161375196504,0.06685307482493161
to_v,5,6,yawl,0.04827349099894472,0.08162154215934657,0.09062091986940189,0.08162154204258595
to_v,5,7,lifeboat,0.048925297465976354,0.08374594280667534,0.08943115671856128,0.08374594280667534
to_v,5,8,soccer ball,0.04309674498431798,0.03623937720343937,0.07936773964849009,0.036239377151598494
to_v,5,9,volleyball,0.05400265334838158,0.03884658439915273,0.10004070717421366,0.038846584343582215
to_v,6,0,golden retriever,0.05182846173502809,0.018952985828339264,0.09691489012065811,0.018952985828339264
to_v,6,1,labrador retriever,0.052515778011031994,0.0404596539640083,0.0985923044075629,0.0404596539640083
to_v,6,2,tabby,0.04173177739685982,0.026245394354120783,0.0763741729444408,0.026247472087670337
to_v,6,3,tiger cat,0.04270726315809286,0.016288515164425515,0.080308574374924,0.016288515164425515
to_v,6,4,orange,0.050940923233243056,0.049021020480904225,0.09680823799683978,0.049021020480904225
to_v,6,5,lemon,0.049457860011748414,0.06058679089720901,0.09261689295695859,0.06058679081053885
to_v,6,6,yawl,0.04127681000638325,0.0572578780155176,0.08041110059069324,0.0572578780155176
to_v,6,7,lifeboat,0.050755762121952874,0.07338724516242984,0.09646554117115937,0.07338724516242984
to_v,6,8,soccer ball,0.052702880545366135,0.07057511402672528,0.10217252193243667,0.07057511392576672
to_v,6,9,volleyball,0.05475036317221058,0.0753477012679336,0.10075639437283179,0.0753477012679336
to_v,7,0,golden retriever,0.04902647121543081,0.09097848369644922,0.09232066877616402,0.09097848369644922
to_v,7,1,labrador retriever,0.05248224879755838,0.10663890736721587,0.09581937640093442,0.10664095889829849
to_v,7,2,tabby,0.03981017311501025,0.07343411897907758,0.07812553992662968,0.07343411897907758
to_v,7,3,tiger cat,0.054007746590698485,0.07869800671867404,0.10331998686747738,0.0786980061557817
to_v,7,4,orange,0.051492498954982764,0.10622960362265747,0.09662365122963276,0.10622960362265747
to_v,7,5,lemon,0.04257294716817359,0.0750768519955008,0.07715755371022971,0.07507685188810245
to_v,7,6,yawl,0.05467092523349418,0.11730751652302115,0.10108631452400586,0.11730751652302115
to_v,7,7,lifeboat,0.04338562817133743,0.09094020606866246,0.08285110349263285,0.09094120955642152
