matrix_index,projection,layer_index,official_V_frobenius,treatment_V_frobenius,treatment_to_official_V_ratio,official_mat1_agg_frobenius,treatment_mat1_agg_frobenius
0,to_v,0,3837.640297004095,14834.222405815703,3.865454096204961,3837.911215460219,14834.413740906646
1,to_v,1,2160.0453051651234,154.86864105542702,0.07169694111744021,2160.294005895499,155.12625489937565
2,to_v,2,3628.7015270993434,4001.7130367634168,1.1027947619495302,3629.009229335956,4001.9439721814756
3,to_v,3,4828.139209211312,6548.308373512931,1.3562799434241277,4828.55429744346,6548.628931321252
4,to_v,4,4929.38731643437,2873.078993159588,0.5828470778875223,4929.707063386684,2873.29811644103
5,to_v,5,4419.018733774631,1183.9152513755885,0.26791360768102324,4419.33293958546,1184.1897038502232
6,to_v,6,5512.483785420612,829.0847283758412,0.15040130014869163,5512.855274437628,829.5252260334106
7,to_v,7,6714.658376862597,1352.7278410875413,0.20145892242988528,6715.121352333968,1353.1395918207843
8,to_v,8,4800.426706950756,840.6757535360069,0.1751252138312526,4800.833989964798,841.135567460756
9,to_v,9,8862.734775319339,5532.153945909189,0.6242039377410858,8863.43694624489,5532.618600537893
10,to_v,10,3953.9110185644586,1750.7264801215867,0.4427834799269764,3954.2572819994675,1751.003601571911
11,to_v,11,3914.155614176053,3778.1053236506395,0.9652414712300464,3914.4545272264327,3778.292431260927
12,to_v,12,1786.582918793889,85.30279600247532,0.0477463402930454,1786.7798618657869,85.53574628064106
13,to_v,13,2691.2531686096613,1353.697052332604,0.502998776971972,2691.5362794611283,1353.9012378149969
14,to_v,14,2831.406890446343,774.6447484361728,0.2735900484843624,2831.6990633625505,774.8540025907675
15,to_v,15,5892.0272647236525,1100.0019752265841,0.18669329346326036,5892.388824165292,1100.3428176770246
16,to_k,0,8667.858961721806,18922.012306526256,2.1830087903007986,8668.521482628217,18922.356563855392
17,to_k,1,5612.106182404209,1495.9224471969121,0.2665527697760101,5612.770212024521,1496.3950307557623
18,to_k,2,8180.940514561122,4943.539913839217,0.6042752547876727,8181.610943767039,4944.030695680188
19,to_k,3,8491.663568490543,5864.723165894217,0.6906447857468188,8492.356760323863,5865.210128788313
20,to_k,4,11584.38509282545,7562.432215117609,0.6528125709323359,11585.266929268511,7563.042636697962
21,to_k,5,11151.878257237218,5512.3877879805705,0.49430128816221647,11152.691588391312,5512.930147263404
22,to_k,6,9521.340323466173,4365.618794687458,0.4585088492140135,9521.998893840178,4366.073463310869
23,to_k,7,9706.694614597318,5543.0988204889145,0.5710593606347705,9707.399328979418,5543.549448230008
24,to_k,8,9512.497365518437,5794.369316326833,0.6091322913087647,9513.201084619745,5794.775724434222
25,to_k,9,8382.364442084625,8511.851529249667,1.0154475611338176,8383.094636128177,8512.305781956595
26,to_k,10,5463.138702917401,1981.8312883498234,0.36276422696196503,5463.600626841554,1982.2021672886547
27,to_k,11,7313.2035887077145,6011.525515937287,0.8220098679079108,7313.746939746533,6011.810191124156
28,to_k,12,4659.01260873607,2037.8613729637868,0.43740198709542283,4659.679717310859,2038.219523911177
29,to_k,13,7319.230359419129,10586.927017923826,1.4464535884294847,7319.966658490383,10587.340901898651
30,to_k,14,5565.304738087812,4215.1218110947175,0.7573928130560905,5566.069412578869,4215.560670816593
31,to_k,15,10328.621732010717,6067.045643973068,0.5874012817382915,10329.371028012809,6067.525526649107
