edit_seed,variant,unlearn_accuracy,preserve_accuracy,overall_accuracy
20260820,official,19.75,40.611111111111114,53.930360836589294
20260820,projection_accumulation_direct_cos2,19.666666666666668,40.5,53.85103448275862
20260821,official,19.0,40.44444444444444,53.950594693504115
20260821,projection_accumulation_direct_cos2,18.333333333333332,40.27777777777778,53.948367501898254
20260822,official,19.75,40.22222222222222,53.58635001152871
20260822,projection_accumulation_direct_cos2,19.75,40.55555555555556,53.88135203495057
20260823,official,18.833333333333332,40.77777777777778,54.283675018982535
20260823,projection_accumulation_direct_cos2,19.166666666666668,40.833333333333336,54.25799086757991
20260824,official,19.0,40.22222222222222,53.75252062328139
20260824,projection_accumulation_direct_cos2,18.583333333333332,40.388888888888886,53.99308247814519
