target_concept,raw_cos2_finite,raw_cos2_non_constant,raw_cos2_min,raw_cos2_p01,raw_cos2_median,raw_cos2_mean,raw_cos2_std,raw_cos2_rms,raw_cos2_p95,raw_cos2_p99,raw_cos2_max,raw_cos2_top_1pct_weight_share,raw_cos2_top_5pct_weight_share,v1_alpha_finite,v1_alpha_non_constant,v1_alpha_min,v1_alpha_p01,v1_alpha_median,v1_alpha_mean,v1_alpha_std,v1_alpha_rms,v1_alpha_p95,v1_alpha_p99,v1_alpha_max,v1_alpha_top_1pct_weight_share,v1_alpha_top_5pct_weight_share,official_alpha_finite,official_alpha_non_constant,official_alpha_min,official_alpha_p01,official_alpha_median,official_alpha_mean,official_alpha_std,official_alpha_rms,official_alpha_p95,official_alpha_p99,official_alpha_max,official_alpha_top_1pct_weight_share,official_alpha_top_5pct_weight_share,v1_to_raw_mean_ratio
golden retriever,True,True,3.9845495067476755e-13,1.494342254204639e-07,0.0005035200447309762,0.0012979607830079488,0.0024650540981822487,0.002785848246406239,0.004972580308094617,0.010842358870431773,0.05924053490161896,0.13969064938342746,0.3527915182119508,True,True,1.1219713996979408e-05,2.2718076852470404e-05,0.0004437664902070537,0.06455528018111133,0.19023591094161113,0.20088712279068893,0.5245411723852157,0.9793917787075043,1.0,0.15431178439098625,0.6297474514597275,True,True,0.0,2.3018828843164547e-34,0.007837404496967793,0.007558637101147981,0.0011931201210449499,0.007652220162633586,0.008694249205291271,0.010103877633810043,0.010103912092745304,0.013388776548491525,0.06066734126347493,49.73592501886553
labrador retriever,True,True,7.840197133006377e-13,1.477434254582022e-07,0.0004362020408734679,0.0011804341343088101,0.0023157689574242325,0.0025992298387038015,0.0045679648173972956,0.009970436925068483,0.04697119817137718,0.14412118768827387,0.3628168699561698,True,True,2.235030297015328e-05,2.7730720321414993e-05,0.0004431754205143079,0.06509801363559375,0.19093787385780847,0.2017264544495059,0.5367814421653746,0.973088544011116,1.0,0.15277079395859636,0.6244281610337287,True,True,0.0,2.847055766557227e-33,0.007837959565222263,0.007544922372676993,0.0013552250625239754,0.007665664680683817,0.0086968457326293,0.010106770321726799,0.010106770321726799,0.013416926734324446,0.062275641463756366,55.14751881832963
tabby,True,True,7.89845456834054e-13,1.8004638292268282e-07,0.0004724271275335923,0.0012244990147869048,0.0023226727741416445,0.0026256409721778853,0.0047420367831364245,0.01084890382364392,0.05324751138687134,0.13880767454281454,0.35687626281942714,True,True,1.9177698050043546e-05,2.444386380375363e-05,0.00044514681212604046,0.06608037447127296,0.19337715889591656,0.20435225295258957,0.5423631131649009,0.9788488590717316,1.0,0.15075136126875696,0.6229138586688472,True,True,0.0,9.517558070390629e-36,0.007325941696763039,0.007300704245874211,0.0011947885446330665,0.007397820284368747,0.008937506936490536,0.010094691999256611,0.010094725526869297,0.013849196266953355,0.06515824105480393,53.965232861189925
tiger cat,True,True,8.183227858359066e-13,1.3422601426782422e-07,0.00047056173207238317,0.0012580545715174367,0.002397297910652306,0.0027073064709122042,0.0049393605673685665,0.010673989765346047,0.05678197741508484,0.141129725050333,0.3559724007489929,True,True,1.6104584574350156e-05,2.112971162205213e-05,0.0004239851114107296,0.06619424258531074,0.19327031528818625,0.20428802214519962,0.5530795037746424,0.976139053106308,1.0,0.15031679958018862,0.6227276464260827,True,True,0.0,2.884022871318117e-35,0.007591729052364826,0.007514110235523474,0.0012401760830286499,0.007615761795674415,0.009053701534867287,0.00916963629424572,0.00916963629424572,0.012222779459349542,0.060630339440000146,52.61635232998578
orange,True,True,1.6013043321883025e-11,1.8899397872473855e-07,0.0005217487341724336,0.0013189771022728313,0.0023857086605220254,0.002726000436560998,0.005070302006788551,0.010704611344262956,0.05584233999252319,0.12903987426386757,0.3393094203493688,True,True,1.3578369362221565e-05,2.0417856012500125e-05,0.00039569781802129,0.06938274026267965,0.19699819803932658,0.20885569146611313,0.5792569398880004,0.9757873392105102,1.0,0.14332153940485537,0.5987908774948788,True,True,0.0,1.487901489596244e-35,0.007454667240381241,0.0073639015876734515,0.0014443281979996244,0.007504201953532121,0.009289833717048168,0.010563950054347515,0.010563984513282776,0.014368607282900092,0.06521896687930846,52.6034456118464
lemon,True,True,1.1613652747821668e-12,2.2246841112405492e-07,0.0005881212127860636,0.001516092575315075,0.0027118622308021935,0.00310683743000558,0.005940182344056664,0.012387788444757453,0.05647565796971321,0.12662707453314556,0.33926044505034275,True,True,2.2272181013249792e-05,2.5798766619118395e-05,0.0004036256286781281,0.0696887943049039,0.19795569640830196,0.20986046750616186,0.5794583469629285,0.977503936290741,1.0,0.1426681229406429,0.5992797706566255,True,True,0.0,3.720415226548873e-35,0.0073259733617305756,0.007174807532903024,0.001368219554881515,0.007304095623933891,0.008455655537545681,0.010608719661831856,0.010608755052089691,0.01480979370220494,0.06469439220437549,45.96605473806318
yawl,True,True,4.908048387196676e-14,2.091422196315307e-07,0.0004860134795308113,0.001268332965382823,0.002306168295104963,0.0026318943062007653,0.004955643182620406,0.010408680820837617,0.04830542951822281,0.12926027920870775,0.3437359976057522,True,True,1.7213329556398094e-05,2.421910914563341e-05,0.0003789033944485709,0.07072750688781235,0.19923132705902788,0.2114093461580374,0.587203299999237,0.9740066069364548,1.0,0.1405203714631535,0.592802240403775,True,True,0.0,1.487901489596244e-35,0.007194432895630598,0.007322850461992531,0.0011199750905091259,0.007407997896725558,0.008698888123035431,0.00916384533047676,0.009163876995444298,0.012534122212159278,0.060220087806717115,55.764147757891436
lifeboat,True,True,4.232351448474336e-12,1.6099553576509606e-07,0.0005224333435762674,0.001380798383949584,0.0025722435969654364,0.00291937942337614,0.005386307928711176,0.011723124124109745,0.048277053982019424,0.135614757106035,0.3517031674146972,True,True,2.1388485038187355e-05,2.4033668287302133e-05,0.00041546561988070607,0.06679749336827752,0.19510945834165505,0.2062233757516173,0.5647966802120203,0.9767409753799438,1.0,0.1490292361893287,0.6218682845461624,True,True,0.0,3.0919427480182745e-35,0.007713089231401682,0.007557211110449712,0.0012006571689728897,0.0076519905678062725,0.008934272453188896,0.009635546244680882,0.009635571390390396,0.012770588646360194,0.06140362606348645,48.37599329832098
soccer ball,True,True,4.200023710982173e-14,1.65189165954871e-07,0.0005647381476592273,0.0013753359401457946,0.0022946578086871995,0.002675218206337263,0.00536516944412142,0.01077041390351951,0.03873378038406372,0.11452407295574235,0.32352845150857,True,True,1.0898772416112479e-05,1.9359080233698478e-05,0.0003615157474996522,0.07278077738036458,0.2013632155480603,0.21410876125695102,0.607734566926956,0.9769032168388366,1.0,0.13667138868131617,0.5796564860220419,True,True,0.0,1.973442788938718e-35,0.007456005550920963,0.007445202253028326,0.0011614202182908663,0.007535242495740151,0.008585880510509014,0.009174078702926636,0.009174102917313576,0.012341902958308743,0.05901046084397068,52.91854539382526
volleyball,True,True,6.102632251126687e-15,1.5084197656278776e-07,0.0005544603627640754,0.0013558428616957518,0.0023333042991556074,0.002698592354676254,0.005211665132082998,0.010940427994355557,0.048396773636341095,0.12179780630287292,0.3305562657890117,True,True,2.1343043044907972e-05,2.435655327644781e-05,0.00039495446253567934,0.06885243067825808,0.19603597551987215,0.20777204152800802,0.5696697771549218,0.9785116118192673,1.0,0.14468933799716738,0.6004846618044786,True,True,0.0,1.6310401050811796e-33,0.007963858544826508,0.0075392082754450924,0.0012801600646759712,0.007647117467012476,0.008576039224863052,0.011026933789253235,0.01102697104215622,0.014649586781932986,0.06127838600358914,50.78201362667086
