group,role,concept,official,matched_retain,delta
dogs,target,golden retriever,13.333333333333334,6.666666666666667,-6.666666666666667
dogs,target,labrador retriever,20.0,16.666666666666668,-3.333333333333332
dogs,retain,german shepherd,45.833333333333336,49.166666666666664,3.3333333333333286
dogs,retain,chesapeake bay retriever,10.0,13.333333333333334,3.333333333333334
dogs,retain,pug,82.5,80.0,-2.5
cats,target,tabby,13.333333333333334,10.833333333333334,-2.5
cats,target,tiger cat,42.5,50.0,7.5
cats,retain,persian cat,19.166666666666668,20.0,0.8333333333333321
cats,retain,siamese cat,38.333333333333336,44.166666666666664,5.833333333333329
cats,retain,egyptian cat,0.8333333333333334,0.0,-0.8333333333333334
fruits,target,orange,8.333333333333334,7.5,-0.8333333333333339
fruits,target,lemon,11.666666666666666,8.333333333333334,-3.333333333333332
fruits,retain,pomegranate,17.5,20.0,2.5
fruits,retain,fig,15.0,13.333333333333334,-1.666666666666666
fruits,retain,granny smith,23.333333333333332,22.5,-0.8333333333333321
boats,target,yawl,36.666666666666664,34.166666666666664,-2.5
boats,target,lifeboat,5.0,5.833333333333333,0.833333333333333
boats,retain,speedboat,98.33333333333333,99.16666666666667,0.8333333333333428
boats,retain,catamaran,88.33333333333333,90.0,1.6666666666666714
boats,retain,schooner,89.16666666666667,90.83333333333333,1.6666666666666572
balls,target,soccer ball,36.666666666666664,24.166666666666668,-12.499999999999996
balls,target,volleyball,10.0,10.0,0.0
balls,retain,tennis ball,19.166666666666668,19.166666666666668,0.0
balls,retain,rugby ball,27.5,32.5,5.0
balls,retain,ping-pong ball,34.166666666666664,31.666666666666668,-2.4999999999999964
