group,concept,official_20260820,matched_20260820,official_20260821,matched_20260821,official_20260822,matched_20260822,official_20260823,matched_20260823,official_20260824,matched_20260824,mean_delta,improvement_seed_count,total_seeds
dogs,german shepherd,45.833333333333336,49.166666666666664,47.5,49.166666666666664,43.333333333333336,50.833333333333336,46.666666666666664,45.833333333333336,46.666666666666664,51.666666666666664,3.333333333333333,4,5
dogs,chesapeake bay retriever,10.0,13.333333333333334,6.666666666666667,6.666666666666667,10.0,11.666666666666666,11.666666666666666,12.5,6.666666666666667,10.0,1.8333333333333335,4,5
dogs,pug,82.5,80.0,82.5,80.0,84.16666666666667,79.16666666666667,82.5,82.5,80.83333333333333,80.83333333333333,-2.0,0,5
cats,persian cat,19.166666666666668,20.0,19.166666666666668,20.0,20.0,20.0,18.333333333333332,21.666666666666668,20.833333333333332,20.833333333333332,1.0,3,5
cats,siamese cat,38.333333333333336,44.166666666666664,35.833333333333336,37.5,35.0,43.333333333333336,36.666666666666664,43.333333333333336,36.666666666666664,42.5,5.666666666666667,5,5
cats,egyptian cat,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16666666666666669,0,5
fruits,pomegranate,17.5,20.0,18.333333333333332,20.0,19.166666666666668,21.666666666666668,16.666666666666668,21.666666666666668,16.666666666666668,18.333333333333332,2.6666666666666665,5,5
fruits,fig,15.0,13.333333333333334,15.0,12.5,15.0,15.833333333333334,15.0,12.5,15.0,15.0,-1.1666666666666665,1,5
fruits,granny smith,23.333333333333332,22.5,20.0,23.333333333333332,20.833333333333332,25.0,18.333333333333332,25.0,20.833333333333332,25.833333333333332,3.666666666666667,4,5
boats,speedboat,98.33333333333333,99.16666666666667,98.33333333333333,97.5,98.33333333333333,98.33333333333333,98.33333333333333,96.66666666666667,98.33333333333333,97.5,-0.49999999999999434,1,5
boats,catamaran,88.33333333333333,90.0,89.16666666666667,92.5,88.33333333333333,90.0,92.5,91.66666666666667,90.83333333333333,91.66666666666667,1.333333333333337,4,5
boats,schooner,89.16666666666667,90.83333333333333,89.16666666666667,86.66666666666667,90.83333333333333,88.33333333333333,90.83333333333333,86.66666666666667,90.0,86.66666666666667,-2.1666666666666656,1,5
balls,tennis ball,19.166666666666668,19.166666666666668,17.5,20.833333333333332,16.666666666666668,20.833333333333332,19.166666666666668,17.5,20.0,21.666666666666668,1.4999999999999993,3,5
balls,rugby ball,27.5,32.5,31.666666666666668,35.833333333333336,27.5,33.333333333333336,31.666666666666668,32.5,25.833333333333332,33.333333333333336,4.666666666666668,5,5
balls,ping-pong ball,34.166666666666664,31.666666666666668,35.833333333333336,30.0,34.166666666666664,29.166666666666668,33.333333333333336,30.0,34.166666666666664,29.166666666666668,-4.333333333333332,0,5
