variant,group,role,concept,sample_index,prompt,seed,prediction,correct,image_path,image_sha256,selection_basis
official,dogs,target,golden retriever,0,an image of a golden retriever,48273,labrador retriever,0,qualitative/images/official/dogs/golden_retriever/0000.png,a0dcc21df40ce363e0124b9f0f79dfffe628830677f5fb421118e07a0263e7fd,predeclared concept and ordered sample index
official,dogs,target,golden retriever,1,an image of a golden retriever,51933,doormat,0,qualitative/images/official/dogs/golden_retriever/0001.png,e54cfa320bbee95ef38926df9c80218fc61020c0c43c819fbdfc18d6ced3fa8b,predeclared concept and ordered sample index
official,dogs,target,labrador retriever,0,an image of a labrador retriever,20114,german short-haired pointer,0,qualitative/images/official/dogs/labrador_retriever/0000.png,a8bbd409698d6216ae82cf477d7de8a45e213882358ff6b31ce8f7f054d58c7a,predeclared concept and ordered sample index
official,dogs,target,labrador retriever,1,an image of a labrador retriever,55514,paddle,0,qualitative/images/official/dogs/labrador_retriever/0001.png,5f96b6f5a0c35fdf123d51f8ef47da454e90998ac179454017c5d0950d1f677b,predeclared concept and ordered sample index
official,dogs,retain,german shepherd,0,an image of a german shepherd,87957,german shepherd,1,qualitative/images/official/dogs/german_shepherd/0000.png,704803a251476b15c742f3746b63d413a6069ebf0b61418e96de1f66595aeb59,predeclared concept and ordered sample index
official,dogs,retain,german shepherd,1,an image of a german shepherd,96454,book jacket,0,qualitative/images/official/dogs/german_shepherd/0001.png,01ce0539f3ef4bab353149f8205d69ec514c3a5da605f8db2e64d4495ff4131a,predeclared concept and ordered sample index
official,cats,target,tabby,0,an image of a tabby,20088,egyptian cat,0,qualitative/images/official/cats/tabby/0000.png,90e71a37994ffbe1dbd0c57a9f0032df128424cc521a5ed0fae03cf64b2bf3fb,predeclared concept and ordered sample index
official,cats,target,tabby,1,an image of a tabby,74361,mongoose,0,qualitative/images/official/cats/tabby/0001.png,308c0052d136dc7cf6abbd1eb50b99f91ab2492ea1fd2ed45cc216d3477e334a,predeclared concept and ordered sample index
official,cats,target,tiger cat,0,an image of a tiger cat,85518,matchstick,0,qualitative/images/official/cats/tiger_cat/0000.png,e9c4a470ad900801f7de4f9402eb27af8a1cc00eac80d618ef16bac39fb27d33,predeclared concept and ordered sample index
official,cats,target,tiger cat,1,an image of a tiger cat,10629,egyptian cat,0,qualitative/images/official/cats/tiger_cat/0001.png,7ed594af8327d43df7c079dd46da75cfdb0e820bed7ac17306401e293b5a913b,predeclared concept and ordered sample index
official,cats,retain,persian cat,0,an image of a persian cat,63676,prayer rug,0,qualitative/images/official/cats/persian_cat/0000.png,711e2901f925ca4fc91fd9d485001cc9ea5f314fda6bb19a2b394e5b131354b7,predeclared concept and ordered sample index
