edit_seed,group,role,concept,official_acc,superclass_acc,delta_acc,matched_acc,superclass_vs_matched_delta
20260820,dogs,target,golden retriever,13.333333333333334,15.0,1.666666666666666,6.666666666666667,8.333333333333332
20260820,dogs,target,labrador retriever,20.0,19.166666666666668,-0.8333333333333321,16.666666666666668,2.5
20260820,dogs,retain,german shepherd,45.833333333333336,48.333333333333336,2.5,49.166666666666664,-0.8333333333333286
20260820,dogs,retain,chesapeake bay retriever,10.0,8.333333333333334,-1.666666666666666,13.333333333333334,-5.0
20260820,dogs,retain,pug,82.5,80.83333333333333,-1.6666666666666714,80.0,0.8333333333333286
20260820,cats,target,tabby,13.333333333333334,12.5,-0.8333333333333339,10.833333333333334,1.666666666666666
20260820,cats,target,tiger cat,42.5,45.0,2.5,50.0,-5.0
20260820,cats,retain,persian cat,19.166666666666668,20.833333333333332,1.6666666666666643,20.0,0.8333333333333321
20260820,cats,retain,siamese cat,38.333333333333336,39.166666666666664,0.8333333333333286,44.166666666666664,-5.0
20260820,cats,retain,egyptian cat,0.8333333333333334,0.0,-0.8333333333333334,0.0,0.0
20260820,fruits,target,orange,8.333333333333334,6.666666666666667,-1.666666666666667,7.5,-0.833333333333333
20260820,fruits,target,lemon,11.666666666666666,10.833333333333334,-0.8333333333333321,8.333333333333334,2.5
20260820,fruits,retain,pomegranate,17.5,22.5,5.0,20.0,2.5
20260820,fruits,retain,fig,15.0,14.166666666666666,-0.8333333333333339,13.333333333333334,0.8333333333333321
20260820,fruits,retain,granny smith,23.333333333333332,21.666666666666668,-1.6666666666666643,22.5,-0.8333333333333321
20260820,boats,target,yawl,36.666666666666664,39.166666666666664,2.5,34.166666666666664,5.0
20260820,boats,target,lifeboat,5.0,3.3333333333333335,-1.6666666666666665,5.833333333333333,-2.4999999999999996
20260820,boats,retain,speedboat,98.33333333333333,98.33333333333333,0.0,99.16666666666667,-0.8333333333333428
20260820,boats,retain,catamaran,88.33333333333333,90.83333333333333,2.5,90.0,0.8333333333333286
20260820,boats,retain,schooner,89.16666666666667,92.5,3.3333333333333286,90.83333333333333,1.6666666666666714
20260820,balls,target,soccer ball,36.666666666666664,33.333333333333336,-3.3333333333333286,24.166666666666668,9.166666666666668
20260820,balls,target,volleyball,10.0,10.833333333333334,0.8333333333333339,10.0,0.8333333333333339
20260820,balls,retain,tennis ball,19.166666666666668,20.0,0.8333333333333321,19.166666666666668,0.8333333333333321
20260820,balls,retain,rugby ball,27.5,28.333333333333332,0.8333333333333321,32.5,-4.166666666666668
20260820,balls,retain,ping-pong ball,34.166666666666664,33.333333333333336,-0.8333333333333286,31.666666666666668,1.6666666666666679
20260821,dogs,target,golden retriever,11.666666666666666,13.333333333333334,1.6666666666666679,6.666666666666667,6.666666666666667
20260821,dogs,target,labrador retriever,19.166666666666668,20.833333333333332,1.6666666666666643,18.333333333333332,2.5
20260821,dogs,retain,german shepherd,47.5,48.333333333333336,0.8333333333333357,49.166666666666664,-0.8333333333333286
20260821,dogs,retain,chesapeake bay retriever,6.666666666666667,7.5,0.833333333333333,6.666666666666667,0.833333333333333
20260821,dogs,retain,pug,82.5,83.33333333333333,0.8333333333333286,80.0,3.3333333333333286
20260821,cats,target,tabby,9.166666666666666,13.333333333333334,4.166666666666668,10.833333333333334,2.5
20260821,cats,target,tiger cat,43.333333333333336,42.5,-0.8333333333333357,46.666666666666664,-4.166666666666664
20260821,cats,retain,persian cat,19.166666666666668,19.166666666666668,0.0,20.0,-0.8333333333333321
20260821,cats,retain,siamese cat,35.833333333333336,39.166666666666664,3.3333333333333286,37.5,1.6666666666666643
20260821,cats,retain,egyptian cat,0.0,0.0,0.0,0.0,0.0
20260821,fruits,target,orange,7.5,6.666666666666667,-0.833333333333333,5.0,1.666666666666667
20260821,fruits,target,lemon,10.833333333333334,11.666666666666666,0.8333333333333321,10.833333333333334,0.8333333333333321
20260821,fruits,retain,pomegranate,18.333333333333332,18.333333333333332,0.0,20.0,-1.6666666666666679
20260821,fruits,retain,fig,15.0,15.833333333333334,0.8333333333333339,12.5,3.333333333333334
20260821,fruits,retain,granny smith,20.0,20.833333333333332,0.8333333333333321,23.333333333333332,-2.5
20260821,boats,target,yawl,35.0,37.5,2.5,35.0,2.5
20260821,boats,target,lifeboat,5.833333333333333,5.0,-0.833333333333333,6.666666666666667,-1.666666666666667
20260821,boats,retain,speedboat,98.33333333333333,98.33333333333333,0.0,97.5,0.8333333333333286
20260821,boats,retain,catamaran,89.16666666666667,88.33333333333333,-0.8333333333333428,92.5,-4.166666666666671
20260821,boats,retain,schooner,89.16666666666667,93.33333333333333,4.166666666666657,86.66666666666667,6.666666666666657
20260821,balls,target,soccer ball,36.666666666666664,33.333333333333336,-3.3333333333333286,24.166666666666668,9.166666666666668
20260821,balls,target,volleyball,10.833333333333334,9.166666666666666,-1.6666666666666679,8.333333333333334,0.8333333333333321
20260821,balls,retain,tennis ball,17.5,20.833333333333332,3.333333333333332,20.833333333333332,0.0
20260821,balls,retain,rugby ball,31.666666666666668,26.666666666666668,-5.0,35.833333333333336,-9.166666666666668
20260821,balls,retain,ping-pong ball,35.833333333333336,35.0,-0.8333333333333357,30.0,5.0
20260822,dogs,target,golden retriever,13.333333333333334,13.333333333333334,0.0,6.666666666666667,6.666666666666667
20260822,dogs,target,labrador retriever,19.166666666666668,19.166666666666668,0.0,17.5,1.6666666666666679
20260822,dogs,retain,german shepherd,43.333333333333336,45.833333333333336,2.5,50.833333333333336,-5.0
20260822,dogs,retain,chesapeake bay retriever,10.0,10.833333333333334,0.8333333333333339,11.666666666666666,-0.8333333333333321
20260822,dogs,retain,pug,84.16666666666667,85.0,0.8333333333333286,79.16666666666667,5.833333333333329
20260822,cats,target,tabby,12.5,12.5,0.0,11.666666666666666,0.8333333333333339
20260822,cats,target,tiger cat,42.5,45.0,2.5,50.0,-5.0
20260822,cats,retain,persian cat,20.0,20.0,0.0,20.0,0.0
20260822,cats,retain,siamese cat,35.0,40.0,5.0,43.333333333333336,-3.3333333333333357
20260822,cats,retain,egyptian cat,0.0,0.0,0.0,0.0,0.0
20260822,fruits,target,orange,9.166666666666666,6.666666666666667,-2.499999999999999,4.166666666666667,2.5
20260822,fruits,target,lemon,11.666666666666666,11.666666666666666,0.0,10.0,1.666666666666666
20260822,fruits,retain,pomegranate,19.166666666666668,17.5,-1.6666666666666679,21.666666666666668,-4.166666666666668
20260822,fruits,retain,fig,15.0,14.166666666666666,-0.8333333333333339,15.833333333333334,-1.6666666666666679
20260822,fruits,retain,granny smith,20.833333333333332,22.5,1.6666666666666679,25.0,-2.5
20260822,boats,target,yawl,39.166666666666664,36.666666666666664,-2.5,34.166666666666664,2.5
20260822,boats,target,lifeboat,5.0,5.0,0.0,6.666666666666667,-1.666666666666667
20260822,boats,retain,speedboat,98.33333333333333,98.33333333333333,0.0,98.33333333333333,0.0
20260822,boats,retain,catamaran,88.33333333333333,91.66666666666667,3.333333333333343,90.0,1.6666666666666714
20260822,boats,retain,schooner,90.83333333333333,93.33333333333333,2.5,88.33333333333333,5.0
20260822,balls,target,soccer ball,34.166666666666664,35.833333333333336,1.6666666666666714,23.333333333333332,12.500000000000004
20260822,balls,target,volleyball,10.833333333333334,10.833333333333334,0.0,8.333333333333334,2.5
20260822,balls,retain,tennis ball,16.666666666666668,19.166666666666668,2.5,20.833333333333332,-1.6666666666666643
20260822,balls,retain,rugby ball,27.5,28.333333333333332,0.8333333333333321,33.333333333333336,-5.0000000000000036
20260822,balls,retain,ping-pong ball,34.166666666666664,35.0,0.8333333333333357,29.166666666666668,5.833333333333332
20260823,dogs,target,golden retriever,13.333333333333334,13.333333333333334,0.0,7.5,5.833333333333334
20260823,dogs,target,labrador retriever,19.166666666666668,20.833333333333332,1.6666666666666643,18.333333333333332,2.5
20260823,dogs,retain,german shepherd,46.666666666666664,42.5,-4.166666666666664,45.833333333333336,-3.3333333333333357
20260823,dogs,retain,chesapeake bay retriever,11.666666666666666,10.0,-1.666666666666666,12.5,-2.5
20260823,dogs,retain,pug,82.5,82.5,0.0,82.5,0.0
20260823,cats,target,tabby,10.833333333333334,12.5,1.666666666666666,10.833333333333334,1.666666666666666
20260823,cats,target,tiger cat,43.333333333333336,41.666666666666664,-1.6666666666666714,47.5,-5.833333333333336
20260823,cats,retain,persian cat,18.333333333333332,19.166666666666668,0.8333333333333357,21.666666666666668,-2.5
20260823,cats,retain,siamese cat,36.666666666666664,37.5,0.8333333333333357,43.333333333333336,-5.833333333333336
20260823,cats,retain,egyptian cat,0.0,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334
20260823,fruits,target,orange,6.666666666666667,6.666666666666667,0.0,6.666666666666667,0.0
20260823,fruits,target,lemon,10.0,8.333333333333334,-1.666666666666666,8.333333333333334,0.0
20260823,fruits,retain,pomegranate,16.666666666666668,17.5,0.8333333333333321,21.666666666666668,-4.166666666666668
20260823,fruits,retain,fig,15.0,15.0,0.0,12.5,2.5
20260823,fruits,retain,granny smith,18.333333333333332,21.666666666666668,3.3333333333333357,25.0,-3.333333333333332
