group,concept,official_20260820,superclass_20260820,official_20260821,superclass_20260821,official_20260822,superclass_20260822,official_20260823,superclass_20260823,official_20260824,superclass_20260824,mean_delta,improvement_seed_count,total_seeds
dogs,german shepherd,45.833333333333336,48.333333333333336,47.5,48.333333333333336,43.333333333333336,45.833333333333336,46.666666666666664,42.5,46.666666666666664,45.0,1.4210854715202005e-15,3,5
dogs,chesapeake bay retriever,10.0,8.333333333333334,6.666666666666667,7.5,10.0,10.833333333333334,11.666666666666666,10.0,6.666666666666667,9.166666666666666,0.1666666666666668,3,5
dogs,pug,82.5,80.83333333333333,82.5,83.33333333333333,84.16666666666667,85.0,82.5,82.5,80.83333333333333,82.5,0.3333333333333314,3,5
cats,persian cat,19.166666666666668,20.833333333333332,19.166666666666668,19.166666666666668,20.0,20.0,18.333333333333332,19.166666666666668,20.833333333333332,20.0,0.3333333333333336,2,5
cats,siamese cat,38.333333333333336,39.166666666666664,35.833333333333336,39.166666666666664,35.0,40.0,36.666666666666664,37.5,36.666666666666664,34.166666666666664,1.4999999999999987,4,5
cats,egyptian cat,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,1,5
fruits,pomegranate,17.5,22.5,18.333333333333332,18.333333333333332,19.166666666666668,17.5,16.666666666666668,17.5,16.666666666666668,20.0,1.4999999999999993,3,5
fruits,fig,15.0,14.166666666666666,15.0,15.833333333333334,15.0,14.166666666666666,15.0,15.0,15.0,15.0,-0.1666666666666668,1,5
fruits,granny smith,23.333333333333332,21.666666666666668,20.0,20.833333333333332,20.833333333333332,22.5,18.333333333333332,21.666666666666668,20.833333333333332,22.5,1.1666666666666679,4,5
boats,speedboat,98.33333333333333,98.33333333333333,98.33333333333333,98.33333333333333,98.33333333333333,98.33333333333333,98.33333333333333,98.33333333333333,98.33333333333333,97.5,-0.1666666666666657,0,5
boats,catamaran,88.33333333333333,90.83333333333333,89.16666666666667,88.33333333333333,88.33333333333333,91.66666666666667,92.5,88.33333333333333,90.83333333333333,90.0,0.0,2,5
boats,schooner,89.16666666666667,92.5,89.16666666666667,93.33333333333333,90.83333333333333,93.33333333333333,90.83333333333333,90.0,90.0,91.66666666666667,2.1666666666666656,4,5
balls,tennis ball,19.166666666666668,20.0,17.5,20.833333333333332,16.666666666666668,19.166666666666668,19.166666666666668,20.833333333333332,20.0,18.333333333333332,1.3333333333333321,4,5
balls,rugby ball,27.5,28.333333333333332,31.666666666666668,26.666666666666668,27.5,28.333333333333332,31.666666666666668,27.5,25.833333333333332,29.166666666666668,-0.8333333333333336,3,5
balls,ping-pong ball,34.166666666666664,33.333333333333336,35.833333333333336,35.0,34.166666666666664,35.0,33.333333333333336,35.0,34.166666666666664,35.0,0.33333333333333426,3,5
