group,concept,official_20260820,superclass_20260820,official_20260821,superclass_20260821,official_20260822,superclass_20260822,official_20260823,superclass_20260823,official_20260824,superclass_20260824,mean_delta,improvement_seed_count,total_seeds
dogs,golden retriever,13.333333333333334,15.0,11.666666666666666,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,12.5,13.333333333333334,0.8333333333333336,0,5
dogs,labrador retriever,20.0,19.166666666666668,19.166666666666668,20.833333333333332,19.166666666666668,19.166666666666668,19.166666666666668,20.833333333333332,18.333333333333332,20.0,0.8333333333333328,1,5
cats,tabby,13.333333333333334,12.5,9.166666666666666,13.333333333333334,12.5,12.5,10.833333333333334,12.5,12.5,12.5,1.0,1,5
cats,tiger cat,42.5,45.0,43.333333333333336,42.5,42.5,45.0,43.333333333333336,41.666666666666664,44.166666666666664,42.5,0.1666666666666657,3,5
fruits,orange,8.333333333333334,6.666666666666667,7.5,6.666666666666667,9.166666666666666,6.666666666666667,6.666666666666667,6.666666666666667,7.5,6.666666666666667,-1.1666666666666665,4,5
fruits,lemon,11.666666666666666,10.833333333333334,10.833333333333334,11.666666666666666,11.666666666666666,11.666666666666666,10.0,8.333333333333334,10.0,10.0,-0.3333333333333332,2,5
boats,yawl,36.666666666666664,39.166666666666664,35.0,37.5,39.166666666666664,36.666666666666664,35.0,35.0,39.166666666666664,35.833333333333336,-0.1666666666666657,2,5
boats,lifeboat,5.0,3.3333333333333335,5.833333333333333,5.0,5.0,5.0,3.3333333333333335,1.6666666666666667,5.0,3.3333333333333335,-1.1666666666666665,4,5
balls,soccer ball,36.666666666666664,33.333333333333336,36.666666666666664,33.333333333333336,34.166666666666664,35.833333333333336,35.0,35.0,33.333333333333336,34.166666666666664,-0.8333333333333315,2,5
balls,volleyball,10.0,10.833333333333334,10.833333333333334,9.166666666666666,10.833333333333334,10.833333333333334,11.666666666666666,10.833333333333334,7.5,11.666666666666666,0.5,2,5
