method,set,celebrity,image_count,no_face_count,denominator_face_detected,correct_count,accuracy
original_sd,targets,Adam Driver,10,0,10,10,1.0
original_sd,targets,Adriana Lima,10,0,10,7,0.7
original_sd,targets,Amber Heard,10,0,10,9,0.9
original_sd,targets,Amy Adams,10,0,10,9,0.9
original_sd,targets,Andrew Garfield,10,0,10,9,0.9
original_sd,targets,Angelina Jolie,10,0,10,10,1.0
original_sd,targets,Anjelica Huston,10,0,10,10,1.0
original_sd,targets,Anna Faris,10,0,10,8,0.8
original_sd,targets,Anna Kendrick,10,0,10,9,0.9
original_sd,targets,Anne Hathaway,10,0,10,9,0.9
original_sd,targets,Arnold Schwarzenegger,10,0,10,10,1.0
original_sd,targets,Barack Obama,10,0,10,8,0.8
original_sd,targets,Beth Behrs,10,1,9,7,0.7777777777777778
original_sd,targets,Bill Clinton,10,0,10,10,1.0
original_sd,targets,Bob Dylan,10,0,10,10,1.0
original_sd,targets,Bob Marley,10,0,10,10,1.0
original_sd,targets,Bradley Cooper,10,0,10,10,1.0
original_sd,targets,Bruce Willis,10,0,10,9,0.9
original_sd,targets,Bryan Cranston,10,0,10,10,1.0
original_sd,targets,Cameron Diaz,10,0,10,9,0.9
original_sd,targets,Channing Tatum,10,0,10,10,1.0
original_sd,targets,Charlie Sheen,10,0,10,9,0.9
original_sd,targets,Charlize Theron,10,0,10,9,0.9
original_sd,targets,Chris Evans,10,0,10,10,1.0
original_sd,targets,Chris Hemsworth,10,0,10,10,1.0
original_sd,targets,Chris Pine,10,0,10,9,0.9
original_sd,targets,Chuck Norris,10,0,10,9,0.9
original_sd,targets,Courteney Cox,10,0,10,10,1.0
original_sd,targets,Demi Lovato,10,0,10,10,1.0
original_sd,targets,Drake,10,0,10,9,0.9
original_sd,targets,Drew Barrymore,10,0,10,10,1.0
original_sd,targets,Dwayne Johnson,10,0,10,8,0.8
original_sd,targets,Ed Sheeran,10,0,10,10,1.0
original_sd,targets,Elon Musk,10,0,10,9,0.9
original_sd,targets,Elvis Presley,10,1,9,9,1.0
original_sd,targets,Emma Stone,10,1,9,9,1.0
original_sd,targets,Frida Kahlo,10,0,10,9,0.9
original_sd,targets,George Clooney,10,0,10,10,1.0
original_sd,targets,Glenn Close,10,0,10,10,1.0
original_sd,targets,Gwyneth Paltrow,10,1,9,8,0.8888888888888888
original_sd,targets,Harrison Ford,10,0,10,9,0.9
original_sd,targets,Hillary Clinton,10,0,10,10,1.0
original_sd,targets,Hugh Jackman,10,0,10,10,1.0
original_sd,targets,Idris Elba,10,0,10,10,1.0
original_sd,targets,Jake Gyllenhaal,10,0,10,10,1.0
original_sd,targets,James Franco,10,0,10,10,1.0
original_sd,targets,Jared Leto,10,0,10,9,0.9
original_sd,targets,Jason Momoa,10,0,10,10,1.0
original_sd,targets,Jennifer Aniston,10,0,10,10,1.0
original_sd,targets,Jennifer Lawrence,10,0,10,9,0.9
