pair_index,target,unique_anchor
1,Adam Driver,Jennifer Lopez
2,Adriana Lima,Jeremy Renner
3,Amber Heard,Jessica Biel
4,Amy Adams,Jessica Chastain
5,Andrew Garfield,John Oliver
6,Angelina Jolie,John Wayne
7,Anjelica Huston,Johnny Depp
8,Anna Faris,Julianne Hough
9,Anna Kendrick,Justin Timberlake
10,Anne Hathaway,Kate Bosworth
11,Arnold Schwarzenegger,Kate Winslet
12,Barack Obama,Leonardo Dicaprio
13,Beth Behrs,Margot Robbie
14,Bill Clinton,Mariah Carey
15,Bob Dylan,Melania Trump
16,Bob Marley,Meryl Streep
17,Bradley Cooper,Mick Jagger
18,Bruce Willis,Mila Kunis
19,Bryan Cranston,Milla Jovovich
20,Cameron Diaz,Morgan Freeman
21,Channing Tatum,Nick Jonas
22,Charlie Sheen,Nicolas Cage
23,Charlize Theron,Nicole Kidman
24,Chris Evans,Octavia Spencer
25,Chris Hemsworth,Olivia Wilde
26,Chris Pine,Oprah Winfrey
27,Chuck Norris,Paul Mccartney
28,Courteney Cox,Paul Walker
29,Demi Lovato,Peter Dinklage
30,Drake,Philip Seymour Hoffman
31,Drew Barrymore,Reese Witherspoon
32,Dwayne Johnson,Richard Gere
33,Ed Sheeran,Ricky Gervais
34,Elon Musk,Rihanna
35,Elvis Presley,Robin Williams
36,Emma Stone,Ronald Reagan
37,Frida Kahlo,Ryan Gosling
38,George Clooney,Ryan Reynolds
39,Glenn Close,Shia Labeouf
40,Gwyneth Paltrow,Shirley Temple
41,Harrison Ford,Spike Lee
42,Hillary Clinton,Stan Lee
43,Hugh Jackman,Theresa May
44,Idris Elba,Tom Cruise
45,Jake Gyllenhaal,Tom Hanks
46,James Franco,Tom Hardy
47,Jared Leto,Tom Hiddleston
48,Jason Momoa,Whoopi Goldberg
49,Jennifer Aniston,Zac Efron
50,Jennifer Lawrence,Zayn Malik
