layer_id,layer_index,representation,concept,sample_index,candidate_id,leave_one_out_own_centroid_cosine_distance
text_space_baseline,-1,eot,cat,0,slot_01__cat__r01__c001,0.4653117895293215
text_space_baseline,-1,eot,cat,8,slot_02__cat__r01__c002,0.363106885761622
text_space_baseline,-1,eot,cat,16,slot_03__cat__r05__c322,0.4315601634357378
text_space_baseline,-1,eot,cat,24,slot_04__cat__r02__c082,0.42258874584553374
text_space_baseline,-1,eot,cat,32,slot_05__cat__r01__c001,0.49689836452056246
text_space_baseline,-1,eot,cat,40,slot_06__cat__r01__c002,0.3661499865743252
text_space_baseline,-1,eot,cat,48,slot_07__cat__r01__c001,0.32037731372172307
text_space_baseline,-1,eot,cat,56,slot_08__cat__r01__c001,0.42970434605763186
text_space_baseline,-1,eot,cat,64,slot_09__cat__r01__c002,0.283810671656027
text_space_baseline,-1,eot,cat,72,slot_10__cat__r01__c002,0.27774606780724476
text_space_baseline,-1,eot,cat,80,slot_11__cat__r01__c007,0.3473922975946545
text_space_baseline,-1,eot,cat,88,slot_12__cat__r01__c005,0.3706532338670977
text_space_baseline,-1,eot,cat,96,slot_13__cat__r02__c082,0.29564505182508805
text_space_baseline,-1,eot,cat,104,slot_14__cat__r01__c001,0.3708923198198335
text_space_baseline,-1,eot,cat,112,slot_15__cat__r03__c162,0.3709327727600962
text_space_baseline,-1,eot,cat,120,slot_16__cat__r01__c002,0.3745867068993367
text_space_baseline,-1,eot,cat,128,slot_17__cat__r01__c002,0.3823457671002385
text_space_baseline,-1,eot,cat,136,slot_18__cat__r03__c163,0.3148208665516241
text_space_baseline,-1,eot,cat,144,slot_19__cat__r01__c002,0.344211856755651
text_space_baseline,-1,eot,cat,152,slot_20__cat__r01__c002,0.25803762730600366
text_space_baseline,-1,eot,cat,160,slot_21__cat__r01__c001,0.3958202163553679
text_space_baseline,-1,eot,cat,168,slot_22__cat__r01__c002,0.25765098686675936
text_space_baseline,-1,eot,cat,176,slot_23__cat__r04__c244,0.4953750948505836
text_space_baseline,-1,eot,cat,184,slot_24__cat__r01__c005,0.34533962915218197
text_space_baseline,-1,eot,cat,192,slot_25__cat__r03__c162,0.3411410314731672
