layer_id,layer_index,full_module_name,matrix_type,representation,ari,nmi,matched_accuracy,cosine_silhouette,cluster_sizes,spherical_objective,iterations,converged,best_initialization,labels_available_to_fit
text_space_baseline,-1,text_space_baseline,text_space,eot,0.6337922594154872,0.704685402053127,0.775,0.08627036958932877,"[44, 45, 56, 72, 49, 49, 40, 45]",266.91155693161954,13,True,18,False
text_space_baseline,-1,text_space_baseline,text_space,fixed_suffix,0.4697183414772855,0.5799643836410285,0.7025,0.08598554879426956,"[41, 15, 52, 63, 43, 28, 94, 64]",370.60909901094317,15,True,12,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,eot,0.2239128668130792,0.33828865498498134,0.4675,0.0750637874007225,"[46, 32, 48, 63, 52, 44, 65, 50]",327.32040372238697,22,True,37,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,fixed_suffix,0.1943670690188796,0.3161958018102073,0.43,0.07207834720611572,"[46, 41, 51, 53, 38, 58, 58, 55]",382.2601532270819,22,True,0,False
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,to_v,eot,0.17344278650998315,0.3015089748361341,0.4,0.06824088841676712,"[57, 54, 43, 61, 33, 48, 44, 60]",360.77156353480666,8,True,40,False
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,to_v,fixed_suffix,0.10386714028297957,0.2050471107721294,0.3475,0.08880680054426193,"[48, 28, 78, 62, 38, 43, 36, 67]",387.45707916194726,14,True,2,False
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,to_v,eot,0.3713586042545052,0.4959526193271442,0.63,0.07751049101352692,"[56, 46, 46, 43, 54, 39, 39, 77]",325.6278256593781,16,True,3,False
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,to_v,fixed_suffix,0.40354238406104115,0.517215655156091,0.6275,0.0754355639219284,"[79, 35, 42, 60, 52, 58, 44, 30]",381.34684637486015,19,True,6,False
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,to_v,eot,0.2644088375972156,0.3889460370529415,0.4675,0.07330059260129929,"[44, 53, 40, 28, 66, 37, 56, 76]",339.3784091422334,13,True,17,False
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,to_v,fixed_suffix,0.2739918802827475,0.39805011991390876,0.535,0.07436870038509369,"[46, 74, 62, 65, 37, 52, 36, 28]",381.0896610644997,19,True,4,False
layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,to_v,eot,0.6239893924387075,0.724180001344695,0.755,0.09648829698562622,"[47, 50, 54, 59, 66, 28, 50, 46]",286.14097373143625,25,True,49,False
layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,to_v,fixed_suffix,0.574702787434815,0.64051673170745,0.775,0.08637525886297226,"[48, 50, 34, 50, 71, 17, 57, 73]",373.16195084920173,14,True,2,False
