layer_index,full_module_name,pipeline_relative_module_name,matrix_type,w0_input_dim,w0_output_dim,weight_dtype,requires_grad,w0_sha256_before,w0_sha256_after,unchanged
0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,768,320,torch.float32,False,9dd977f0a3d0527f22afa21175c8659cb8dcde59c3ff2ad05ef9fbedd0e0d264,9dd977f0a3d0527f22afa21175c8659cb8dcde59c3ff2ad05ef9fbedd0e0d264,True
1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,to_v,768,320,torch.float32,False,4388dc3336b161340d7a0b6b099d32627fdacb687f6615b4177af19f4d8bd408,4388dc3336b161340d7a0b6b099d32627fdacb687f6615b4177af19f4d8bd408,True
2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,to_v,768,640,torch.float32,False,edfcde41ae1b697900b42060150dd7ec880da21341b7e18ead08fd0f36337efc,edfcde41ae1b697900b42060150dd7ec880da21341b7e18ead08fd0f36337efc,True
3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,to_v,768,640,torch.float32,False,d48aa58a5d19e5f8481f52001b495000067b1f380d1efb6d1691911353baaeff,d48aa58a5d19e5f8481f52001b495000067b1f380d1efb6d1691911353baaeff,True
4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,to_v,768,1280,torch.float32,False,18bee6aace34f5676ac075e63d216cd204758056bfb958ddd7ce780b23e9154e,18bee6aace34f5676ac075e63d216cd204758056bfb958ddd7ce780b23e9154e,True
5,unet.down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,to_v,768,1280,torch.float32,False,16b366542adfd20539969762596284738c5e569e875b8211db4200128e48eebd,16b366542adfd20539969762596284738c5e569e875b8211db4200128e48eebd,True
6,unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,to_v,768,1280,torch.float32,False,8ceee46bb9a96b93da00b15b8cf6309a71368931cdb652283d1ac1ae131b1f62,8ceee46bb9a96b93da00b15b8cf6309a71368931cdb652283d1ac1ae131b1f62,True
7,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,to_v,768,1280,torch.float32,False,c75095a732c7fe2aa2792a745dad8c4749d575d15dd47981fc84532b1c0ac7c1,c75095a732c7fe2aa2792a745dad8c4749d575d15dd47981fc84532b1c0ac7c1,True
8,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,to_v,768,1280,torch.float32,False,4b63600dca599471aa312d8604873ff7dbbf4466a8e74d2179bd348d6e7e928d,4b63600dca599471aa312d8604873ff7dbbf4466a8e74d2179bd348d6e7e928d,True
9,unet.up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,to_v,768,640,torch.float32,False,0546b22847ff00d94bea6e07abd408297c01ce2dc75e1ec2000bf3d852bc9ead,0546b22847ff00d94bea6e07abd408297c01ce2dc75e1ec2000bf3d852bc9ead,True
10,unet.up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,to_v,768,640,torch.float32,False,f507745813ab7e2eec8c2836d365784a52de20b86f2527e3815b94058344b633,f507745813ab7e2eec8c2836d365784a52de20b86f2527e3815b94058344b633,True
11,unet.up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,to_v,768,640,torch.float32,False,90f06a1c18bf6a7b452337631d03e808e00b97ecd02a75156fe426c4e0f960f8,90f06a1c18bf6a7b452337631d03e808e00b97ecd02a75156fe426c4e0f960f8,True
12,unet.up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,to_v,768,320,torch.float32,False,19f626c64a35633f29ed2e0c17e86c8cecfbf394f92dee166c6d54cac8c0004e,19f626c64a35633f29ed2e0c17e86c8cecfbf394f92dee166c6d54cac8c0004e,True
