layer_id,layer_index,full_module_name,representation,concept,recall
text_space_baseline,-1,text_space_baseline,eot,cat,0.54
text_space_baseline,-1,text_space_baseline,eot,dog,0.86
text_space_baseline,-1,text_space_baseline,eot,fox,0.3
text_space_baseline,-1,text_space_baseline,eot,bear,0.94
text_space_baseline,-1,text_space_baseline,eot,wolf,0.94
text_space_baseline,-1,text_space_baseline,eot,rabbit,0.88
text_space_baseline,-1,text_space_baseline,eot,deer,0.82
text_space_baseline,-1,text_space_baseline,eot,horse,0.92
text_space_baseline,-1,text_space_baseline,fixed_suffix,cat,0.8
text_space_baseline,-1,text_space_baseline,fixed_suffix,dog,0.84
text_space_baseline,-1,text_space_baseline,fixed_suffix,fox,0.16
text_space_baseline,-1,text_space_baseline,fixed_suffix,bear,0.78
text_space_baseline,-1,text_space_baseline,fixed_suffix,wolf,0.5
text_space_baseline,-1,text_space_baseline,fixed_suffix,rabbit,0.9
text_space_baseline,-1,text_space_baseline,fixed_suffix,deer,0.82
text_space_baseline,-1,text_space_baseline,fixed_suffix,horse,0.82
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,eot,cat,0.56
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,eot,dog,0.7
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,eot,fox,0.38
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,eot,bear,0.4
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,eot,wolf,0.44
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,eot,rabbit,0.62
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,eot,deer,0.56
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,eot,horse,0.08
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,fixed_suffix,cat,0.56
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,fixed_suffix,dog,0.4
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,fixed_suffix,fox,0.34
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,fixed_suffix,bear,0.18
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,fixed_suffix,wolf,0.54
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,fixed_suffix,rabbit,0.3
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,fixed_suffix,deer,0.54
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,fixed_suffix,horse,0.58
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,eot,cat,0.34
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,eot,dog,0.38
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,eot,fox,0.3
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,eot,bear,0.6
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,eot,wolf,0.16
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,eot,rabbit,0.48
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,eot,deer,0.54
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,eot,horse,0.4
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,fixed_suffix,cat,0.36
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,fixed_suffix,dog,0.14
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,fixed_suffix,fox,0.22
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,fixed_suffix,bear,0.34
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,fixed_suffix,wolf,0.26
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,fixed_suffix,rabbit,0.5
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,fixed_suffix,deer,0.5
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,fixed_suffix,horse,0.46
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,eot,cat,0.58
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,eot,dog,0.78
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,eot,fox,0.48
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,eot,bear,0.52
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,eot,wolf,0.64
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,eot,rabbit,0.52
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,eot,deer,0.7
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,eot,horse,0.82
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,fixed_suffix,cat,0.78
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,fixed_suffix,dog,0.58
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,fixed_suffix,fox,0.2
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,fixed_suffix,bear,0.82
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,fixed_suffix,wolf,0.84
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,fixed_suffix,rabbit,0.5
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,fixed_suffix,deer,0.76
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,fixed_suffix,horse,0.54
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,eot,cat,0.5
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,eot,dog,0.68
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,eot,fox,0.34
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,eot,bear,0.26
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,eot,wolf,0.72
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,eot,rabbit,0.56
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,eot,deer,0.62
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,eot,horse,0.06
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,fixed_suffix,cat,0.5
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,fixed_suffix,dog,0.22
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,fixed_suffix,fox,0.36
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,fixed_suffix,bear,0.6
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,fixed_suffix,wolf,0.66
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,fixed_suffix,rabbit,0.6
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,fixed_suffix,deer,0.72
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,fixed_suffix,horse,0.62
layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,eot,cat,0.54
layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,eot,dog,0.98
layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,eot,fox,0.34
layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,eot,bear,0.9
layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,eot,wolf,0.88
layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,eot,rabbit,0.62
layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,eot,deer,0.84
layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,eot,horse,0.94
layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,fixed_suffix,cat,0.84
layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,fixed_suffix,dog,0.9
layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,fixed_suffix,fox,0.28
layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,fixed_suffix,bear,0.74
layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,fixed_suffix,wolf,0.96
layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,fixed_suffix,rabbit,0.88
layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,fixed_suffix,deer,0.68
