layer_id,layer_index,condition,mean_own_rank,rank1_names,mean_margin
text_space_baseline,-1,matched_eot,1.125,7,0.09141405903635114
text_space_baseline,-1,matched_fixed,1.25,6,0.016275310366814538
text_space_baseline,-1,oce_last_to_eot,1.125,7,0.0998761995529892
layer_00,0,matched_eot,1.375,7,0.027420626718400815
layer_00,0,matched_fixed,3.25,3,-0.004109852103874323
layer_00,0,oce_last_to_eot,1.5,5,0.010012681819423705
layer_01,1,matched_eot,2.5,2,-0.005721397283411811
layer_01,1,matched_fixed,3.875,2,-0.011741566291020883
layer_01,1,oce_last_to_eot,2.875,3,-0.007090787163169757
layer_02,2,matched_eot,2.125,5,0.020537598373125868
layer_02,2,matched_fixed,2.375,4,0.002696163419641698
layer_02,2,oce_last_to_eot,1.375,5,0.026014589773533464
layer_03,3,matched_eot,1.75,6,0.018407525933128055
layer_03,3,matched_fixed,2.375,3,0.0007405387418468051
layer_03,3,oce_last_to_eot,1.125,7,0.019554195978415206
layer_04,4,matched_eot,1.25,6,0.07778752342548145
layer_04,4,matched_fixed,1.125,7,0.01499626160433748
layer_04,4,oce_last_to_eot,1.375,6,0.08853722344765044
layer_05,5,matched_eot,1.375,6,0.09205856974001464
layer_05,5,matched_fixed,1.25,7,0.016491246873129167
layer_05,5,oce_last_to_eot,1.625,5,0.09465775487992167
layer_06,6,matched_eot,1.5,6,0.09398254763318895
layer_06,6,matched_fixed,1.625,6,0.015674392285030356
layer_06,6,oce_last_to_eot,1.125,7,0.11579351604346745
layer_07,7,matched_eot,1.375,6,0.1042547117901895
layer_07,7,matched_fixed,1.25,7,0.018446024323245158
layer_07,7,oce_last_to_eot,1.375,6,0.12189094971296528
layer_08,8,matched_eot,1.25,6,0.08863595784128528
layer_08,8,matched_fixed,1.75,6,0.012047603745935817
layer_08,8,oce_last_to_eot,1.375,6,0.10813457021058882
layer_09,9,matched_eot,1.5,7,0.05391710481154782
layer_09,9,matched_fixed,1.875,6,0.010690218333417198
layer_09,9,oce_last_to_eot,1.25,7,0.07192125375996578
layer_10,10,matched_eot,2.125,6,0.06794225336877799
layer_10,10,matched_fixed,2.0,4,0.009984871519695654
layer_10,10,oce_last_to_eot,1.625,5,0.0761802368024495
layer_11,11,matched_eot,1.875,6,0.0468999099626749
layer_11,11,matched_fixed,2.5,4,9.211924451972553e-05
layer_11,11,oce_last_to_eot,1.375,6,0.04963306894520188
layer_12,12,matched_eot,2.375,4,-0.003790315559564661
layer_12,12,matched_fixed,4.125,2,-0.012210282189122346
layer_12,12,oce_last_to_eot,3.625,3,-0.02161851848716065
layer_13,13,matched_eot,2.25,4,0.004188195658890573
layer_13,13,matched_fixed,3.5,4,-0.006408114495562375
layer_13,13,oce_last_to_eot,3.625,2,-0.025811728473581846
layer_14,14,matched_eot,2.75,1,-0.01015468289667465
layer_14,14,matched_fixed,3.625,2,-0.0066193972333877665
layer_14,14,oce_last_to_eot,3.0,2,-0.02230324881395801
layer_15,15,matched_eot,1.125,7,0.0933148322777544
layer_15,15,matched_fixed,1.125,7,0.014720591803975211
layer_15,15,oce_last_to_eot,1.125,7,0.1045857710299896
