layer_id,layer_index,full_module_name,matrix_type,condition,condition_label,prototype_concept,centroid_concept,cosine_distance,is_own_centroid,cross_readout
text_space_baseline,-1,text_space_baseline,text_space,matched_eot,Matched EOT,cat,cat,0.5544351762594119,True,False
text_space_baseline,-1,text_space_baseline,text_space,matched_eot,Matched EOT,cat,dog,0.6549802902200108,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_eot,Matched EOT,cat,fox,0.72151253267342,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_eot,Matched EOT,cat,bear,0.7281134346415634,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_eot,Matched EOT,cat,wolf,0.7237261838141826,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_eot,Matched EOT,cat,rabbit,0.7491518697791026,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_eot,Matched EOT,cat,deer,0.7830433380043353,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_eot,Matched EOT,cat,horse,0.7251399106400169,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_eot,Matched EOT,dog,cat,0.6668545760052867,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_eot,Matched EOT,dog,dog,0.5234012651407126,True,False
text_space_baseline,-1,text_space_baseline,text_space,matched_eot,Matched EOT,dog,fox,0.7197134165774772,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_eot,Matched EOT,dog,bear,0.7097877831250294,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_eot,Matched EOT,dog,wolf,0.6654290418097846,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_eot,Matched EOT,dog,rabbit,0.7292907653974366,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_eot,Matched EOT,dog,deer,0.7369773500641275,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_eot,Matched EOT,dog,horse,0.6693121336835062,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_eot,Matched EOT,fox,cat,0.72583514325116,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_eot,Matched EOT,fox,dog,0.7240085478465355,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_eot,Matched EOT,fox,fox,0.717162097339855,True,False
text_space_baseline,-1,text_space_baseline,text_space,matched_eot,Matched EOT,fox,bear,0.7540272942783516,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_eot,Matched EOT,fox,wolf,0.6866253829114894,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_eot,Matched EOT,fox,rabbit,0.7682602924566515,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_eot,Matched EOT,fox,deer,0.7551139057328011,False,False
