layer_id,layer_index,full_module_name,concept,matched_eot_own_rank,oce_last_to_eot_own_rank,matched_eot_margin,oce_last_to_eot_margin,matched_eot_rank1,oce_last_to_eot_rank1,rank1_status_changed
text_space_baseline,-1,text_space_baseline,cat,1,1,0.10054511396059895,0.149715681808695,True,True,False
text_space_baseline,-1,text_space_baseline,dog,1,1,0.14202777666907196,0.14142334486526076,True,True,False
text_space_baseline,-1,text_space_baseline,fox,2,2,-0.030536714428365586,-0.010599259027377905,False,False,False
text_space_baseline,-1,text_space_baseline,bear,1,1,0.0540488438980703,0.03568485508393948,True,True,False
text_space_baseline,-1,text_space_baseline,wolf,1,1,0.10397208148945425,0.10411487285397214,True,True,False
text_space_baseline,-1,text_space_baseline,rabbit,1,1,0.042236120751196427,0.05452259988452979,True,True,False
text_space_baseline,-1,text_space_baseline,deer,1,1,0.14737725478223462,0.16116799691592365,True,True,False
text_space_baseline,-1,text_space_baseline,horse,1,1,0.17164199516854817,0.16297950403897066,True,True,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,cat,1,1,0.0530656768104667,0.01425528446559321,True,True,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,dog,1,1,0.020512081134996585,0.019105146090550473,True,True,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,fox,4,2,-0.005616619708461057,-0.0018316462472919293,False,False,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,bear,1,1,0.010682190139571834,0.012566562060613684,True,True,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,wolf,1,2,0.029119458203043513,-0.006464874945203314,True,False,True
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,rabbit,1,3,0.016689598576423492,-0.011489498917279461,True,False,True
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,deer,1,1,0.0464124868565825,0.030840742086884032,True,True,False
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,horse,1,1,0.04850014173458295,0.023119739961522945,True,True,False
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,cat,1,3,0.06064255321253087,-0.008784650672261973,True,False,True
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,dog,2,1,-0.022151541442840927,0.011247613459898331,False,True,True
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,fox,2,1,-0.001142199823638168,0.010574786423852567,False,True,True
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,bear,8,1,-0.04908958510577244,0.023083759269924342,False,True,True
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,wolf,2,5,-0.014134036673817851,-0.02637576024538424,False,False,False
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,rabbit,2,7,-0.02963718750073352,-0.04683932331194507,False,False,False
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,deer,2,3,-0.00028305637116976534,-0.016601515091916985,False,False,False
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,horse,1,2,0.010023875438147312,-0.003031207137525027,True,False,True
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,cat,1,1,0.05247104458674057,0.11590107147904938,True,True,False
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,dog,1,1,0.0453228359887603,0.033068106132696284,True,True,False
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,fox,3,2,-0.014635831741128147,-0.04494750746011644,False,False,False
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,bear,7,1,-0.047690486577433244,0.0017452121715203495,False,True,True
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,wolf,1,2,0.02593560315932275,-0.00155660770402688,True,False,True
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,rabbit,2,2,-0.009997317107854453,-0.013307697447278333,False,False,False
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,deer,1,1,0.04563266771582497,0.06574678030951697,True,True,False
layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,horse,1,1,0.0672622709607742,0.051467360706906384,True,True,False
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,cat,1,1,0.03538020353289839,0.042668264079752216,True,True,False
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,dog,1,1,0.02626830700163707,0.020811200981876943,True,True,False
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,fox,2,1,-0.01200059719278268,0.005841006949257932,False,True,True
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,bear,1,1,0.01550120049344561,0.02588473930430213,True,True,False
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,wolf,1,2,0.0289349400002048,-0.016938571091345223,True,False,True
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,rabbit,6,1,-0.02627105321970369,0.0024075612692696646,False,True,True
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,deer,1,1,0.027768892915373544,0.030667321834094707,True,True,False
layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,horse,1,1,0.05167831393395139,0.04509204450011328,True,True,False
layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,cat,1,1,0.1366846185311419,0.1588776804439641,True,True,False
layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,dog,1,1,0.12028251730243888,0.1638204153731032,True,True,False
layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,fox,2,2,-0.020417034686108004,-0.015290503197124439,False,False,False
