representation,space_type,layer_id,layer_index,layer_name,clustering_method,normalization,ari,nmi,matched_accuracy,silhouette,silhouette_metric,cluster_sizes,objective,inertia,iterations,converged,best_initialization,input_norm_min,input_norm_max,center_norm_min,center_norm_max,centers_normalized_during_fit,labels_available_to_fit
eot,text,text,-1,text_space,spherical_normalized,row_l2,0.6337922594154872,0.704685402053127,0.775,0.08627036958932877,cosine,"[44, 45, 56, 72, 49, 49, 40, 45]",266.91155693161954,,13,True,18.0,0.9999999403953552,1.0,0.9999999999999999,1.0,True,False
eot,text,text,-1,text_space,euclidean_raw,none,0.5154446271110447,0.6414350634329451,0.7125,0.047614868730306625,euclidean,"[44, 63, 35, 48, 42, 53, 42, 73]",,171165.515625,23,True,,26.802562713623047,29.382291793823242,17.230652786006484,20.802453829558633,False,False
eot,text,text,-1,text_space,euclidean_normalized,row_l2,0.568354843039868,0.6759807778915109,0.735,0.04838663712143898,euclidean,"[54, 40, 61, 46, 49, 62, 40, 48]",,221.3700408935547,12,True,,0.9999999403953552,1.0,0.6333526839901351,0.7382986620332872,False,False
fixed_suffix,text,text,-1,text_space,spherical_normalized,row_l2,0.4697183414772855,0.5799643836410285,0.7025,0.08598554879426956,cosine,"[41, 15, 52, 63, 43, 28, 94, 64]",370.60909901094317,,15,True,12.0,0.9999999403953552,1.0,0.9999999999999999,1.0,True,False
fixed_suffix,text,text,-1,text_space,euclidean_raw,none,0.4450034025618276,0.5518019295877816,0.6925,0.04534390568733215,euclidean,"[42, 37, 41, 35, 39, 57, 51, 98]",,42567.5,17,True,,27.032047271728516,28.013452529907227,25.16616857064355,25.77974884578353,False,False
fixed_suffix,text,text,-1,text_space,euclidean_normalized,row_l2,0.6094171580903143,0.6717390580841747,0.77,0.04877415671944618,euclidean,"[44, 45, 55, 65, 40, 48, 57, 46]",,56.44647216796875,14,True,,0.9999999403953552,1.0,0.9174624745634725,0.9380548825277157,False,False
eot,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,row_l2,0.2239128668130792,0.33828865498498134,0.4675,0.0750637874007225,cosine,"[46, 32, 48, 63, 52, 44, 65, 50]",327.32040372238697,,22,True,37.0,0.9999999403953552,1.0,0.9999999999999999,1.0,True,False
eot,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,none,0.31443347624559714,0.4121912946932454,0.5525,0.03908012807369232,euclidean,"[42, 60, 35, 31, 58, 54, 50, 70]",,22442.416015625,22,True,,10.773042678833008,14.870362281799316,10.04809221258748,11.031025768948053,False,False
eot,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,row_l2,0.2691507225957775,0.38862626641655235,0.5225,0.0378640852868557,euclidean,"[59, 40, 31, 55, 52, 49, 53, 61]",,132.3716278076172,10,True,,0.9999999403953552,1.0,0.8041792413804192,0.8303754115157456,False,False
fixed_suffix,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,row_l2,0.1943670690188796,0.3161958018102073,0.43,0.07207834720611572,cosine,"[46, 41, 51, 53, 38, 58, 58, 55]",382.2601532270819,,22,True,0.0,0.9999999403953552,1.0,1.0,1.0,True,False
fixed_suffix,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,none,0.23350629570176515,0.3572085801283653,0.4625,0.03995560109615326,euclidean,"[54, 55, 43, 55, 55, 54, 41, 43]",,4393.6875,9,True,,10.41270637512207,12.197638511657715,10.532170273433467,10.989888015505008,False,False
