representation,space_type,layer_id,layer_index,layer_name,clustering_method,concept,recall
eot,text,text,-1,text_space,spherical_normalized,cat,0.54
eot,text,text,-1,text_space,spherical_normalized,dog,0.86
eot,text,text,-1,text_space,spherical_normalized,fox,0.3
eot,text,text,-1,text_space,spherical_normalized,bear,0.94
eot,text,text,-1,text_space,spherical_normalized,wolf,0.94
eot,text,text,-1,text_space,spherical_normalized,rabbit,0.88
eot,text,text,-1,text_space,spherical_normalized,deer,0.82
eot,text,text,-1,text_space,spherical_normalized,horse,0.92
eot,text,text,-1,text_space,euclidean_raw,cat,0.86
eot,text,text,-1,text_space,euclidean_raw,dog,0.76
eot,text,text,-1,text_space,euclidean_raw,fox,0.48
eot,text,text,-1,text_space,euclidean_raw,bear,0.46
eot,text,text,-1,text_space,euclidean_raw,wolf,0.8
eot,text,text,-1,text_space,euclidean_raw,rabbit,0.74
eot,text,text,-1,text_space,euclidean_raw,deer,0.7
eot,text,text,-1,text_space,euclidean_raw,horse,0.9
eot,text,text,-1,text_space,euclidean_normalized,cat,0.56
eot,text,text,-1,text_space,euclidean_normalized,dog,0.78
eot,text,text,-1,text_space,euclidean_normalized,fox,0.42
eot,text,text,-1,text_space,euclidean_normalized,bear,0.96
eot,text,text,-1,text_space,euclidean_normalized,wolf,0.92
eot,text,text,-1,text_space,euclidean_normalized,rabbit,0.58
eot,text,text,-1,text_space,euclidean_normalized,deer,0.78
eot,text,text,-1,text_space,euclidean_normalized,horse,0.88
fixed_suffix,text,text,-1,text_space,spherical_normalized,cat,0.8
fixed_suffix,text,text,-1,text_space,spherical_normalized,dog,0.84
fixed_suffix,text,text,-1,text_space,spherical_normalized,fox,0.16
fixed_suffix,text,text,-1,text_space,spherical_normalized,bear,0.78
fixed_suffix,text,text,-1,text_space,spherical_normalized,wolf,0.5
fixed_suffix,text,text,-1,text_space,spherical_normalized,rabbit,0.9
fixed_suffix,text,text,-1,text_space,spherical_normalized,deer,0.82
fixed_suffix,text,text,-1,text_space,spherical_normalized,horse,0.82
fixed_suffix,text,text,-1,text_space,euclidean_raw,cat,0.74
fixed_suffix,text,text,-1,text_space,euclidean_raw,dog,0.76
fixed_suffix,text,text,-1,text_space,euclidean_raw,fox,0.32
fixed_suffix,text,text,-1,text_space,euclidean_raw,bear,0.48
fixed_suffix,text,text,-1,text_space,euclidean_raw,wolf,0.86
fixed_suffix,text,text,-1,text_space,euclidean_raw,rabbit,0.86
fixed_suffix,text,text,-1,text_space,euclidean_raw,deer,0.72
fixed_suffix,text,text,-1,text_space,euclidean_raw,horse,0.8
fixed_suffix,text,text,-1,text_space,euclidean_normalized,cat,0.78
fixed_suffix,text,text,-1,text_space,euclidean_normalized,dog,0.94
fixed_suffix,text,text,-1,text_space,euclidean_normalized,fox,0.26
fixed_suffix,text,text,-1,text_space,euclidean_normalized,bear,0.76
fixed_suffix,text,text,-1,text_space,euclidean_normalized,wolf,0.86
fixed_suffix,text,text,-1,text_space,euclidean_normalized,rabbit,0.86
fixed_suffix,text,text,-1,text_space,euclidean_normalized,deer,0.74
fixed_suffix,text,text,-1,text_space,euclidean_normalized,horse,0.96
eot,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,cat,0.56
eot,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,dog,0.7
eot,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,fox,0.38
eot,W0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,bear,0.4
