condition,condition_label,cross_readout,space_type,space_label,layer_id,layer_index,layer_name,rank1_count_out_of_8,mean_margin,median_margin,minimum_margin,animal_with_minimum_margin,mean_own_centroid_distance
matched_eot,Matched EOT,False,text,Text,text,-1,text_space,7,0.09141404926776886,0.10225862264633179,-0.030536770820617676,fox,0.6179463937878609
matched_fixed,Matched fixed suffix,False,text,Text,text,-1,text_space,6,0.016275279223918915,0.016557395458221436,-0.009841859340667725,bear,0.18475811928510666
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,text,Text,text,-1,text_space,7,0.09987620264291763,0.12276914715766907,-0.010599255561828613,fox,0.8238590732216835
matched_eot,Matched EOT,False,W0,L0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,7,0.027420617640018463,0.024815768003463745,-0.005616605281829834,fox,0.38341768831014633
matched_fixed,Matched fixed suffix,False,W0,L0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,3,-0.004109837114810944,-0.009733617305755615,-0.017235398292541504,fox,0.15080435574054718
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L0,layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,5,0.0100126713514328,0.01341092586517334,-0.011489510536193848,rabbit,0.8556311503052711
matched_eot,Matched EOT,False,W0,L1,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,2,-0.005721397697925568,-0.007638126611709595,-0.04908955097198486,bear,0.5362891331315041
matched_fixed,Matched fixed suffix,False,W0,L1,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,2,-0.011741578578948975,-0.011239945888519287,-0.036670565605163574,deer,0.2763967588543892
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L1,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,3,-0.00709080696105957,-0.005907952785491943,-0.046839356422424316,rabbit,0.9866316542029381
matched_eot,Matched EOT,False,W0,L2,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,5,0.020537592470645905,0.03562924265861511,-0.04769045114517212,bear,0.3447095453739166
matched_fixed,Matched fixed suffix,False,W0,L2,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,4,0.0026961639523506165,0.0006096959114074707,-0.01908409595489502,bear,0.1321716383099556
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L2,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,5,0.02601458877325058,0.0174066424369812,-0.04494750499725342,fox,0.6600220203399658
matched_eot,Matched EOT,False,W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,6,0.01840750128030777,0.02701851725578308,-0.02627122402191162,rabbit,0.2937859520316124
matched_fixed,Matched fixed suffix,False,W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,3,0.000740543007850647,-0.001438140869140625,-0.011069536209106445,deer,0.19309625774621964
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,7,0.019554205238819122,0.023347973823547363,-0.01693856716156006,wolf,0.8371911197900772
matched_eot,Matched EOT,False,W0,L4,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,6,0.07778751105070114,0.1129990816116333,-0.040994465351104736,bear,0.5606207028031349
matched_fixed,Matched fixed suffix,False,W0,L4,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,7,0.014996252954006195,0.014442354440689087,-0.0079193115234375,bear,0.1581062525510788
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L4,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,6,0.08853721618652344,0.11075201630592346,-0.022082924842834473,bear,0.7772451937198639
matched_eot,Matched EOT,False,W0,L5,layer_05,5,unet.down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,6,0.09205854684114456,0.12368184328079224,-0.03852272033691406,fox,0.5657981485128403
matched_fixed,Matched fixed suffix,False,W0,L5,layer_05,5,unet.down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,7,0.016491219401359558,0.01550784707069397,-0.008684694766998291,bear,0.15042175352573395
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L5,layer_05,5,unet.down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,5,0.0946577712893486,0.12017112970352173,-0.03755199909210205,fox,0.7143409177660942
matched_eot,Matched EOT,False,W0,L6,layer_06,6,unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,6,0.09398254752159119,0.1173022985458374,-0.039073824882507324,bear,0.5429071635007858
matched_fixed,Matched fixed suffix,False,W0,L6,layer_06,6,unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,6,0.01567436009645462,0.016834348440170288,-0.011057436466217041,bear,0.1703159138560295
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L6,layer_06,6,unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,7,0.11579353362321854,0.14898833632469177,-0.02488309144973755,fox,0.7026984840631485
matched_eot,Matched EOT,False,W0,L7,layer_07,7,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,6,0.10425470024347305,0.1496002972126007,-0.040514230728149414,fox,0.5224469229578972
matched_fixed,Matched fixed suffix,False,W0,L7,layer_07,7,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,7,0.018446028232574463,0.016973674297332764,-0.008590340614318848,bear,0.1601250320672989
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L7,layer_07,7,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,6,0.12189093977212906,0.1529901623725891,-0.026624977588653564,bear,0.6662311032414436
matched_eot,Matched EOT,False,W0,L8,layer_08,8,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,6,0.08863596618175507,0.1250327229499817,-0.04147219657897949,fox,0.5635585337877274
matched_fixed,Matched fixed suffix,False,W0,L8,layer_08,8,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,6,0.012047618627548218,0.013396501541137695,-0.017789840698242188,bear,0.1557215303182602
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L8,layer_08,8,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,6,0.10813456028699875,0.15027296543121338,-0.02967315912246704,fox,0.7238387987017632
