space_type,layer_id,layer_index,layer_name,normalization_stage,representation,concept,vector_type,count,vector_dimension,mean_norm,std_norm,min_norm,max_norm
text,text,-1,text_space,raw_before_row_l2,eot,cat,description,50,768,27.99317169189453,0.38782021403312683,27.295909881591797,29.149188995361328
text,text,-1,text_space,raw_before_row_l2,eot,dog,description,50,768,27.71969223022461,0.47754618525505066,26.802562713623047,29.382291793823242
text,text,-1,text_space,raw_before_row_l2,eot,fox,description,50,768,27.754711151123047,0.4233894646167755,27.07608413696289,28.854049682617188
text,text,-1,text_space,raw_before_row_l2,eot,bear,description,50,768,27.774492263793945,0.43515586853027344,26.857213973999023,29.311552047729492
text,text,-1,text_space,raw_before_row_l2,eot,wolf,description,50,768,27.846254348754883,0.48067542910575867,27.01228141784668,29.140398025512695
text,text,-1,text_space,raw_before_row_l2,eot,rabbit,description,50,768,27.877805709838867,0.3883083164691925,27.096126556396484,29.021053314208984
text,text,-1,text_space,raw_before_row_l2,eot,deer,description,50,768,27.854463577270508,0.47298553586006165,27.134490966796875,29.117347717285156
text,text,-1,text_space,raw_before_row_l2,eot,horse,description,50,768,27.62786293029785,0.4067765176296234,26.87676429748535,29.009366989135742
text,text,-1,text_space,raw_before_row_l2,fixed_suffix,cat,description,50,768,27.475202560424805,0.18036702275276184,27.032047271728516,28.013452529907227
text,text,-1,text_space,raw_before_row_l2,fixed_suffix,dog,description,50,768,27.568950653076172,0.1538744568824768,27.182222366333008,27.853717803955078
text,text,-1,text_space,raw_before_row_l2,fixed_suffix,fox,description,50,768,27.39191436767578,0.15695929527282715,27.110097885131836,27.695173263549805
text,text,-1,text_space,raw_before_row_l2,fixed_suffix,bear,description,50,768,27.413087844848633,0.1397370547056198,27.181900024414062,27.710229873657227
text,text,-1,text_space,raw_before_row_l2,fixed_suffix,wolf,description,50,768,27.417360305786133,0.1624293327331543,27.1827392578125,27.823354721069336
text,text,-1,text_space,raw_before_row_l2,fixed_suffix,rabbit,description,50,768,27.472900390625,0.12076882272958755,27.17899513244629,27.740991592407227
text,text,-1,text_space,raw_before_row_l2,fixed_suffix,deer,description,50,768,27.426952362060547,0.1357605904340744,27.1593017578125,27.729705810546875
text,text,-1,text_space,raw_before_row_l2,fixed_suffix,horse,description,50,768,27.502485275268555,0.15314234793186188,27.203083038330078,27.89274024963379
text,text,-1,text_space,raw_before_row_l2,name_last,cat,name,1,768,28.853574752807617,0.0,28.853574752807617,28.853574752807617
text,text,-1,text_space,raw_before_row_l2,name_last,dog,name,1,768,29.460378646850586,0.0,29.460378646850586,29.460378646850586
text,text,-1,text_space,raw_before_row_l2,name_last,fox,name,1,768,28.100072860717773,0.0,28.100072860717773,28.100072860717773
text,text,-1,text_space,raw_before_row_l2,name_last,bear,name,1,768,28.339031219482422,0.0,28.339031219482422,28.339031219482422
text,text,-1,text_space,raw_before_row_l2,name_last,wolf,name,1,768,28.26947021484375,0.0,28.26947021484375,28.26947021484375
text,text,-1,text_space,raw_before_row_l2,name_last,rabbit,name,1,768,28.677825927734375,0.0,28.677825927734375,28.677825927734375
text,text,-1,text_space,raw_before_row_l2,name_last,deer,name,1,768,28.41431999206543,0.0,28.41431999206543,28.41431999206543
text,text,-1,text_space,raw_before_row_l2,name_last,horse,name,1,768,28.888647079467773,0.0,28.888647079467773,28.888647079467773
text,text,-1,text_space,raw_before_row_l2,name_eot,cat,name,1,768,29.284936904907227,0.0,29.284936904907227,29.284936904907227
text,text,-1,text_space,raw_before_row_l2,name_eot,dog,name,1,768,29.296138763427734,0.0,29.296138763427734,29.296138763427734
text,text,-1,text_space,raw_before_row_l2,name_eot,fox,name,1,768,28.672578811645508,0.0,28.672578811645508,28.672578811645508
text,text,-1,text_space,raw_before_row_l2,name_eot,bear,name,1,768,28.87045669555664,0.0,28.87045669555664,28.87045669555664
text,text,-1,text_space,raw_before_row_l2,name_eot,wolf,name,1,768,29.109333038330078,0.0,29.109333038330078,29.109333038330078
text,text,-1,text_space,raw_before_row_l2,name_eot,rabbit,name,1,768,28.697908401489258,0.0,28.697908401489258,28.697908401489258
