layer_index,layer_name,cat_before,cat_after,dog_before,dog_after,canonical_delta_cat,canonical_delta_dog,intended_direction
0,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,1.0,-0.4073522984981537,0.7853240370750427,0.09685439616441727,-1.4073522984981537,-0.6884696409106255,False
1,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,1.0,0.020087696611881256,0.8969565629959106,0.28439319133758545,-0.9799123033881187,-0.6125633716583252,False
2,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,0.9999999403953552,-0.46802932024002075,0.7336511015892029,0.1413278877735138,-1.468029260635376,-0.5923232138156891,False
3,down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,1.0,-0.28411033749580383,0.794493556022644,0.18583731353282928,-1.2841103374958038,-0.6086562424898148,False
4,down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,1.0000001192092896,-0.797172486782074,0.4959474802017212,0.0654684379696846,-1.7971726059913635,-0.4304790422320366,False
5,down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,1.0,-0.8232260346412659,0.4616563320159912,0.07161357998847961,-1.8232260346412659,-0.3900427520275116,False
6,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,0.9999998807907104,-0.8541967868804932,0.413465678691864,0.06354685127735138,-1.8541966676712036,-0.34991882741451263,False
7,up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,0.9999999403953552,-0.85552978515625,0.39050957560539246,0.07094269245862961,-1.8555297255516052,-0.31956688314676285,False
8,up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,1.0000001192092896,-0.865166425704956,0.38595908880233765,0.061477288603782654,-1.8651665449142456,-0.324481800198555,False
9,up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,1.0,-0.7341868877410889,0.4810543358325958,0.1164231151342392,-1.7341868877410889,-0.36463122069835663,False
10,up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,1.0,-0.3733835220336914,0.6352372765541077,0.32307904958724976,-1.3733835220336914,-0.3121582269668579,False
11,up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,1.0,-0.6274323463439941,0.6281404495239258,0.12646150588989258,-1.6274323463439941,-0.5016789436340332,False
12,up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,1.0,-0.05122009292244911,0.9069583415985107,0.17464089393615723,-1.0512200929224491,-0.7323174476623535,False
13,up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,1.0,0.13191397488117218,0.8931793570518494,0.38045167922973633,-0.8680860251188278,-0.512727677822113,False
14,up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,1.0,0.2279359996318817,0.9129424691200256,0.4323838949203491,-0.7720640003681183,-0.4805585741996765,False
15,mid_block.attentions.0.transformer_blocks.0.attn2.to_v,1.0,-0.8605712652206421,0.4212344288825989,0.04855700582265854,-1.860571265220642,-0.37267742305994034,False
