layer_index,full_module_name,pipeline_relative_module_name,matrix_type,w0_shape,wcat_shape,w0_input_dim,w0_output_dim,w0_sha256,wcat_sha256,w0_matches_existing_inventory,weights_differ,selected_for_analysis
0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,"[320, 768]","[320, 768]",768,320,9dd977f0a3d0527f22afa21175c8659cb8dcde59c3ff2ad05ef9fbedd0e0d264,21ebac5d703305ce2517fbacb061a2ea042c79584727371cdaaa61bd33791725,True,True,True
1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,to_v,"[320, 768]","[320, 768]",768,320,4388dc3336b161340d7a0b6b099d32627fdacb687f6615b4177af19f4d8bd408,be46a1522aa4f6f759f4535f19850557fa3a3e4c03401055877bd27141db1b35,True,True,True
2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,to_v,"[640, 768]","[640, 768]",768,640,edfcde41ae1b697900b42060150dd7ec880da21341b7e18ead08fd0f36337efc,255277a54827c042420bf9990cf504b542b3cc93023556a21da94ca18225fd4e,True,True,True
3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,to_v,"[640, 768]","[640, 768]",768,640,d48aa58a5d19e5f8481f52001b495000067b1f380d1efb6d1691911353baaeff,51c7baa5080a9f3038fe29d96d979404029232a2d7b2e9b7fabfd10ea80c1eaf,True,True,True
4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,to_v,"[1280, 768]","[1280, 768]",768,1280,18bee6aace34f5676ac075e63d216cd204758056bfb958ddd7ce780b23e9154e,485603ecd0bbc696919b49595c4563251934ed95926a8f5ed5b8269efe87129f,True,True,True
5,unet.down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,to_v,"[1280, 768]","[1280, 768]",768,1280,16b366542adfd20539969762596284738c5e569e875b8211db4200128e48eebd,f47d2ca60c2361fd1ce2dba788ffe7a6ba38390b306a9f67dc3b2e227bc8c5b2,True,True,True
6,unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,to_v,"[1280, 768]","[1280, 768]",768,1280,8ceee46bb9a96b93da00b15b8cf6309a71368931cdb652283d1ac1ae131b1f62,a3d11260f7a083982860fa3123fe72472f1ccb64b360fdd2b1888e4d132e05d0,True,True,True
7,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,to_v,"[1280, 768]","[1280, 768]",768,1280,c75095a732c7fe2aa2792a745dad8c4749d575d15dd47981fc84532b1c0ac7c1,c15e72ef7d960b4863b53275c15e0db2563f890415fbc94dea30892d22afa58b,True,True,True
8,unet.up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,to_v,"[1280, 768]","[1280, 768]",768,1280,4b63600dca599471aa312d8604873ff7dbbf4466a8e74d2179bd348d6e7e928d,96907226ab3c8d6c75347a2d25eeb9f043fbb1284cb0e86279c89cce4a32bc08,True,True,True
9,unet.up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,to_v,"[640, 768]","[640, 768]",768,640,0546b22847ff00d94bea6e07abd408297c01ce2dc75e1ec2000bf3d852bc9ead,9d76e26afdd42dff0a9aa90aa4a0a2f431ffa09b0c3c13fe188675c00438afcd,True,True,True
10,unet.up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,to_v,"[640, 768]","[640, 768]",768,640,f507745813ab7e2eec8c2836d365784a52de20b86f2527e3815b94058344b633,809e1b79e78bf61ea4c868554cdde706726ac3c2027c6e47e24806141d1da24b,True,True,True
11,unet.up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,to_v,"[640, 768]","[640, 768]",768,640,90f06a1c18bf6a7b452337631d03e808e00b97ecd02a75156fe426c4e0f960f8,920ad1e1434edebdbe639035de5c47a93e6365269b7074fa9b548c6a3648afd7,True,True,True
12,unet.up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,to_v,"[320, 768]","[320, 768]",768,320,19f626c64a35633f29ed2e0c17e86c8cecfbf394f92dee166c6d54cac8c0004e,3a2163e5aaed000e26eeeec0f743907cb611060576513a3e66309188739ba84e,True,True,True
13,unet.up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,to_v,"[320, 768]","[320, 768]",768,320,bd9c7b378ecd3f5972f113b750088d35700ddfc8c2eff5a6b7a7a9e7ed66c0f9,f501e0031960fbcdb6139ff0c71184b90734846d4a3ec26eea2ad8d3abd7032f,True,True,True
14,unet.up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,to_v,"[320, 768]","[320, 768]",768,320,92d8ac1730fb6527e7f0265ad9b81e92a63c2b1799bbbc61a98677c312257524,2dad59cd4fcee3d690ed40773fb58f3c5e7a135c03d05e86974c5c5f3fa02702,True,True,True
15,unet.mid_block.attentions.0.transformer_blocks.0.attn2.to_v,mid_block.attentions.0.transformer_blocks.0.attn2.to_v,to_v,"[1280, 768]","[1280, 768]",768,1280,2a65556e4f84e1290efea22706bf15425149e66e3ec255c3abffae48ebd40372,47506c2ecd3789050c294a7854b169a006a87bf2332e71f320fadc6ef1305046,True,True,True
