scope,concept,k,count,mean_purity,median_purity,std_purity,minimum_purity,maximum_purity,random_balanced_label_baseline
overall,all,5,400,0.8195,1.0,0.2385786033993828,0.0,1.0,0.12280701754385964
animal,cat,5,50,0.8759999999999999,1.0,0.2186869909253863,0.2,1.0,0.12280701754385964
animal,dog,5,50,0.7959999999999998,0.8,0.2314821807396846,0.2,1.0,0.12280701754385964
animal,fox,5,50,0.7839999999999999,0.8,0.2556247249387273,0.0,1.0,0.12280701754385964
animal,bear,5,50,0.8200000000000002,1.0,0.22715633383201095,0.2,1.0,0.12280701754385964
animal,wolf,5,50,0.816,1.0,0.27375901811629877,0.0,1.0,0.12280701754385964
animal,rabbit,5,50,0.82,0.8,0.19287301521985908,0.2,1.0,0.12280701754385964
animal,deer,5,50,0.8,1.0,0.28,0.2,1.0,0.12280701754385964
animal,horse,5,50,0.8439999999999999,0.8,0.2011566553708825,0.2,1.0,0.12280701754385964
overall,all,10,400,0.72,0.8,0.2294558781116753,0.0,1.0,0.12280701754385964
animal,cat,10,50,0.752,0.8,0.2220270253820467,0.2,1.0,0.12280701754385964
animal,dog,10,50,0.6819999999999999,0.7,0.22599999999999998,0.2,1.0,0.12280701754385964
animal,fox,10,50,0.6759999999999999,0.7,0.24129649810969075,0.1,1.0,0.12280701754385964
animal,bear,10,50,0.654,0.7,0.1992084335564135,0.1,1.0,0.12280701754385964
animal,wolf,10,50,0.726,0.8,0.24150362316122714,0.0,1.0,0.12280701754385964
animal,rabbit,10,50,0.7199999999999999,0.7,0.20493901531919198,0.1,1.0,0.12280701754385964
animal,deer,10,50,0.78,0.9,0.2645751311064591,0.2,1.0,0.12280701754385964
animal,horse,10,50,0.7699999999999999,0.8,0.19416487838947602,0.1,1.0,0.12280701754385964
overall,all,20,400,0.6104999999999999,0.65,0.20448655212507252,0.05,1.0,0.12280701754385964
animal,cat,20,50,0.6140000000000001,0.625,0.19468949637820732,0.2,1.0,0.12280701754385964
animal,dog,20,50,0.586,0.625,0.1974943037153224,0.15,0.9,0.12280701754385964
animal,fox,20,50,0.508,0.55,0.17244129435839897,0.05,0.8,0.12280701754385964
animal,bear,20,50,0.515,0.55,0.15305227865013968,0.1,0.75,0.12280701754385964
animal,wolf,20,50,0.6459999999999999,0.7,0.2087678136111982,0.05,1.0,0.12280701754385964
animal,rabbit,20,50,0.598,0.6,0.16061133210331083,0.1,0.85,0.12280701754385964
animal,deer,20,50,0.7199999999999999,0.8,0.2515949125081825,0.2,1.0,0.12280701754385964
animal,horse,20,50,0.6970000000000002,0.7,0.17504570831642802,0.2,0.95,0.12280701754385964
