effective_token_length,raw_cluster_0__matched_cat__n42,raw_cluster_1__matched_fox__n53,raw_cluster_2__matched_dog__n54,raw_cluster_3__matched_bear__n51,centered_cluster_0__matched_cat__n43,centered_cluster_1__matched_bear__n61,centered_cluster_2__matched_dog__n47,centered_cluster_3__matched_fox__n49
17,0,0,0,1,0,1,0,0
18,0,0,1,1,0,2,0,0
19,0,0,1,4,0,5,0,0
20,0,0,0,2,0,2,0,0
21,1,0,5,10,0,13,3,0
22,4,3,4,8,3,10,3,3
23,9,5,7,8,9,10,5,5
24,7,7,9,7,7,9,7,7
25,11,11,7,6,11,5,8,11
26,3,6,10,3,3,3,11,5
27,5,8,5,1,8,1,3,7
28,1,5,4,0,1,0,4,5
29,0,4,1,0,0,0,2,3
30,1,1,0,0,1,0,0,1
31,0,2,0,0,0,0,0,2
34,0,1,0,0,0,0,1,0
