effective_token_length,raw_cluster_0__matched_cat__n42,raw_cluster_1__matched_fox__n53,raw_cluster_2__matched_dog__n54,raw_cluster_3__matched_bear__n51,centered_cluster_0__matched_cat__n43,centered_cluster_1__matched_bear__n61,centered_cluster_2__matched_dog__n47,centered_cluster_3__matched_fox__n49
17,0.00000000,0.00000000,0.00000000,0.01960784,0.00000000,0.01639344,0.00000000,0.00000000
18,0.00000000,0.00000000,0.01851852,0.01960784,0.00000000,0.03278689,0.00000000,0.00000000
19,0.00000000,0.00000000,0.01851852,0.07843137,0.00000000,0.08196721,0.00000000,0.00000000
20,0.00000000,0.00000000,0.00000000,0.03921569,0.00000000,0.03278689,0.00000000,0.00000000
21,0.02380952,0.00000000,0.09259259,0.19607843,0.00000000,0.21311475,0.06382979,0.00000000
22,0.09523810,0.05660377,0.07407407,0.15686275,0.06976744,0.16393443,0.06382979,0.06122449
23,0.21428571,0.09433962,0.12962963,0.15686275,0.20930233,0.16393443,0.10638298,0.10204082
24,0.16666667,0.13207547,0.16666667,0.13725490,0.16279070,0.14754098,0.14893617,0.14285714
25,0.26190476,0.20754717,0.12962963,0.11764706,0.25581395,0.08196721,0.17021277,0.22448980
26,0.07142857,0.11320755,0.18518519,0.05882353,0.06976744,0.04918033,0.23404255,0.10204082
27,0.11904762,0.15094340,0.09259259,0.01960784,0.18604651,0.01639344,0.06382979,0.14285714
28,0.02380952,0.09433962,0.07407407,0.00000000,0.02325581,0.00000000,0.08510638,0.10204082
29,0.00000000,0.07547170,0.01851852,0.00000000,0.00000000,0.00000000,0.04255319,0.06122449
30,0.02380952,0.01886792,0.00000000,0.00000000,0.02325581,0.00000000,0.00000000,0.02040816
31,0.00000000,0.03773585,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.04081633
34,0.00000000,0.01886792,0.00000000,0.00000000,0.00000000,0.00000000,0.02127660,0.00000000
