facet_id,raw_cluster_0__matched_cat__n42,raw_cluster_1__matched_fox__n53,raw_cluster_2__matched_dog__n54,raw_cluster_3__matched_bear__n51,centered_cluster_0__matched_cat__n43,centered_cluster_1__matched_bear__n61,centered_cluster_2__matched_dog__n47,centered_cluster_3__matched_fox__n49
behavior_habits,0.07142857,0.09433962,0.11111111,0.11764706,0.06976744,0.09836066,0.12765957,0.10204082
body_parts,0.11904762,0.00000000,0.09259259,0.19607843,0.11627907,0.19672131,0.06382979,0.00000000
function_ability,0.11904762,0.05660377,0.09259259,0.13725490,0.11627907,0.13114754,0.08510638,0.06122449
habitat_scene,0.09523810,0.18867925,0.09259259,0.01960784,0.11627907,0.01639344,0.10638298,0.18367347
human_interaction,0.07142857,0.03773585,0.14814815,0.13725490,0.04651163,0.14754098,0.17021277,0.02040816
indirect_holistic,0.11904762,0.11320755,0.09259259,0.07843137,0.11627907,0.08196721,0.08510638,0.12244898
movement,0.07142857,0.07547170,0.11111111,0.13725490,0.09302326,0.13114754,0.10638298,0.06122449
object_relationship,0.11904762,0.18867925,0.05555556,0.03921569,0.09302326,0.06557377,0.06382979,0.18367347
sounds,0.09523810,0.18867925,0.11111111,0.00000000,0.11627907,0.00000000,0.10638298,0.20408163
visual_appearance,0.11904762,0.05660377,0.09259259,0.13725490,0.11627907,0.13114754,0.08510638,0.06122449
