group,target_names,anchor_names,layer,variant,target_rank,anchor_rank,true_leakage,projector_leakage_crosscheck,raw_frozen_s_preservation_loss,normalized_frozen_s_preservation_distortion,frozen_s_delta_vs_variant_c,frozen_s_ratio_vs_variant_c,anchor_feature_drift,anchor_delta_vs_variant_c,anchor_ratio_vs_variant_c,anchor_delta_vs_variant_d,orthogonality_residual,exact_mapping_residual,determinant
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.94450555451148599,0.94450555451163043,2009.6873648888334,0.20422144944628087,0,1,0.29237114437394202,0,1,-0.26794950863809036,2.0295431534980027e-12,,1.0000000000163531
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,1.5504312077727524e-29,1.6165535784830817e-29,816.92142307654285,0.083014343434277618,-0.12120710601200325,0.40649179437008159,0.56032065301203238,0.26794950863809036,1.9164704308007345,0,1.7305764842277507e-12,1.4854304391132616e-14,-1.0000000000131768
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,E_anchor_optimal_exact_orthogonal,12,12,1.5638509422165007e-29,1.6313656801065687e-29,15617.045818554936,1.5869810343912314,1.3827595849449505,7.7708832186536627,0.38751748551010656,0.095146341136164547,1.3254299987090128,-0.17280316750192581,1.8546259477298014e-12,1.4908141425433257e-14,-1.0000000000145772
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.89670296992234588,0.89670296992247689,1379.0712887770887,0.18048754943486331,0,1,0.28394091505511365,0,1,0.013545648059146487,2.1188535187200626e-12,,1.0000000000172427
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,1.2229293836106014e-29,1.2897642969024635e-29,486.5780920265903,0.063681470387544264,-0.11680607904731904,0.35283026772174364,0.27039526699596717,-0.013545648059146487,0.95229413113458039,0,1.8569608028567234e-12,1.1512014155201807e-14,1.0000000000144067
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,E_anchor_optimal_exact_orthogonal,12,12,1.2260624849852019e-29,1.2998876736932643e-29,8761.3313763508486,1.1466493739468635,0.96616182451200017,6.3530663335904025,0.19599677487555048,-0.087944140179563174,0.69027309726570052,-0.074398492120416687,1.8666520941316563e-12,1.1554948820877467e-14,1.0000000000145888
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.93871522431470256,0.93871522431506049,2834.4224148867997,0.13611333303795792,0,1,0.29235453340292178,0,1,-0.33069388416274975,6.659907715766268e-12,,1.0000000000791467
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,1.028641909660645e-29,1.1485887451510984e-29,1402.3575398706182,0.067343370508281888,-0.068769962529676029,0.49475954342769524,0.62304841756567153,0.33069388416274975,2.1311399221813634,0,6.551438500516173e-12,1.2934438835164182e-14,1.0000000000779918
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,E_anchor_optimal_exact_orthogonal,12,12,1.0685456097887755e-29,1.1796545362015643e-29,36060.662486632144,1.7316885926505012,1.5955752596125432,12.722402383369639,0.49690993477632261,0.20455540137340084,1.6996826729260375,-0.12613848278934892,6.2745187216278672e-12,1.3055788121267895e-14,-1.0000000000744165
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.92485535094522586,0.92485535094561333,1928.7456753135907,0.12429026062056024,0,1,0.25632283309720333,0,1,-0.21644492797732634,6.7075345785568472e-12,,1.0000000000795837
