group,target_names,anchor_names,layer,variant,target_rank,anchor_rank,true_leakage,projector_leakage_crosscheck,raw_preservation_loss,normalized_preservation_distortion,preservation_delta_vs_variant_c,preservation_ratio_vs_variant_c,anchor_feature_drift,orthogonality_residual,exact_mapping_residual,determinant
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.94460988562717818,0.94460988562734283,1833.7678772072302,0.18834329449895193,0,1,0.18578178630602224,2.0192819209916812e-12,,1.000000000016092
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,2.3352219811751936e-29,2.4037991078830369e-29,721.41892385893186,0.074095755805479682,-0.11424753869347225,0.39340798408882033,0.60657192468452759,1.7539240817236457e-12,1.2602990516241607e-14,-1.0000000000136877
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.89872581616206704,0.8987258161622288,1494.2754573777875,0.19878860189201808,0,1,0.15172569667134567,2.2145375363588556e-12,,1.0000000000179448
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,9.7941982515498795e-30,1.0441019047109055e-29,366.64346450675862,0.048775840720856729,-0.15001276117116136,0.24536537938604627,0.29740801319815363,1.8410874149691239e-12,1.2015993121428577e-14,1.0000000000145357
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.95158732053193662,0.95158732053232864,2459.4385380297576,0.11955509345471453,0,1,0.1657843210303456,6.8069976231597758e-12,,1.0000000000809237
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,1.9756727111942464e-29,2.0838544585680198e-29,1156.9310232853877,0.05623925724134908,-0.063315836213365451,0.47040452745454603,0.80840645155641222,6.5044950370929471e-12,1.5642356905769043e-14,-1.0000000000772282
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.93590940773918518,0.93590940773962783,1878.3258553626131,0.12218553836898575,0,1,0.14494388920518092,6.8698779732480826e-12,,1.0000000000819804
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,3.2475746049409348e-29,3.3572987361769597e-29,748.756391627413,0.048706779261446558,-0.073478759107539204,0.39862965709049702,0.68415480239765192,6.3901180715201242e-12,9.2436880314692587e-15,-1.0000000000760521
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.97459255414816537,0.97459255414900026,3542.685014955945,0.068895008755463893,0,1,0.13425547947983507,2.4373601891423508e-11,,-1.0000000004173335
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,1.1448704199859244e-29,1.21005293414646e-29,2078.3925296881298,0.04041874197837346,-0.028476266777090434,0.58667155587186059,1.1087213393059558,2.4947131832884255e-11,1.5604960604918795e-14,1.0000000004287461
