phase,index,seed
smoke,0,42
smoke,1,43
smoke,2,44
smoke,3,45
smoke,4,46
smoke,5,47
smoke,6,48
smoke,7,49
smoke,8,50
smoke,9,51
smoke,10,52
smoke,11,53
smoke,12,54
smoke,13,55
smoke,14,56
smoke,15,57
smoke,16,58
smoke,17,59
smoke,18,60
smoke,19,61
screening,0,42
screening,1,43
screening,2,44
screening,3,45
screening,4,46
screening,5,47
screening,6,48
screening,7,49
screening,8,50
screening,9,51
screening,10,52
screening,11,53
screening,12,54
screening,13,55
screening,14,56
screening,15,57
screening,16,58
screening,17,59
screening,18,60
screening,19,61
joint,0,42
joint,1,43
joint,2,44
joint,3,45
joint,4,46
joint,5,47
joint,6,48
joint,7,49
joint,8,50
joint,9,51
joint,10,52
joint,11,53
joint,12,54
joint,13,55
joint,14,56
joint,15,57
joint,16,58
joint,17,59
joint,18,60
joint,19,61
control,0,42
control,1,43
control,2,44
control,3,45
control,4,46
control,5,47
control,6,48
control,7,49
