phase,pair_index,pair,target,anchor,prompt,method,seed,target_similarity,anchor_similarity,anchor_minus_target,predicted_label,own_anchor_top1,rgb_std,image_path
smoke,1,cat_to_dog,cat,dog,a photo of a cat,original,42,0.286925733089447,0.2283019870519638,-0.058623746037483215,cat,False,0.18121929466724396,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/images/smoke/cat_to_dog/original/seed_42.png
smoke,1,cat_to_dog,cat,dog,a photo of a cat,original,43,0.2795560657978058,0.228949636220932,-0.05060642957687378,cat,False,0.25223955512046814,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/images/smoke/cat_to_dog/original/seed_43.png
smoke,1,cat_to_dog,cat,dog,a photo of a cat,original,44,0.29515230655670166,0.2391960620880127,-0.055956244468688965,cat,False,0.26767653226852417,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/images/smoke/cat_to_dog/original/seed_44.png
smoke,1,cat_to_dog,cat,dog,a photo of a cat,original,45,0.2806367874145508,0.230977401137352,-0.04965938627719879,cat,False,0.2082907110452652,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/images/smoke/cat_to_dog/original/seed_45.png
smoke,1,cat_to_dog,cat,dog,a photo of a cat,original,46,0.28885459899902344,0.23564665019512177,-0.05320794880390167,cat,False,0.2301338165998459,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/images/smoke/cat_to_dog/original/seed_46.png
smoke,1,cat_to_dog,cat,dog,a photo of a cat,original,47,0.2806742489337921,0.22599418461322784,-0.05468006432056427,cat,False,0.25540778040885925,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/images/smoke/cat_to_dog/original/seed_47.png
smoke,1,cat_to_dog,cat,dog,a photo of a cat,original,48,0.272568017244339,0.21506860852241516,-0.05749940872192383,cat,False,0.27350154519081116,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/images/smoke/cat_to_dog/original/seed_48.png
smoke,1,cat_to_dog,cat,dog,a photo of a cat,original,49,0.2817438542842865,0.2225927710533142,-0.05915108323097229,cat,False,0.2765986919403076,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/images/smoke/cat_to_dog/original/seed_49.png
smoke,1,cat_to_dog,cat,dog,a photo of a cat,original,50,0.2846689522266388,0.23170047998428345,-0.05296847224235535,cat,False,0.22267307341098785,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/images/smoke/cat_to_dog/original/seed_50.png
smoke,1,cat_to_dog,cat,dog,a photo of a cat,original,51,0.27048638463020325,0.2190159410238266,-0.05147044360637665,cat,False,0.2969062626361847,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/images/smoke/cat_to_dog/original/seed_51.png
