layer_index,layer,out_dim,in_dim,objective,reflection_detected,reflection_correction,orthogonality_error,weight_gram_relative_error,method,checkpoint,checkpoint_sha256
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,320,768,vector,False,upstream,5.590358341578394e-06,7.942492084112018e-05,single_vector_cat_to_dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_cat_to_dog.safetensors,62ea6a4843c8239fc80f0b7bd1b5a325f6af2f653bce94dcb1036fbd2e56296f
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,320,768,vector,False,upstream,5.894894002267392e-06,5.332648288458586e-05,single_vector_cat_to_dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_cat_to_dog.safetensors,62ea6a4843c8239fc80f0b7bd1b5a325f6af2f653bce94dcb1036fbd2e56296f
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,640,768,vector,False,upstream,9.753291124070529e-06,0.00018527728389017284,single_vector_cat_to_dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_cat_to_dog.safetensors,62ea6a4843c8239fc80f0b7bd1b5a325f6af2f653bce94dcb1036fbd2e56296f
4,down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,640,768,vector,True,upstream,9.388589205627795e-06,0.00015863326552789658,single_vector_cat_to_dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_cat_to_dog.safetensors,62ea6a4843c8239fc80f0b7bd1b5a325f6af2f653bce94dcb1036fbd2e56296f
5,down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,1280,768,vector,True,upstream,1.3452046914608218e-05,0.00036716635804623365,single_vector_cat_to_dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_cat_to_dog.safetensors,62ea6a4843c8239fc80f0b7bd1b5a325f6af2f653bce94dcb1036fbd2e56296f
6,down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,1280,768,vector,True,upstream,1.2731476999761071e-05,0.00033795140916481614,single_vector_cat_to_dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_cat_to_dog.safetensors,62ea6a4843c8239fc80f0b7bd1b5a325f6af2f653bce94dcb1036fbd2e56296f
7,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,1280,768,vector,False,upstream,1.3344406397663988e-05,0.00036739869392476976,single_vector_cat_to_dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_cat_to_dog.safetensors,62ea6a4843c8239fc80f0b7bd1b5a325f6af2f653bce94dcb1036fbd2e56296f
8,up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,1280,768,vector,True,upstream,1.3099513125780504e-05,0.000342740211635828,single_vector_cat_to_dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_cat_to_dog.safetensors,62ea6a4843c8239fc80f0b7bd1b5a325f6af2f653bce94dcb1036fbd2e56296f
9,up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,1280,768,vector,True,upstream,1.3466058589983732e-05,0.00037578342016786337,single_vector_cat_to_dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_cat_to_dog.safetensors,62ea6a4843c8239fc80f0b7bd1b5a325f6af2f653bce94dcb1036fbd2e56296f
10,up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,640,768,vector,False,upstream,9.711306120152585e-06,0.00019643205450847745,single_vector_cat_to_dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_cat_to_dog.safetensors,62ea6a4843c8239fc80f0b7bd1b5a325f6af2f653bce94dcb1036fbd2e56296f
11,up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,640,768,vector,False,upstream,9.409180165675934e-06,0.0001854807633208111,single_vector_cat_to_dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_cat_to_dog.safetensors,62ea6a4843c8239fc80f0b7bd1b5a325f6af2f653bce94dcb1036fbd2e56296f
12,up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,640,768,vector,False,upstream,9.925773156282958e-06,0.00020517944358289242,single_vector_cat_to_dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_cat_to_dog.safetensors,62ea6a4843c8239fc80f0b7bd1b5a325f6af2f653bce94dcb1036fbd2e56296f
