phase,sample_index,seed
feasibility,0,42
feasibility,1,43
feasibility,2,44
feasibility,3,45
feasibility,4,46
feasibility,5,47
feasibility,6,48
feasibility,7,49
feasibility,8,50
feasibility,9,51
screening,0,42
screening,1,43
screening,2,44
screening,3,45
screening,4,46
screening,5,47
screening,6,48
screening,7,49
screening,8,50
screening,9,51
joint,0,42
joint,1,43
joint,2,44
joint,3,45
joint,4,46
joint,5,47
joint,6,48
joint,7,49
joint,8,50
joint,9,51
control,0,42
control,1,43
control,2,44
control,3,45
control,4,46
control,5,47
control,6,48
control,7,49
