concept,seed,prompt,clip_prompt_alignment,rgb_std,image_path
cat,42,a photo of a cat,0.286925733089447,0.18121929466724396,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/cat/seed_42.png
cat,43,a photo of a cat,0.2795560956001282,0.25223955512046814,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/cat/seed_43.png
cat,44,a photo of a cat,0.29515233635902405,0.26767653226852417,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/cat/seed_44.png
cat,45,a photo of a cat,0.28063681721687317,0.2082907110452652,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/cat/seed_45.png
cat,46,a photo of a cat,0.28885459899902344,0.2301338165998459,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/cat/seed_46.png
cat,47,a photo of a cat,0.2806742489337921,0.25540778040885925,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/cat/seed_47.png
cat,48,a photo of a cat,0.27256807684898376,0.27350154519081116,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/cat/seed_48.png
cat,49,a photo of a cat,0.2817439138889313,0.2765986919403076,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/cat/seed_49.png
cat,50,a photo of a cat,0.2846689820289612,0.22267307341098785,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/cat/seed_50.png
cat,51,a photo of a cat,0.27048641443252563,0.2969062626361847,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/cat/seed_51.png
airplane,42,a photo of a airplane,0.27195054292678833,0.25553587079048157,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/airplane/seed_42.png
airplane,43,a photo of a airplane,0.28327640891075134,0.18520893156528473,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/airplane/seed_43.png
airplane,44,a photo of a airplane,0.2589392364025116,0.21423852443695068,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/airplane/seed_44.png
airplane,45,a photo of a airplane,0.25644394755363464,0.16843129694461823,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/airplane/seed_45.png
airplane,46,a photo of a airplane,0.25894540548324585,0.12525637447834015,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/airplane/seed_46.png
airplane,47,a photo of a airplane,0.27487266063690186,0.16101500391960144,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/airplane/seed_47.png
airplane,48,a photo of a airplane,0.25937947630882263,0.1976778209209442,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/airplane/seed_48.png
airplane,49,a photo of a airplane,0.2538641691207886,0.1898345947265625,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/airplane/seed_49.png
airplane,50,a photo of a airplane,0.2635214924812317,0.17081184685230255,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/airplane/seed_50.png
airplane,51,a photo of a airplane,0.2795398235321045,0.1583624631166458,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/airplane/seed_51.png
church,42,a photo of a church,0.2921627461910248,0.2546952962875366,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/church/seed_42.png
church,43,a photo of a church,0.2892633080482483,0.24433104693889618,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/church/seed_43.png
church,44,a photo of a church,0.28625184297561646,0.2859635353088379,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/church/seed_44.png
church,45,a photo of a church,0.2770044505596161,0.22226054966449738,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/church/seed_45.png
church,46,a photo of a church,0.2912538945674896,0.24014770984649658,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/church/seed_46.png
church,47,a photo of a church,0.29825976490974426,0.25629904866218567,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/church/seed_47.png
church,48,a photo of a church,0.2950703501701355,0.24106699228286743,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/church/seed_48.png
church,49,a photo of a church,0.29566264152526855,0.2546403706073761,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/church/seed_49.png
church,50,a photo of a church,0.2917898893356323,0.21444009244441986,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/church/seed_50.png
church,51,a photo of a church,0.2867414951324463,0.2707919180393219,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/church/seed_51.png
truck,42,a photo of a truck,0.2751876413822174,0.3196396231651306,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/truck/seed_42.png
truck,43,a photo of a truck,0.2844269573688507,0.3302369713783264,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/truck/seed_43.png
truck,44,a photo of a truck,0.26232245564460754,0.29185956716537476,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/truck/seed_44.png
truck,45,a photo of a truck,0.2735466957092285,0.31836557388305664,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/truck/seed_45.png
truck,46,a photo of a truck,0.2820717990398407,0.25140634179115295,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/truck/seed_46.png
truck,47,a photo of a truck,0.261636883020401,0.2758977711200714,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/truck/seed_47.png
truck,48,a photo of a truck,0.2691112756729126,0.28659796714782715,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/truck/seed_48.png
truck,49,a photo of a truck,0.2783734202384949,0.3608838617801666,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/truck/seed_49.png
truck,50,a photo of a truck,0.2632465958595276,0.3178856074810028,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/truck/seed_50.png
truck,51,a photo of a truck,0.2555241882801056,0.3102487325668335,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/truck/seed_51.png
guitar,42,a photo of a guitar,0.2878008186817169,0.20238026976585388,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/guitar/seed_42.png
guitar,43,a photo of a guitar,0.30132943391799927,0.2759310305118561,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/guitar/seed_43.png
guitar,44,a photo of a guitar,0.3137611150741577,0.2552586793899536,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/guitar/seed_44.png
guitar,45,a photo of a guitar,0.2922535240650177,0.21491652727127075,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/guitar/seed_45.png
guitar,46,a photo of a guitar,0.30323922634124756,0.19621749222278595,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/guitar/seed_46.png
guitar,47,a photo of a guitar,0.30235326290130615,0.29760077595710754,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/guitar/seed_47.png
guitar,48,a photo of a guitar,0.30267706513404846,0.3481464385986328,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/guitar/seed_48.png
guitar,49,a photo of a guitar,0.31208536028862,0.25720682740211487,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/guitar/seed_49.png
guitar,50,a photo of a guitar,0.30801790952682495,0.20133915543556213,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/guitar/seed_50.png
guitar,51,a photo of a guitar,0.30869773030281067,0.23198957741260529,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/guitar/seed_51.png
dog,42,a photo of a dog,0.28774482011795044,0.23900404572486877,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/dog/seed_42.png
dog,43,a photo of a dog,0.2803473472595215,0.235403373837471,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/official_subspace/images/feasibility/dog/seed_43.png
