concept,kind,mean_clip_prompt_alignment,std_clip_prompt_alignment,minimum_clip_prompt_alignment,mean_rgb_std
cat,target,0.2821267247200012,0.00732099823653698,0.27048641443252563,0.2464647263288498
airplane,target,0.2660732865333557,0.010456645861268044,0.2538641691207886,0.1826372727751732
church,target,0.29034602642059326,0.006040118169039488,0.2770044505596161,0.24846365600824355
truck,target,0.27054479718208313,0.009691555052995682,0.2555241882801056,0.3063022017478943
guitar,target,0.30322152376174927,0.008201425895094872,0.2878008186817169,0.2480986773967743
dog,anchor,0.2744865417480469,0.009259691461920738,0.25717827677726746,0.22977121770381928
helicopter,anchor,0.293251097202301,0.009304933249950409,0.28046348690986633,0.22473019361495972
castle,anchor,0.29494282603263855,0.007670505437999964,0.28410375118255615,0.23297275453805924
car,anchor,0.25253814458847046,0.019808173179626465,0.23340345919132233,0.2677243322134018
piano,anchor,0.3000524938106537,0.008922022767364979,0.28566813468933105,0.3117866814136505
