layer_index,layer,method,own_anchor_top1_rate,mean_margin,minimum_margin,positive_margin_fraction
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,original,1.0,0.16608992218971252,0.10986649990081787,1.0
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,single_subspace,1.0,0.08998516947031021,0.05546979233622551,1.0
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,joint_subspace_n2,0.5,0.0007975660264492035,-0.007314249873161316,0.5
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,joint_vector_eq6_n2,1.0,0.46674975752830505,0.4617278575897217,1.0
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,original,1.0,0.07201975584030151,0.06965261697769165,1.0
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,single_subspace,0.5,0.01003977656364441,-0.004432410001754761,0.5
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,joint_subspace_n2,0.5,-0.0015247464179992676,-0.016954898834228516,0.5
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,joint_vector_eq6_n2,1.0,0.19595041871070862,0.18742376565933228,1.0
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,original,1.0,0.2554628551006317,0.11887985467910767,1.0
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,single_subspace,1.0,0.11148562282323837,0.01578064262866974,1.0
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,joint_subspace_n2,0.5,-0.007181733846664429,-0.0368264764547348,0.5
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,joint_vector_eq6_n2,1.0,0.6483378410339355,0.6435783505439758,1.0
4,down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,original,1.0,0.17319652438163757,0.1204230785369873,1.0
4,down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,single_subspace,1.0,0.08199258521199226,0.018993660807609558,1.0
4,down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,joint_subspace_n2,0.5,0.0010463148355484009,-0.05461663007736206,0.5
4,down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,joint_vector_eq6_n2,1.0,0.4487970173358917,0.43345677852630615,1.0
5,down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,original,1.0,0.2578681781888008,0.14967502653598785,1.0
5,down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,single_subspace,1.0,0.11488085892051458,0.07987237721681595,1.0
5,down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,joint_subspace_n2,0.5,0.00218147411942482,-0.01963961496949196,0.5
5,down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,joint_vector_eq6_n2,1.0,0.8223859220743179,0.8126043528318405,1.0
6,down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,original,1.0,0.2789989970624447,0.21118727326393127,1.0
6,down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,single_subspace,1.0,0.1027258113026619,0.09706398844718933,1.0
6,down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,joint_subspace_n2,0.5,0.009072739630937576,-0.0036963820457458496,0.5
6,down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,joint_vector_eq6_n2,1.0,0.8755956366658211,0.8683173954486847,1.0
7,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,original,1.0,0.2932775001972914,0.19116073846817017,1.0
7,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,single_subspace,1.0,0.08560280059464276,0.05786430882290006,1.0
7,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,joint_subspace_n2,0.5,0.014420937281101942,-0.03071144036948681,0.5
7,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,joint_vector_eq6_n2,1.0,0.9106849767267704,0.9055431038141251,1.0
8,up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,original,1.0,0.3168432703241706,0.24673548340797424,1.0
8,up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,single_subspace,1.0,0.04914415441453457,0.03797584027051926,1.0
8,up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,joint_subspace_n2,0.5,0.014076460152864456,-0.015101358294487,0.5
8,up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,joint_vector_eq6_n2,1.0,0.9495463706552982,0.9412037134170532,1.0
9,up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,original,1.0,0.29735275730490685,0.28081114590168,1.0
9,up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,single_subspace,1.0,0.07495855167508125,0.07039551809430122,1.0
9,up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,joint_subspace_n2,0.5,0.009230894036591053,-0.012580392882227898,0.5
9,up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,joint_vector_eq6_n2,1.0,0.8985629118978977,0.8966424614191055,1.0
10,up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,original,1.0,0.2613162323832512,0.231711745262146,1.0
10,up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,single_subspace,1.0,0.1149734053760767,0.09392288886010647,1.0
10,up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,joint_subspace_n2,0.5,0.012904807925224304,-0.007165960967540741,0.5
10,up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,joint_vector_eq6_n2,1.0,0.8027154058218002,0.7850531786680222,1.0
11,up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,original,1.0,0.2647002339363098,0.24742084741592407,1.0
