layer,weight_max_abs_difference,weight_relative_frobenius_difference,rotation_max_abs_difference,rotation_relative_frobenius_difference,weight_exact_equal,rotation_exact_equal,weight_allclose_rtol1e-5_atol1e-6,rotation_allclose_rtol1e-5_atol1e-6
down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,4.935543984174728e-06,3.853486487059854e-05,3.4409575164318085e-05,7.535907934652641e-05,False,False,False,False
down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,9.164214134216309e-06,7.388426456600428e-05,0.00018078088760375977,0.00016930628044065088,False,False,False,False
down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,9.609386324882507e-06,5.599890209850855e-05,0.00011086417362093925,0.00023395195603370667,False,False,False,False
down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,1.0980293154716492e-05,7.275065581779927e-05,0.00010314304381608963,0.00028583253151737154,False,False,False,False
down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,0.12229840457439423,0.05528508126735687,1.0840280055999756,0.7098009586334229,False,False,False,False
down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,9.67457890510559e-06,5.8246230764780194e-05,0.10829285532236099,0.7091817259788513,False,False,False,False
mid_block.attentions.0.transformer_blocks.0.attn2.to_v,0.01997465081512928,0.04177454113960266,0.12458352744579315,0.7451688051223755,False,False,False,False
up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,0.022357620298862457,0.04097084701061249,0.11136385798454285,0.744239091873169,False,False,False,False
up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,1.4185905456542969e-05,5.744373629568145e-05,0.12333288788795471,0.7531715631484985,False,False,False,False
up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,1.2993812561035156e-05,5.751207208959386e-05,0.1224927008152008,0.7362775802612305,False,False,False,False
up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,1.1038035154342651e-05,3.569449472706765e-05,3.3833086490631104e-05,8.059047104325145e-05,False,False,False,False
up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,1.1712312698364258e-05,4.055761019117199e-05,0.00012095877900719643,0.0001821246842155233,False,False,False,False
up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,7.28946179151535e-06,4.420138066052459e-05,5.476269870996475e-05,0.00016172979667317122,False,False,False,False
up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,1.1788681149482727e-05,9.66961815720424e-05,0.00021981820464134216,0.0002894586359616369,False,False,False,False
up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,9.762123227119446e-06,6.0177095292601734e-05,0.00019612163305282593,0.0001847308303695172,False,False,False,False
up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,8.884817361831665e-06,6.756804214091972e-05,0.00010635890066623688,0.00019732343207579106,False,False,False,False
