layer_index,layer,anchor_column_count,anchor_numeric_rank_default,anchor_largest_singular_value,anchor_smallest_singular_value,anchor_condition_number,anchor_projector_max_abs_difference,anchor_projector_relative_frobenius_difference,objective_max_abs_difference,objective_relative_frobenius_difference
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,12,12,2.9755401611328125,0.03130007162690163,95.0649642944336,4.6193599700927734e-07,1.3660089734912617e-06,0.000362396240234375,6.819976761107682e-07
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,12,12,3.270303726196289,0.02311050146818161,141.50726318359375,6.062909960746765e-07,1.6188527069971315e-06,0.0005130767822265625,8.242909643740859e-07
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,12,12,2.8161299228668213,0.03335229679942131,84.43585968017578,5.19677996635437e-07,1.667777382863278e-06,0.0001926422119140625,5.020966113988834e-07
4,down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,12,12,3.0419423580169678,0.030685042962431908,99.13436889648438,3.969762474298477e-07,1.2554149861898622e-06,0.00043487548828125,7.081956709953374e-07
5,down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,12,12,2.5831751823425293,0.04300481453537941,60.067115783691406,2.4889595806598663e-07,1.1812545608336222e-06,0.0001373291015625,4.2841486447287025e-07
6,down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,12,12,2.5521042346954346,0.04011630266904831,63.61763381958008,2.3958273231983185e-07,1.3014059732086025e-06,0.0002624392509460449,5.28730197402183e-07
7,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,12,12,2.477476119995117,0.03906988352537155,63.41140365600586,1.4348188415169716e-07,9.618352123652585e-07,0.0001392364501953125,3.881780799019907e-07
8,up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,12,12,2.455263137817383,0.039535339921712875,62.102996826171875,1.7136335372924805e-07,1.2169759884272935e-06,0.00022530555725097656,6.098450739955297e-07
9,up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,12,12,2.46439790725708,0.04252655431628227,57.94962692260742,1.8230639398097992e-07,1.0613916856527794e-06,0.00015974044799804688,4.15751458149316e-07
10,up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,12,12,2.5990259647369385,0.039307691156864166,66.12003326416016,2.4586915969848633e-07,9.282244946007268e-07,0.0001850128173828125,4.360234413525177e-07
11,up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,12,12,2.8370907306671143,0.028851570561528206,98.33401489257812,6.19795173406601e-07,2.1836424366483698e-06,0.000690460205078125,9.222436005984491e-07
12,up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,12,12,2.7285027503967285,0.03698074072599411,73.78172302246094,2.635642886161804e-07,1.0976751809721463e-06,0.00030612945556640625,5.867968866368756e-07
13,up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,12,12,3.220176935195923,0.022439006716012955,143.50799560546875,5.112960934638977e-07,1.68227415997535e-06,0.00035381317138671875,6.997598234192992e-07
14,up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,12,12,3.243396282196045,0.022966301068663597,141.22415161132812,8.381903171539307e-07,1.9298609004181344e-06,0.000751495361328125,9.551907851346186e-07
15,up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,12,12,3.2646987438201904,0.018653813749551773,175.01507568359375,1.152046024799347e-06,2.3328645966103068e-06,0.0018787384033203125,1.3415848343356629e-06
16,mid_block.attentions.0.transformer_blocks.0.attn2.to_v,12,12,2.493121862411499,0.04389817267656326,56.79329299926758,1.6577541828155518e-07,1.0177682270295918e-06,0.00012969970703125,3.77764649783785e-07
