layer_index,layer,out_dim,in_dim,objective,reflection_detected,reflection_correction,orthogonality_error,weight_gram_relative_error,method,role,checkpoint_sha256,rotation_sha256
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,320,768,subspace,False,upstream,5.791531748400303e-06,9.302033868152648e-05,single_subspace_cat_to_dog,official_oce_baseline,d67095a06a402414046421c0b25a7f42cce24b8a11bc61276604421e1daa417c,9c0128a85b9d3f244f005d72541990a077b58ff46fce909c2493f7d7f8e52d71
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,320,768,subspace,False,upstream,6.032853889337275e-06,9.21155369724147e-05,single_subspace_cat_to_dog,official_oce_baseline,d67095a06a402414046421c0b25a7f42cce24b8a11bc61276604421e1daa417c,9c0128a85b9d3f244f005d72541990a077b58ff46fce909c2493f7d7f8e52d71
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,640,768,subspace,False,upstream,8.991873983177356e-06,0.00017678544099908322,single_subspace_cat_to_dog,official_oce_baseline,d67095a06a402414046421c0b25a7f42cce24b8a11bc61276604421e1daa417c,9c0128a85b9d3f244f005d72541990a077b58ff46fce909c2493f7d7f8e52d71
4,down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,640,768,subspace,False,upstream,9.815956218517385e-06,0.0001719356223475188,single_subspace_cat_to_dog,official_oce_baseline,d67095a06a402414046421c0b25a7f42cce24b8a11bc61276604421e1daa417c,9c0128a85b9d3f244f005d72541990a077b58ff46fce909c2493f7d7f8e52d71
5,down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,1280,768,subspace,True,upstream,1.2402130778355058e-05,0.0002919735270552337,single_subspace_cat_to_dog,official_oce_baseline,d67095a06a402414046421c0b25a7f42cce24b8a11bc61276604421e1daa417c,9c0128a85b9d3f244f005d72541990a077b58ff46fce909c2493f7d7f8e52d71
6,down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,1280,768,subspace,False,upstream,1.2783920283254702e-05,0.0003309270250611007,single_subspace_cat_to_dog,official_oce_baseline,d67095a06a402414046421c0b25a7f42cce24b8a11bc61276604421e1daa417c,9c0128a85b9d3f244f005d72541990a077b58ff46fce909c2493f7d7f8e52d71
7,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,1280,768,subspace,True,upstream,1.2279369002499152e-05,0.0002809728612191975,single_subspace_cat_to_dog,official_oce_baseline,d67095a06a402414046421c0b25a7f42cce24b8a11bc61276604421e1daa417c,9c0128a85b9d3f244f005d72541990a077b58ff46fce909c2493f7d7f8e52d71
8,up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,1280,768,subspace,True,upstream,1.2722091014438774e-05,0.00030482583679258823,single_subspace_cat_to_dog,official_oce_baseline,d67095a06a402414046421c0b25a7f42cce24b8a11bc61276604421e1daa417c,9c0128a85b9d3f244f005d72541990a077b58ff46fce909c2493f7d7f8e52d71
9,up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,1280,768,subspace,False,upstream,1.262434852833394e-05,0.0003574182919692248,single_subspace_cat_to_dog,official_oce_baseline,d67095a06a402414046421c0b25a7f42cce24b8a11bc61276604421e1daa417c,9c0128a85b9d3f244f005d72541990a077b58ff46fce909c2493f7d7f8e52d71
10,up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,640,768,subspace,False,upstream,8.958636499301065e-06,0.00019665078434627503,single_subspace_cat_to_dog,official_oce_baseline,d67095a06a402414046421c0b25a7f42cce24b8a11bc61276604421e1daa417c,9c0128a85b9d3f244f005d72541990a077b58ff46fce909c2493f7d7f8e52d71
11,up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,640,768,subspace,False,upstream,8.614608304924332e-06,0.00016880205657798797,single_subspace_cat_to_dog,official_oce_baseline,d67095a06a402414046421c0b25a7f42cce24b8a11bc61276604421e1daa417c,9c0128a85b9d3f244f005d72541990a077b58ff46fce909c2493f7d7f8e52d71
12,up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,640,768,subspace,False,upstream,8.880959285306744e-06,0.0001857308961916715,single_subspace_cat_to_dog,official_oce_baseline,d67095a06a402414046421c0b25a7f42cce24b8a11bc61276604421e1daa417c,9c0128a85b9d3f244f005d72541990a077b58ff46fce909c2493f7d7f8e52d71
13,up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,320,768,subspace,False,upstream,5.737099399993895e-06,6.612790457438678e-05,single_subspace_cat_to_dog,official_oce_baseline,d67095a06a402414046421c0b25a7f42cce24b8a11bc61276604421e1daa417c,9c0128a85b9d3f244f005d72541990a077b58ff46fce909c2493f7d7f8e52d71
14,up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,320,768,subspace,False,upstream,6.0283905440883245e-06,7.914762682048604e-05,single_subspace_cat_to_dog,official_oce_baseline,d67095a06a402414046421c0b25a7f42cce24b8a11bc61276604421e1daa417c,9c0128a85b9d3f244f005d72541990a077b58ff46fce909c2493f7d7f8e52d71
15,up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,320,768,subspace,False,upstream,6.264337571337819e-06,9.389762271894142e-05,single_subspace_cat_to_dog,official_oce_baseline,d67095a06a402414046421c0b25a7f42cce24b8a11bc61276604421e1daa417c,9c0128a85b9d3f244f005d72541990a077b58ff46fce909c2493f7d7f8e52d71
16,mid_block.attentions.0.transformer_blocks.0.attn2.to_v,1280,768,subspace,True,upstream,1.340666403848445e-05,0.0003156729508191347,single_subspace_cat_to_dog,official_oce_baseline,d67095a06a402414046421c0b25a7f42cce24b8a11bc61276604421e1daa417c,9c0128a85b9d3f244f005d72541990a077b58ff46fce909c2493f7d7f8e52d71
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,320,768,subspace,False,upstream,5.5632731346122455e-06,9.025962935993448e-05,single_subspace_airplane_to_helicopter,official_oce_baseline,4e78509123e2b8ec5bc7ce8c0ea0cc84201c8bd5d46616289abbeb5fdc3137a0,2bfa2d75896c361fefa88bdaecaad9d1545ca812dc00e08da3ecee37c8a3779b
