target_index,target,anchor_index,anchor,before,after,difference
0,cat,0,dog,0.6397943484560588,0.23280673777006994,-0.40698761068598877
0,cat,1,car,0.44018794493164787,0.1844972447088478,-0.25569070022280005
0,cat,2,castle,0.44175365664812505,0.21060177057059432,-0.23115188607753068
0,cat,3,art,0.4038803901697699,0.21465283927156179,-0.1892275508982081
0,cat,4,celebrity,0.36360574328374345,0.21357432060294562,-0.15003142268079786
1,truck,0,dog,0.3221740265833387,0.18644616155078736,-0.13572786503255135
1,truck,1,car,0.48396142187949914,0.18072140497782782,-0.30324001690167146
1,truck,2,castle,0.3556530279782597,0.18049531054371698,-0.17515771743454264
1,truck,3,art,0.28725339616355117,0.18112201243761225,-0.10613138372593889
1,truck,4,celebrity,0.23688441232756036,0.18308762708575893,-0.05379678524180143
2,church,0,dog,0.3612810994266397,0.20394356401404443,-0.1573375354125953
2,church,1,car,0.3779381884995972,0.17495730199133264,-0.20298088650826457
2,church,2,castle,0.506657813119739,0.20198727945701836,-0.3046705336627207
2,church,3,art,0.388744495857217,0.20021001516742373,-0.18853448068979323
2,church,4,celebrity,0.3276749149754472,0.20192450077925445,-0.12575041419619282
3,Van Gogh,0,dog,0.31219428679581396,0.1592853690931561,-0.15290891770265788
3,Van Gogh,1,car,0.21074135484704454,0.14178508334163348,-0.06895627150541106
3,Van Gogh,2,castle,0.3507895537866429,0.16585331731683114,-0.18493623646981178
3,Van Gogh,3,art,0.473328155492412,0.16217820782842715,-0.31114994766398485
3,Van Gogh,4,celebrity,0.28234357700171103,0.1658730025448265,-0.11647057445688455
4,Adam Driver,0,dog,0.36668605495137796,0.18074378365896882,-0.18594227129240914
4,Adam Driver,1,car,0.35236023038971664,0.16050319611786784,-0.19185703427184878
4,Adam Driver,2,castle,0.39445367508544904,0.18827497733762383,-0.20617869774782527
4,Adam Driver,3,art,0.3209253074534569,0.17960139999134328,-0.1413239074621136
4,Adam Driver,4,celebrity,0.3803596391816988,0.17846371423516733,-0.20189592494653152
