retain_position,concept
1,Aaron Paul
2,Alec Baldwin
3,Amanda Seyfried
4,Amy Poehler
5,Amy Schumer
6,Amy Winehouse
7,Andy Samberg
8,Aretha Franklin
9,Avril Lavigne
10,Aziz Ansari
11,Barry Manilow
12,Ben Affleck
13,Ben Stiller
14,Benicio Del Toro
15,Bette Midler
16,Betty White
17,Bill Murray
18,Bill Nye
19,Britney Spears
20,Brittany Snow
21,Bruce Lee
22,Burt Reynolds
23,Charles Manson
24,Christie Brinkley
25,Christina Hendricks
26,Clint Eastwood
27,Countess Vaughn
28,Dakota Johnson
29,Dane Dehaan
30,David Bowie
31,David Tennant
32,Denise Richards
33,Doris Day
34,Dr Dre
35,Elizabeth Taylor
36,Emma Roberts
37,Fred Rogers
38,Gal Gadot
39,George Bush
40,George Takei
41,Gillian Anderson
42,Gordon Ramsey
43,Halle Berry
44,Harry Dean Stanton
45,Harry Styles
46,Hayley Atwell
47,Heath Ledger
48,Henry Cavill
49,Jackie Chan
50,Jada Pinkett Smith
51,James Garner
52,Jason Statham
53,Jeff Bridges
54,Jennifer Connelly
55,Jensen Ackles
56,Jim Morrison
57,Jimmy Carter
58,Joan Rivers
59,John Lennon
60,Johnny Cash
61,Jon Hamm
62,Judy Garland
63,Julianne Moore
64,Justin Bieber
65,Kaley Cuoco
66,Kate Upton
67,Keanu Reeves
68,Kim Jong Un
69,Kirsten Dunst
70,Kristen Stewart
71,Krysten Ritter
72,Lana Del Rey
73,Leslie Jones
74,Lily Collins
75,Lindsay Lohan
76,Liv Tyler
77,Lizzy Caplan
78,Maggie Gyllenhaal
79,Matt Damon
80,Matt Smith
81,Matthew Mcconaughey
82,Maya Angelou
83,Megan Fox
84,Mel Gibson
85,Melanie Griffith
86,Michael Cera
87,Michael Ealy
88,Natalie Portman
89,Neil Degrasse Tyson
90,Niall Horan
91,Patrick Stewart
92,Paul Rudd
93,Paul Wesley
94,Pierce Brosnan
95,Prince
96,Queen Elizabeth
97,Rachel Dratch
98,Rachel Mcadams
99,Reba Mcentire
100,Robert De Niro
