order,step,within_batch,sequence_position,concept
order_a,1,1,1,Adam Driver
order_a,1,2,2,Adriana Lima
order_a,1,3,3,Amber Heard
order_a,1,4,4,Amy Adams
order_a,1,5,5,Andrew Garfield
order_a,1,6,6,Angelina Jolie
order_a,1,7,7,Anjelica Huston
order_a,1,8,8,Anna Faris
order_a,1,9,9,Anna Kendrick
order_a,1,10,10,Anne Hathaway
order_a,2,1,11,Arnold Schwarzenegger
order_a,2,2,12,Barack Obama
order_a,2,3,13,Beth Behrs
order_a,2,4,14,Bill Clinton
order_a,2,5,15,Bob Dylan
order_a,2,6,16,Bob Marley
order_a,2,7,17,Bradley Cooper
order_a,2,8,18,Bruce Willis
order_a,2,9,19,Bryan Cranston
order_a,2,10,20,Cameron Diaz
order_a,3,1,21,Channing Tatum
order_a,3,2,22,Charlie Sheen
order_a,3,3,23,Charlize Theron
order_a,3,4,24,Chris Evans
order_a,3,5,25,Chris Hemsworth
order_a,3,6,26,Chris Pine
order_a,3,7,27,Chuck Norris
order_a,3,8,28,Courteney Cox
order_a,3,9,29,Demi Lovato
order_a,3,10,30,Drake
order_a,4,1,31,Drew Barrymore
order_a,4,2,32,Dwayne Johnson
order_a,4,3,33,Ed Sheeran
order_a,4,4,34,Elon Musk
order_a,4,5,35,Elvis Presley
order_a,4,6,36,Emma Stone
order_a,4,7,37,Frida Kahlo
order_a,4,8,38,George Clooney
order_a,4,9,39,Glenn Close
order_a,4,10,40,Gwyneth Paltrow
order_a,5,1,41,Harrison Ford
order_a,5,2,42,Hillary Clinton
order_a,5,3,43,Hugh Jackman
order_a,5,4,44,Idris Elba
order_a,5,5,45,Jake Gyllenhaal
order_a,5,6,46,James Franco
order_a,5,7,47,Jared Leto
order_a,5,8,48,Jason Momoa
order_a,5,9,49,Jennifer Aniston
order_a,5,10,50,Jennifer Lawrence
order_a,6,1,51,Jennifer Lopez
order_a,6,2,52,Jeremy Renner
order_a,6,3,53,Jessica Biel
order_a,6,4,54,Jessica Chastain
order_a,6,5,55,John Oliver
order_a,6,6,56,John Wayne
order_a,6,7,57,Johnny Depp
order_a,6,8,58,Julianne Hough
order_a,6,9,59,Justin Timberlake
order_a,6,10,60,Kate Bosworth
order_a,7,1,61,Kate Winslet
order_a,7,2,62,Leonardo Dicaprio
order_a,7,3,63,Margot Robbie
order_a,7,4,64,Mariah Carey
order_a,7,5,65,Melania Trump
order_a,7,6,66,Meryl Streep
order_a,7,7,67,Mick Jagger
order_a,7,8,68,Mila Kunis
order_a,7,9,69,Milla Jovovich
order_a,7,10,70,Morgan Freeman
order_a,8,1,71,Nick Jonas
order_a,8,2,72,Nicolas Cage
order_a,8,3,73,Nicole Kidman
order_a,8,4,74,Octavia Spencer
order_a,8,5,75,Olivia Wilde
order_a,8,6,76,Oprah Winfrey
order_a,8,7,77,Paul Mccartney
order_a,8,8,78,Paul Walker
order_a,8,9,79,Peter Dinklage
order_a,8,10,80,Philip Seymour Hoffman
order_a,9,1,81,Reese Witherspoon
order_a,9,2,82,Richard Gere
order_a,9,3,83,Ricky Gervais
order_a,9,4,84,Rihanna
order_a,9,5,85,Robin Williams
order_a,9,6,86,Ronald Reagan
order_a,9,7,87,Ryan Gosling
order_a,9,8,88,Ryan Reynolds
order_a,9,9,89,Shia Labeouf
order_a,9,10,90,Shirley Temple
order_a,10,1,91,Spike Lee
order_a,10,2,92,Stan Lee
order_a,10,3,93,Theresa May
order_a,10,4,94,Tom Cruise
order_a,10,5,95,Tom Hanks
order_a,10,6,96,Tom Hardy
order_a,10,7,97,Tom Hiddleston
order_a,10,8,98,Whoopi Goldberg
order_a,10,9,99,Zac Efron
order_a,10,10,100,Zayn Malik
order_b,1,1,1,Zayn Malik
order_b,1,2,2,Zac Efron
order_b,1,3,3,Whoopi Goldberg
order_b,1,4,4,Tom Hiddleston
order_b,1,5,5,Tom Hardy
order_b,1,6,6,Tom Hanks
order_b,1,7,7,Tom Cruise
order_b,1,8,8,Theresa May
order_b,1,9,9,Stan Lee
order_b,1,10,10,Spike Lee
order_b,2,1,11,Shirley Temple
order_b,2,2,12,Shia Labeouf
order_b,2,3,13,Ryan Reynolds
order_b,2,4,14,Ryan Gosling
order_b,2,5,15,Ronald Reagan
order_b,2,6,16,Robin Williams
order_b,2,7,17,Rihanna
order_b,2,8,18,Ricky Gervais
order_b,2,9,19,Richard Gere
order_b,2,10,20,Reese Witherspoon
order_b,3,1,21,Philip Seymour Hoffman
order_b,3,2,22,Peter Dinklage
order_b,3,3,23,Paul Walker
order_b,3,4,24,Paul Mccartney
order_b,3,5,25,Oprah Winfrey
order_b,3,6,26,Olivia Wilde
order_b,3,7,27,Octavia Spencer
order_b,3,8,28,Nicole Kidman
order_b,3,9,29,Nicolas Cage
order_b,3,10,30,Nick Jonas
order_b,4,1,31,Morgan Freeman
order_b,4,2,32,Milla Jovovich
order_b,4,3,33,Mila Kunis
order_b,4,4,34,Mick Jagger
order_b,4,5,35,Meryl Streep
order_b,4,6,36,Melania Trump
order_b,4,7,37,Mariah Carey
order_b,4,8,38,Margot Robbie
order_b,4,9,39,Leonardo Dicaprio
order_b,4,10,40,Kate Winslet
order_b,5,1,41,Kate Bosworth
order_b,5,2,42,Justin Timberlake
order_b,5,3,43,Julianne Hough
order_b,5,4,44,Johnny Depp
order_b,5,5,45,John Wayne
order_b,5,6,46,John Oliver
order_b,5,7,47,Jessica Chastain
order_b,5,8,48,Jessica Biel
order_b,5,9,49,Jeremy Renner
order_b,5,10,50,Jennifer Lopez
order_b,6,1,51,Jennifer Lawrence
order_b,6,2,52,Jennifer Aniston
order_b,6,3,53,Jason Momoa
order_b,6,4,54,Jared Leto
order_b,6,5,55,James Franco
order_b,6,6,56,Jake Gyllenhaal
order_b,6,7,57,Idris Elba
order_b,6,8,58,Hugh Jackman
order_b,6,9,59,Hillary Clinton
order_b,6,10,60,Harrison Ford
order_b,7,1,61,Gwyneth Paltrow
order_b,7,2,62,Glenn Close
order_b,7,3,63,George Clooney
order_b,7,4,64,Frida Kahlo
order_b,7,5,65,Emma Stone
order_b,7,6,66,Elvis Presley
order_b,7,7,67,Elon Musk
order_b,7,8,68,Ed Sheeran
order_b,7,9,69,Dwayne Johnson
order_b,7,10,70,Drew Barrymore
order_b,8,1,71,Drake
order_b,8,2,72,Demi Lovato
order_b,8,3,73,Courteney Cox
order_b,8,4,74,Chuck Norris
order_b,8,5,75,Chris Pine
order_b,8,6,76,Chris Hemsworth
order_b,8,7,77,Chris Evans
order_b,8,8,78,Charlize Theron
order_b,8,9,79,Charlie Sheen
