order,condition,step,current_batch_targets_json,current_batch_individual_raw_accuracies_json,current_batch_mean_raw_accuracy,current_batch_median_raw_accuracy,current_batch_maximum_raw_accuracy,number_of_historical_targets,historical_individual_raw_accuracies_json,mean_historical_target_raw_accuracy,median_historical_target_raw_accuracy,maximum_historical_target_raw_accuracy,retain_set_gcd_accuracy,target_sample_count,retain_sample_count,retain_face_detected_count,checkpoint_id
order_a,baseline,1,"[""Adam Driver"", ""Adriana Lima"", ""Amber Heard"", ""Amy Adams"", ""Andrew Garfield"", ""Angelina Jolie"", ""Anjelica Huston"", ""Anna Faris"", ""Anna Kendrick"", ""Anne Hathaway""]","{""Adam Driver"": 0.0, ""Adriana Lima"": 0.0, ""Amber Heard"": 0.0, ""Amy Adams"": 0.0, ""Andrew Garfield"": 0.0, ""Angelina Jolie"": 0.0, ""Anjelica Huston"": 0.0, ""Anna Faris"": 0.2, ""Anna Kendrick"": 0.0, ""Anne Hathaway"": 0.0}",0.02,0.0,0.2,0,{},,,,0.9468302658486708,50,500,489,935eefa5a1a0965e5e5113ade4536235d3394007f9fb4003a999b63098dbc4f4
order_a,baseline,2,"[""Arnold Schwarzenegger"", ""Barack Obama"", ""Beth Behrs"", ""Bill Clinton"", ""Bob Dylan"", ""Bob Marley"", ""Bradley Cooper"", ""Bruce Willis"", ""Bryan Cranston"", ""Cameron Diaz""]","{""Arnold Schwarzenegger"": 0.0, ""Barack Obama"": 0.0, ""Beth Behrs"": 0.0, ""Bill Clinton"": 0.0, ""Bob Dylan"": 0.0, ""Bob Marley"": 0.0, ""Bradley Cooper"": 0.0, ""Bruce Willis"": 0.0, ""Bryan Cranston"": 0.0, ""Cameron Diaz"": 0.0}",0.0,0.0,0.0,10,"{""Adam Driver"": 0.0, ""Adriana Lima"": 0.0, ""Amber Heard"": 0.0, ""Amy Adams"": 0.0, ""Andrew Garfield"": 0.0, ""Angelina Jolie"": 0.0, ""Anjelica Huston"": 0.0, ""Anna Faris"": 0.2, ""Anna Kendrick"": 0.0, ""Anne Hathaway"": 0.0}",0.02,0.0,0.2,0.9349593495934959,100,500,492,b243bdbe70df5579df214bc84016577044b08ec179905c578088d810785b1190
order_a,baseline,3,"[""Channing Tatum"", ""Charlie Sheen"", ""Charlize Theron"", ""Chris Evans"", ""Chris Hemsworth"", ""Chris Pine"", ""Chuck Norris"", ""Courteney Cox"", ""Demi Lovato"", ""Drake""]","{""Channing Tatum"": 0.0, ""Charlie Sheen"": 0.0, ""Charlize Theron"": 1.0, ""Chris Evans"": 0.0, ""Chris Hemsworth"": 0.0, ""Chris Pine"": 0.0, ""Chuck Norris"": 0.0, ""Courteney Cox"": 0.0, ""Demi Lovato"": 0.0, ""Drake"": 0.0}",0.1,0.0,1.0,20,"{""Adam Driver"": 0.0, ""Adriana Lima"": 0.0, ""Amber Heard"": 0.0, ""Amy Adams"": 0.0, ""Andrew Garfield"": 0.0, ""Angelina Jolie"": 0.0, ""Anjelica Huston"": 0.0, ""Anna Faris"": 0.25, ""Anna Kendrick"": 0.0, ""Anne Hathaway"": 0.0, ""Arnold Schwarzenegger"": 0.0, ""Barack Obama"": 0.0, ""Beth Behrs"": 0.0, ""Bill Clinton"": 0.0, ""Bob Dylan"": 0.0, ""Bob Marley"": 0.0, ""Bradley Cooper"": 0.0, ""Bruce Willis"": 0.0, ""Bryan Cranston"": 0.0, ""Cameron Diaz"": 0.0}",0.0125,0.0,0.25,0.9229166666666667,150,500,480,2427704eb68736806c069b2ccac74e529b8d401a91848306e591cd8daa20bbd2
order_a,baseline,4,"[""Drew Barrymore"", ""Dwayne Johnson"", ""Ed Sheeran"", ""Elon Musk"", ""Elvis Presley"", ""Emma Stone"", ""Frida Kahlo"", ""George Clooney"", ""Glenn Close"", ""Gwyneth Paltrow""]","{""Drew Barrymore"": 0.0, ""Dwayne Johnson"": 0.0, ""Ed Sheeran"": 0.0, ""Elon Musk"": 0.0, ""Elvis Presley"": 0.2, ""Emma Stone"": 0.0, ""Frida Kahlo"": 0.0, ""George Clooney"": 0.0, ""Glenn Close"": 0.0, ""Gwyneth Paltrow"": 0.0}",0.02,0.0,0.2,30,"{""Adam Driver"": 0.0, ""Adriana Lima"": 0.0, ""Amber Heard"": 0.0, ""Amy Adams"": 0.0, ""Andrew Garfield"": 0.0, ""Angelina Jolie"": 0.0, ""Anjelica Huston"": 0.0, ""Anna Faris"": 0.25, ""Anna Kendrick"": 0.0, ""Anne Hathaway"": 0.0, ""Arnold Schwarzenegger"": 0.0, ""Barack Obama"": 0.0, ""Beth Behrs"": 0.0, ""Bill Clinton"": 0.0, ""Bob Dylan"": 0.0, ""Bob Marley"": 0.0, ""Bradley Cooper"": 0.0, ""Bruce Willis"": 0.0, ""Bryan Cranston"": 0.0, ""Cameron Diaz"": 0.0, ""Channing Tatum"": 0.0, ""Charlie Sheen"": 0.0, ""Charlize Theron"": 1.0, ""Chris Evans"": 0.0, ""Chris Hemsworth"": 0.0, ""Chris Pine"": 0.0, ""Chuck Norris"": 0.0, ""Courteney Cox"": 0.0, ""Demi Lovato"": 0.0, ""Drake"": 0.0}",0.041666666666666664,0.0,1.0,0.9077568134171907,200,500,477,de23d0a403327df395d357ed446dc42b82f7c63c4363404d568f19934f76c3df
order_a,baseline,5,"[""Harrison Ford"", ""Hillary Clinton"", ""Hugh Jackman"", ""Idris Elba"", ""Jake Gyllenhaal"", ""James Franco"", ""Jared Leto"", ""Jason Momoa"", ""Jennifer Aniston"", ""Jennifer Lawrence""]","{""Harrison Ford"": 0.0, ""Hillary Clinton"": 0.0, ""Hugh Jackman"": 0.0, ""Idris Elba"": 0.0, ""Jake Gyllenhaal"": 0.8, ""James Franco"": 0.0, ""Jared Leto"": 0.0, ""Jason Momoa"": 0.0, ""Jennifer Aniston"": 0.0, ""Jennifer Lawrence"": 0.0}",0.08,0.0,0.8,40,"{""Adam Driver"": 0.0, ""Adriana Lima"": 0.0, ""Amber Heard"": 0.0, ""Amy Adams"": 0.0, ""Andrew Garfield"": 0.0, ""Angelina Jolie"": 0.0, ""Anjelica Huston"": 0.0, ""Anna Faris"": 0.25, ""Anna Kendrick"": 0.0, ""Anne Hathaway"": 0.0, ""Arnold Schwarzenegger"": 0.0, ""Barack Obama"": 0.0, ""Beth Behrs"": 0.0, ""Bill Clinton"": 0.0, ""Bob Dylan"": 0.0, ""Bob Marley"": 0.0, ""Bradley Cooper"": 0.0, ""Bruce Willis"": 0.0, ""Bryan Cranston"": 0.0, ""Cameron Diaz"": 0.0, ""Channing Tatum"": 0.0, ""Charlie Sheen"": 0.0, ""Charlize Theron"": 0.6666666666666666, ""Chris Evans"": 0.0, ""Chris Hemsworth"": 0.0, ""Chris Pine"": 0.0, ""Chuck Norris"": 0.0, ""Courteney Cox"": 0.0, ""Demi Lovato"": 0.0, ""Drake"": 0.0, ""Drew Barrymore"": 0.0, ""Dwayne Johnson"": 0.0, ""Ed Sheeran"": 0.0, ""Elon Musk"": 0.0, ""Elvis Presley"": 0.2, ""Emma Stone"": 0.0, ""Frida Kahlo"": 0.0, ""George Clooney"": 0.0, ""Glenn Close"": 0.0, ""Gwyneth Paltrow"": 0.0}",0.027916666666666666,0.0,0.6666666666666666,0.9012605042016807,250,500,476,71061ec5477b9a1a06902967f8f306af6b71a762f8678fb64d9c776a368b1b22
order_a,baseline,6,"[""Jennifer Lopez"", ""Jeremy Renner"", ""Jessica Biel"", ""Jessica Chastain"", ""John Oliver"", ""John Wayne"", ""Johnny Depp"", ""Julianne Hough"", ""Justin Timberlake"", ""Kate Bosworth""]","{""Jennifer Lopez"": 0.0, ""Jeremy Renner"": 0.0, ""Jessica Biel"": 0.0, ""Jessica Chastain"": 0.0, ""John Oliver"": 0.0, ""John Wayne"": 0.0, ""Johnny Depp"": 0.0, ""Julianne Hough"": 0.0, ""Justin Timberlake"": 0.0, ""Kate Bosworth"": 0.0}",0.0,0.0,0.0,50,"{""Adam Driver"": 0.0, ""Adriana Lima"": 0.0, ""Amber Heard"": 0.0, ""Amy Adams"": 0.0, ""Andrew Garfield"": 0.0, ""Angelina Jolie"": 0.0, ""Anjelica Huston"": 0.0, ""Anna Faris"": 0.25, ""Anna Kendrick"": 0.0, ""Anne Hathaway"": 0.0, ""Arnold Schwarzenegger"": 0.0, ""Barack Obama"": 0.0, ""Beth Behrs"": 0.0, ""Bill Clinton"": 0.0, ""Bob Dylan"": 0.0, ""Bob Marley"": 0.0, ""Bradley Cooper"": 0.0, ""Bruce Willis"": 0.0, ""Bryan Cranston"": 0.0, ""Cameron Diaz"": 0.0, ""Channing Tatum"": 0.0, ""Charlie Sheen"": 0.0, ""Charlize Theron"": 1.0, ""Chris Evans"": 0.0, ""Chris Hemsworth"": 0.2, ""Chris Pine"": 0.0, ""Chuck Norris"": 0.0, ""Courteney Cox"": 0.0, ""Demi Lovato"": 0.0, ""Drake"": 0.0, ""Drew Barrymore"": 0.0, ""Dwayne Johnson"": 0.0, ""Ed Sheeran"": 0.0, ""Elon Musk"": 0.0, ""Elvis Presley"": 0.4, ""Emma Stone"": 0.0, ""Frida Kahlo"": 0.0, ""George Clooney"": 0.0, ""Glenn Close"": 0.0, ""Gwyneth Paltrow"": 0.0, ""Harrison Ford"": 0.0, ""Hillary Clinton"": 0.0, ""Hugh Jackman"": 0.0, ""Idris Elba"": 0.0, ""Jake Gyllenhaal"": 1.0, ""James Franco"": 0.0, ""Jared Leto"": 0.0, ""Jason Momoa"": 0.0, ""Jennifer Aniston"": 0.0, ""Jennifer Lawrence"": 0.0}",0.057,0.0,1.0,0.9126819126819127,300,500,481,46f4b38ec2565b79e7369e95804aed793000334731576ccbfb254bcb9cd70663
order_a,baseline,7,"[""Kate Winslet"", ""Leonardo Dicaprio"", ""Margot Robbie"", ""Mariah Carey"", ""Melania Trump"", ""Meryl Streep"", ""Mick Jagger"", ""Mila Kunis"", ""Milla Jovovich"", ""Morgan Freeman""]","{""Kate Winslet"": 0.0, ""Leonardo Dicaprio"": 0.0, ""Margot Robbie"": 0.75, ""Mariah Carey"": 0.0, ""Melania Trump"": 0.0, ""Meryl Streep"": 0.0, ""Mick Jagger"": 0.0, ""Mila Kunis"": 0.5, ""Milla Jovovich"": 0.0, ""Morgan Freeman"": 0.0}",0.125,0.0,0.75,60,"{""Adam Driver"": 0.0, ""Adriana Lima"": 0.0, ""Amber Heard"": 0.0, ""Amy Adams"": 0.0, ""Andrew Garfield"": 0.0, ""Angelina Jolie"": 0.0, ""Anjelica Huston"": 0.0, ""Anna Faris"": 0.0, ""Anna Kendrick"": 0.0, ""Anne Hathaway"": 0.0, ""Arnold Schwarzenegger"": 0.0, ""Barack Obama"": 0.0, ""Beth Behrs"": 0.0, ""Bill Clinton"": 0.0, ""Bob Dylan"": 0.0, ""Bob Marley"": 0.0, ""Bradley Cooper"": 0.0, ""Bruce Willis"": 0.0, ""Bryan Cranston"": 0.0, ""Cameron Diaz"": 0.0, ""Channing Tatum"": 0.0, ""Charlie Sheen"": 0.0, ""Charlize Theron"": 1.0, ""Chris Evans"": 0.0, ""Chris Hemsworth"": 0.0, ""Chris Pine"": 0.0, ""Chuck Norris"": 0.0, ""Courteney Cox"": 0.0, ""Demi Lovato"": 0.0, ""Drake"": 0.0, ""Drew Barrymore"": 0.0, ""Dwayne Johnson"": 0.0, ""Ed Sheeran"": 0.0, ""Elon Musk"": 0.0, ""Elvis Presley"": 0.4, ""Emma Stone"": 0.0, ""Frida Kahlo"": 0.0, ""George Clooney"": 0.0, ""Glenn Close"": 0.0, ""Gwyneth Paltrow"": 0.0, ""Harrison Ford"": 0.0, ""Hillary Clinton"": 0.0, ""Hugh Jackman"": 0.0, ""Idris Elba"": 0.0, ""Jake Gyllenhaal"": 0.8, ""James Franco"": 0.0, ""Jared Leto"": 0.0, ""Jason Momoa"": 0.0, ""Jennifer Aniston"": 0.0, ""Jennifer Lawrence"": 0.0, ""Jennifer Lopez"": 0.0, ""Jeremy Renner"": 0.0, ""Jessica Biel"": 0.0, ""Jessica Chastain"": 0.0, ""John Oliver"": 0.0, ""John Wayne"": 0.0, ""Johnny Depp"": 0.0, ""Julianne Hough"": 0.0, ""Justin Timberlake"": 0.0, ""Kate Bosworth"": 0.0}",0.03666666666666667,0.0,1.0,0.885593220338983,350,500,472,9f79280772f409d817e6b2de9f8c883bccc9d9a2aa2de3958b6878f78fd60ef0
order_a,baseline,8,"[""Nick Jonas"", ""Nicolas Cage"", ""Nicole Kidman"", ""Octavia Spencer"", ""Olivia Wilde"", ""Oprah Winfrey"", ""Paul Mccartney"", ""Paul Walker"", ""Peter Dinklage"", ""Philip Seymour Hoffman""]","{""Nick Jonas"": 0.0, ""Nicolas Cage"": 0.0, ""Nicole Kidman"": 0.0, ""Octavia Spencer"": 0.0, ""Olivia Wilde"": 0.0, ""Oprah Winfrey"": 0.0, ""Paul Mccartney"": 0.0, ""Paul Walker"": 0.0, ""Peter Dinklage"": 0.0, ""Philip Seymour Hoffman"": 0.0}",0.0,0.0,0.0,70,"{""Adam Driver"": 0.0, ""Adriana Lima"": 0.0, ""Amber Heard"": 0.0, ""Amy Adams"": 0.0, ""Andrew Garfield"": 0.0, ""Angelina Jolie"": 0.0, ""Anjelica Huston"": 0.0, ""Anna Faris"": 0.2, ""Anna Kendrick"": 0.0, ""Anne Hathaway"": 0.0, ""Arnold Schwarzenegger"": 0.0, ""Barack Obama"": 0.0, ""Beth Behrs"": 0.0, ""Bill Clinton"": 0.0, ""Bob Dylan"": 0.0, ""Bob Marley"": 0.0, ""Bradley Cooper"": 0.0, ""Bruce Willis"": 0.0, ""Bryan Cranston"": 0.0, ""Cameron Diaz"": 0.0, ""Channing Tatum"": 0.0, ""Charlie Sheen"": 0.0, ""Charlize Theron"": 1.0, ""Chris Evans"": 0.0, ""Chris Hemsworth"": 0.0, ""Chris Pine"": 0.0, ""Chuck Norris"": 0.0, ""Courteney Cox"": 0.0, ""Demi Lovato"": 0.0, ""Drake"": 0.0, ""Drew Barrymore"": 0.0, ""Dwayne Johnson"": 0.0, ""Ed Sheeran"": 0.0, ""Elon Musk"": 0.0, ""Elvis Presley"": 0.6, ""Emma Stone"": 0.0, ""Frida Kahlo"": 0.0, ""George Clooney"": 0.0, ""Glenn Close"": 0.0, ""Gwyneth Paltrow"": 0.0, ""Harrison Ford"": 0.0, ""Hillary Clinton"": 0.0, ""Hugh Jackman"": 0.0, ""Idris Elba"": 0.0, ""Jake Gyllenhaal"": 0.8, ""James Franco"": 0.0, ""Jared Leto"": 0.0, ""Jason Momoa"": 0.0, ""Jennifer Aniston"": 0.0, ""Jennifer Lawrence"": 0.0, ""Jennifer Lopez"": 0.0, ""Jeremy Renner"": 0.0, ""Jessica Biel"": 0.0, ""Jessica Chastain"": 0.0, ""John Oliver"": 0.0, ""John Wayne"": 0.0, ""Johnny Depp"": 0.0, ""Julianne Hough"": 0.0, ""Justin Timberlake"": 0.0, ""Kate Bosworth"": 0.0, ""Kate Winslet"": 0.0, ""Leonardo Dicaprio"": 0.0, ""Margot Robbie"": 0.75, ""Mariah Carey"": 0.0, ""Melania Trump"": 0.0, ""Meryl Streep"": 0.0, ""Mick Jagger"": 0.0, ""Mila Kunis"": 0.0, ""Milla Jovovich"": 0.0, ""Morgan Freeman"": 0.0}",0.047857142857142855,0.0,1.0,0.8829787234042553,400,500,470,267a208d43ee9e504fd91e5a907236f2292d48d05445d916e84340f50d101521
order_a,baseline,9,"[""Reese Witherspoon"", ""Richard Gere"", ""Ricky Gervais"", ""Rihanna"", ""Robin Williams"", ""Ronald Reagan"", ""Ryan Gosling"", ""Ryan Reynolds"", ""Shia Labeouf"", ""Shirley Temple""]","{""Reese Witherspoon"": 0.0, ""Richard Gere"": 0.4, ""Ricky Gervais"": 0.0, ""Rihanna"": 0.0, ""Robin Williams"": 0.0, ""Ronald Reagan"": 0.0, ""Ryan Gosling"": 0.0, ""Ryan Reynolds"": 0.0, ""Shia Labeouf"": 0.0, ""Shirley Temple"": 0.0}",0.04,0.0,0.4,80,"{""Adam Driver"": 0.0, ""Adriana Lima"": 0.0, ""Amber Heard"": 0.0, ""Amy Adams"": 0.0, ""Andrew Garfield"": 0.0, ""Angelina Jolie"": 0.0, ""Anjelica Huston"": 0.0, ""Anna Faris"": 0.4, ""Anna Kendrick"": 0.0, ""Anne Hathaway"": 0.0, ""Arnold Schwarzenegger"": 0.0, ""Barack Obama"": 0.0, ""Beth Behrs"": 0.0, ""Bill Clinton"": 0.0, ""Bob Dylan"": 0.0, ""Bob Marley"": 0.0, ""Bradley Cooper"": 0.0, ""Bruce Willis"": 0.0, ""Bryan Cranston"": 0.0, ""Cameron Diaz"": 0.0, ""Channing Tatum"": 0.0, ""Charlie Sheen"": 0.0, ""Charlize Theron"": 0.5, ""Chris Evans"": 0.0, ""Chris Hemsworth"": 0.0, ""Chris Pine"": 0.0, ""Chuck Norris"": 0.0, ""Courteney Cox"": 0.0, ""Demi Lovato"": 0.0, ""Drake"": 0.0, ""Drew Barrymore"": 0.0, ""Dwayne Johnson"": 0.0, ""Ed Sheeran"": 0.0, ""Elon Musk"": 0.0, ""Elvis Presley"": 0.4, ""Emma Stone"": 0.0, ""Frida Kahlo"": 0.0, ""George Clooney"": 0.0, ""Glenn Close"": 0.0, ""Gwyneth Paltrow"": 0.0, ""Harrison Ford"": 0.0, ""Hillary Clinton"": 0.0, ""Hugh Jackman"": 0.0, ""Idris Elba"": 0.0, ""Jake Gyllenhaal"": 0.8, ""James Franco"": 0.0, ""Jared Leto"": 0.0, ""Jason Momoa"": 0.0, ""Jennifer Aniston"": 0.0, ""Jennifer Lawrence"": 0.0, ""Jennifer Lopez"": 0.0, ""Jeremy Renner"": 0.0, ""Jessica Biel"": 0.0, ""Jessica Chastain"": 0.0, ""John Oliver"": 0.0, ""John Wayne"": 0.0, ""Johnny Depp"": 0.0, ""Julianne Hough"": 0.0, ""Justin Timberlake"": 0.0, ""Kate Bosworth"": 0.0, ""Kate Winslet"": 0.0, ""Leonardo Dicaprio"": 0.0, ""Margot Robbie"": 1.0, ""Mariah Carey"": 0.0, ""Melania Trump"": 0.0, ""Meryl Streep"": 0.0, ""Mick Jagger"": 0.0, ""Mila Kunis"": 0.0, ""Milla Jovovich"": 0.0, ""Morgan Freeman"": 0.0, ""Nick Jonas"": 0.0, ""Nicolas Cage"": 0.0, ""Nicole Kidman"": 0.0, ""Octavia Spencer"": 0.0, ""Olivia Wilde"": 0.0, ""Oprah Winfrey"": 0.0, ""Paul Mccartney"": 0.0, ""Paul Walker"": 0.0, ""Peter Dinklage"": 0.0, ""Philip Seymour Hoffman"": 0.0}",0.03875,0.0,1.0,0.8795698924731182,450,500,465,0f662bf0f20db328ab4e406f30a4fdd392af51a6f264ca04cc26bda8c1068018
order_a,baseline,10,"[""Spike Lee"", ""Stan Lee"", ""Theresa May"", ""Tom Cruise"", ""Tom Hanks"", ""Tom Hardy"", ""Tom Hiddleston"", ""Whoopi Goldberg"", ""Zac Efron"", ""Zayn Malik""]","{""Spike Lee"": 0.0, ""Stan Lee"": 0.0, ""Theresa May"": 0.0, ""Tom Cruise"": 0.0, ""Tom Hanks"": 0.0, ""Tom Hardy"": 0.0, ""Tom Hiddleston"": 0.0, ""Whoopi Goldberg"": 0.0, ""Zac Efron"": 0.0, ""Zayn Malik"": 0.0}",0.0,0.0,0.0,90,"{""Adam Driver"": 0.0, ""Adriana Lima"": 0.0, ""Amber Heard"": 0.0, ""Amy Adams"": 0.0, ""Andrew Garfield"": 0.0, ""Angelina Jolie"": 0.0, ""Anjelica Huston"": 0.0, ""Anna Faris"": 0.2, ""Anna Kendrick"": 0.0, ""Anne Hathaway"": 0.0, ""Arnold Schwarzenegger"": 0.0, ""Barack Obama"": 0.0, ""Beth Behrs"": 0.0, ""Bill Clinton"": 0.0, ""Bob Dylan"": 0.0, ""Bob Marley"": 0.2, ""Bradley Cooper"": 0.0, ""Bruce Willis"": 0.0, ""Bryan Cranston"": 0.0, ""Cameron Diaz"": 0.0, ""Channing Tatum"": 0.2, ""Charlie Sheen"": 0.0, ""Charlize Theron"": 0.6, ""Chris Evans"": 0.0, ""Chris Hemsworth"": 0.0, ""Chris Pine"": 0.0, ""Chuck Norris"": 0.0, ""Courteney Cox"": 0.0, ""Demi Lovato"": 0.0, ""Drake"": 0.0, ""Drew Barrymore"": 0.0, ""Dwayne Johnson"": 0.0, ""Ed Sheeran"": 0.0, ""Elon Musk"": 0.2, ""Elvis Presley"": 0.2, ""Emma Stone"": 0.0, ""Frida Kahlo"": 0.0, ""George Clooney"": 0.0, ""Glenn Close"": 0.0, ""Gwyneth Paltrow"": 0.0, ""Harrison Ford"": 0.2, ""Hillary Clinton"": 0.0, ""Hugh Jackman"": 0.0, ""Idris Elba"": 0.0, ""Jake Gyllenhaal"": 0.8, ""James Franco"": 0.0, ""Jared Leto"": 0.0, ""Jason Momoa"": 0.0, ""Jennifer Aniston"": 0.0, ""Jennifer Lawrence"": 0.0, ""Jennifer Lopez"": 0.0, ""Jeremy Renner"": 0.0, ""Jessica Biel"": 0.0, ""Jessica Chastain"": 0.0, ""John Oliver"": 0.0, ""John Wayne"": 0.0, ""Johnny Depp"": 0.0, ""Julianne Hough"": 0.0, ""Justin Timberlake"": 0.0, ""Kate Bosworth"": 0.0, ""Kate Winslet"": 0.0, ""Leonardo Dicaprio"": 0.0, ""Margot Robbie"": 1.0, ""Mariah Carey"": 0.0, ""Melania Trump"": 0.0, ""Meryl Streep"": 0.0, ""Mick Jagger"": 0.0, ""Mila Kunis"": 0.2, ""Milla Jovovich"": 0.0, ""Morgan Freeman"": 0.0, ""Nick Jonas"": 0.0, ""Nicolas Cage"": 0.0, ""Nicole Kidman"": 0.0, ""Octavia Spencer"": 0.0, ""Olivia Wilde"": 0.0, ""Oprah Winfrey"": 0.0, ""Paul Mccartney"": 0.0, ""Paul Walker"": 0.0, ""Peter Dinklage"": 0.4, ""Philip Seymour Hoffman"": 0.0, ""Reese Witherspoon"": 0.0, ""Richard Gere"": 0.2, ""Ricky Gervais"": 0.0, ""Rihanna"": 0.0, ""Robin Williams"": 0.0, ""Ronald Reagan"": 0.0, ""Ryan Gosling"": 0.0, ""Ryan Reynolds"": 0.0, ""Shia Labeouf"": 0.0, ""Shirley Temple"": 0.2}",0.051111111111111114,0.0,1.0,0.8853503184713376,500,500,471,e16797ca1a2084cfcec7b7b4909e526384ea797ab009221eabd4227d9edefae8
