experiment,part,condition,checkpoint,target,anchor,existing_images,new_images,final_predictions,seed_start,seed_end,seed_sha256,existing_seed_start,existing_seed_end,new_seed_start,new_seed_end,combined_seed_sha256
experiment1,direct_single_from_W0,direct_single,W0_erase_airplane,airplane,sky,0,200,200,42,241,1d9219426d1b0c9d0b351d9426d1889770a5b687c52affa87379c8b001b5e601,,,,,
experiment1,direct_single_from_W0,direct_single,W0_erase_automobile,automobile,truck,0,200,200,42,241,1d9219426d1b0c9d0b351d9426d1889770a5b687c52affa87379c8b001b5e601,,,,,
experiment1,direct_single_from_W0,direct_single,W0_erase_bird,bird,cat,0,200,200,42,241,1d9219426d1b0c9d0b351d9426d1889770a5b687c52affa87379c8b001b5e601,,,,,
experiment1,direct_single_from_W0,direct_single,W0_erase_cat,cat,dog,0,200,200,42,241,1d9219426d1b0c9d0b351d9426d1889770a5b687c52affa87379c8b001b5e601,,,,,
experiment1,direct_single_from_W0,direct_single,W0_erase_deer,deer,horse,0,200,200,42,241,1d9219426d1b0c9d0b351d9426d1889770a5b687c52affa87379c8b001b5e601,,,,,
experiment1,direct_single_from_W0,direct_single,W0_erase_dog,dog,cat,0,200,200,42,241,1d9219426d1b0c9d0b351d9426d1889770a5b687c52affa87379c8b001b5e601,,,,,
experiment1,direct_single_from_W0,direct_single,W0_erase_frog,frog,bird,0,200,200,42,241,1d9219426d1b0c9d0b351d9426d1889770a5b687c52affa87379c8b001b5e601,,,,,
experiment1,direct_single_from_W0,direct_single,W0_erase_horse,horse,deer,0,200,200,42,241,1d9219426d1b0c9d0b351d9426d1889770a5b687c52affa87379c8b001b5e601,,,,,
experiment1,direct_single_from_W0,direct_single,W0_erase_ship,ship,airplane,0,200,200,42,241,1d9219426d1b0c9d0b351d9426d1889770a5b687c52affa87379c8b001b5e601,,,,,
experiment1,direct_single_from_W0,direct_single,W0_erase_truck,truck,ship,0,200,200,42,241,1d9219426d1b0c9d0b351d9426d1889770a5b687c52affa87379c8b001b5e601,,,,,
experiment1,sequential_own_step_supplement,retain_once,W01,airplane,sky,100,100,200,,,,42,141,142,241,1d9219426d1b0c9d0b351d9426d1889770a5b687c52affa87379c8b001b5e601
experiment1,sequential_own_step_supplement,retain_once,W02,automobile,truck,100,100,200,,,,42,141,142,241,1d9219426d1b0c9d0b351d9426d1889770a5b687c52affa87379c8b001b5e601
experiment1,sequential_own_step_supplement,retain_once,W03,bird,cat,100,100,200,,,,42,141,142,241,1d9219426d1b0c9d0b351d9426d1889770a5b687c52affa87379c8b001b5e601
experiment1,sequential_own_step_supplement,retain_once,W04,cat,dog,100,100,200,,,,42,141,142,241,1d9219426d1b0c9d0b351d9426d1889770a5b687c52affa87379c8b001b5e601
experiment1,sequential_own_step_supplement,retain_once,W05,deer,horse,100,100,200,,,,42,141,142,241,1d9219426d1b0c9d0b351d9426d1889770a5b687c52affa87379c8b001b5e601
experiment1,sequential_own_step_supplement,retain_once,W06,dog,cat,100,100,200,,,,42,141,142,241,1d9219426d1b0c9d0b351d9426d1889770a5b687c52affa87379c8b001b5e601
