pair,concept,variant,accuracy_when_erased_first,accuracy_when_erased_second,raw_difference_first_minus_second
airplane|cat,airplane,baseline,0.045,0.02,0.024999999999999998
airplane|cat,airplane,retain_previous,0.035,0.02,0.015000000000000003
airplane|cat,cat,baseline,0.0,0.0,0.0
airplane|cat,cat,retain_previous,0.0,0.0,0.0
automobile|bird,automobile,baseline,0.9,0.975,-0.07499999999999996
automobile|bird,automobile,retain_previous,0.915,0.975,-0.05999999999999994
automobile|bird,bird,baseline,0.655,0.555,0.09999999999999998
automobile|bird,bird,retain_previous,0.57,0.56,0.009999999999999898
deer|dog,deer,baseline,0.0,0.0,0.0
deer|dog,deer,retain_previous,0.005,0.0,0.005
deer|dog,dog,baseline,0.005,0.005,0.0
deer|dog,dog,retain_previous,0.005,0.015,-0.009999999999999998
frog|ship,frog,baseline,0.03,0.055,-0.025
frog|ship,frog,retain_previous,0.02,0.065,-0.045
frog|ship,ship,baseline,0.06,0.085,-0.02500000000000001
frog|ship,ship,retain_previous,0.045,0.065,-0.020000000000000004
horse|truck,horse,baseline,0.055,0.055,0.0
horse|truck,horse,retain_previous,0.06,0.07,-0.010000000000000009
horse|truck,truck,baseline,0.055,0.05,0.0049999999999999975
horse|truck,truck,retain_previous,0.045,0.065,-0.020000000000000004
