pair,order,variant,stage,class,number_of_generated_samples,accuracy,seed_set_identifier,checkpoint_identifier
all,original,original,0,airplane,200,1.0,cifar10_fixed_42_241,133a221b8aa7292a167afc5127cb63fb5005638b
all,original,original,0,automobile,200,0.995,cifar10_fixed_42_241,133a221b8aa7292a167afc5127cb63fb5005638b
all,original,original,0,bird,200,1.0,cifar10_fixed_42_241,133a221b8aa7292a167afc5127cb63fb5005638b
all,original,original,0,cat,200,1.0,cifar10_fixed_42_241,133a221b8aa7292a167afc5127cb63fb5005638b
all,original,original,0,deer,200,1.0,cifar10_fixed_42_241,133a221b8aa7292a167afc5127cb63fb5005638b
all,original,original,0,dog,200,1.0,cifar10_fixed_42_241,133a221b8aa7292a167afc5127cb63fb5005638b
all,original,original,0,frog,200,1.0,cifar10_fixed_42_241,133a221b8aa7292a167afc5127cb63fb5005638b
all,original,original,0,horse,200,1.0,cifar10_fixed_42_241,133a221b8aa7292a167afc5127cb63fb5005638b
all,original,original,0,ship,200,1.0,cifar10_fixed_42_241,133a221b8aa7292a167afc5127cb63fb5005638b
all,original,original,0,truck,200,0.995,cifar10_fixed_42_241,133a221b8aa7292a167afc5127cb63fb5005638b
airplane|cat,airplane->cat,stage1,1,airplane,200,0.015,cifar10_fixed_42_241,1b1e1fee50a369c95f2b111a2effc17f8b5d512e1ce230e75115edf0be16f7a6
airplane|cat,airplane->cat,stage1,1,automobile,200,1.0,cifar10_fixed_42_241,1b1e1fee50a369c95f2b111a2effc17f8b5d512e1ce230e75115edf0be16f7a6
airplane|cat,airplane->cat,stage1,1,bird,200,1.0,cifar10_fixed_42_241,1b1e1fee50a369c95f2b111a2effc17f8b5d512e1ce230e75115edf0be16f7a6
airplane|cat,airplane->cat,stage1,1,cat,200,1.0,cifar10_fixed_42_241,1b1e1fee50a369c95f2b111a2effc17f8b5d512e1ce230e75115edf0be16f7a6
airplane|cat,airplane->cat,stage1,1,deer,200,1.0,cifar10_fixed_42_241,1b1e1fee50a369c95f2b111a2effc17f8b5d512e1ce230e75115edf0be16f7a6
airplane|cat,airplane->cat,stage1,1,dog,200,1.0,cifar10_fixed_42_241,1b1e1fee50a369c95f2b111a2effc17f8b5d512e1ce230e75115edf0be16f7a6
airplane|cat,airplane->cat,stage1,1,frog,200,1.0,cifar10_fixed_42_241,1b1e1fee50a369c95f2b111a2effc17f8b5d512e1ce230e75115edf0be16f7a6
airplane|cat,airplane->cat,stage1,1,horse,200,1.0,cifar10_fixed_42_241,1b1e1fee50a369c95f2b111a2effc17f8b5d512e1ce230e75115edf0be16f7a6
airplane|cat,airplane->cat,stage1,1,ship,200,1.0,cifar10_fixed_42_241,1b1e1fee50a369c95f2b111a2effc17f8b5d512e1ce230e75115edf0be16f7a6
airplane|cat,airplane->cat,stage1,1,truck,200,1.0,cifar10_fixed_42_241,1b1e1fee50a369c95f2b111a2effc17f8b5d512e1ce230e75115edf0be16f7a6
airplane|cat,airplane->cat,baseline_second,2,airplane,200,0.045,cifar10_fixed_42_241,ccd180a9e38b110a11548bea1c53dce6953acad9f646d7959994fa95d750f679
airplane|cat,airplane->cat,baseline_second,2,automobile,200,1.0,cifar10_fixed_42_241,ccd180a9e38b110a11548bea1c53dce6953acad9f646d7959994fa95d750f679
airplane|cat,airplane->cat,baseline_second,2,bird,200,1.0,cifar10_fixed_42_241,ccd180a9e38b110a11548bea1c53dce6953acad9f646d7959994fa95d750f679
airplane|cat,airplane->cat,baseline_second,2,cat,200,0.0,cifar10_fixed_42_241,ccd180a9e38b110a11548bea1c53dce6953acad9f646d7959994fa95d750f679
airplane|cat,airplane->cat,baseline_second,2,deer,200,1.0,cifar10_fixed_42_241,ccd180a9e38b110a11548bea1c53dce6953acad9f646d7959994fa95d750f679
airplane|cat,airplane->cat,baseline_second,2,dog,200,1.0,cifar10_fixed_42_241,ccd180a9e38b110a11548bea1c53dce6953acad9f646d7959994fa95d750f679
airplane|cat,airplane->cat,baseline_second,2,frog,200,1.0,cifar10_fixed_42_241,ccd180a9e38b110a11548bea1c53dce6953acad9f646d7959994fa95d750f679
airplane|cat,airplane->cat,baseline_second,2,horse,200,1.0,cifar10_fixed_42_241,ccd180a9e38b110a11548bea1c53dce6953acad9f646d7959994fa95d750f679
airplane|cat,airplane->cat,baseline_second,2,ship,200,1.0,cifar10_fixed_42_241,ccd180a9e38b110a11548bea1c53dce6953acad9f646d7959994fa95d750f679
