pair,order,first_target,second_target,first_after_first,first_after_baseline,first_after_retain,baseline_delta_from_stage1,retain_delta_from_stage1,retain_minus_baseline_first_final,second_baseline,second_retain,retain_minus_baseline_second_final,remaining_8_baseline,remaining_8_retain,retain_minus_baseline_remaining_8
airplane|cat,airplane->cat,airplane,cat,0.015,0.045,0.035,0.03,0.020000000000000004,-0.009999999999999995,0.0,0.0,0.0,1.0,1.0,0.0
airplane|cat,cat->airplane,cat,airplane,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,1.0,1.0,0.0
automobile|bird,automobile->bird,automobile,bird,0.9,0.9,0.915,0.0,0.015000000000000013,0.015000000000000013,0.555,0.56,0.0050000000000000044,1.0,1.0,0.0
automobile|bird,bird->automobile,bird,automobile,0.57,0.655,0.57,0.08500000000000008,0.0,-0.08500000000000008,0.975,0.975,0.0,1.0,1.0,0.0
deer|dog,deer->dog,deer,dog,0.0,0.0,0.005,0.0,0.005,0.005,0.005,0.015,0.009999999999999998,0.99875,0.99875,0.0
deer|dog,dog->deer,dog,deer,0.005,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.999375,0.998125,-0.0012499999999999734
frog|ship,frog->ship,frog,ship,0.05,0.03,0.02,-0.020000000000000004,-0.030000000000000002,-0.009999999999999998,0.085,0.065,-0.020000000000000004,1.0,0.99875,-0.0012499999999999734
frog|ship,ship->frog,ship,frog,0.055,0.06,0.045,0.0049999999999999975,-0.010000000000000002,-0.015,0.055,0.065,0.010000000000000002,0.99875,0.999375,0.0006249999999999867
horse|truck,horse->truck,horse,truck,0.075,0.055,0.06,-0.019999999999999997,-0.015,0.0049999999999999975,0.05,0.065,0.015,1.0,1.0,0.0
horse|truck,truck->horse,truck,horse,0.075,0.055,0.045,-0.019999999999999997,-0.03,-0.010000000000000002,0.055,0.07,0.015000000000000006,1.0,1.0,0.0
