pair,order,first_target,second_target,first_target_accuracy_after_first_edit,first_target_accuracy_after_second_baseline,first_target_accuracy_after_retain_previous_second,first_target_raw_delta_after_second_baseline,first_target_raw_delta_after_retain_previous_second,second_target_final_accuracy_baseline,second_target_final_accuracy_retain_previous,second_target_raw_difference_retain_minus_baseline,remaining_8_mean_accuracy_baseline,remaining_8_mean_accuracy_retain_previous,remaining_8_mean_raw_difference_retain_minus_baseline,stage1_Acc_e,stage1_Acc_s,stage1_H_o
airplane|cat,airplane->cat,airplane,cat,0.015,0.045,0.035,0.03,0.020000000000000004,0.0,0.0,0.0,1.0,1.0,0.0,0.015,1.0,0.9924433249370277
airplane|cat,cat->airplane,cat,airplane,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,1.0,1.0,0.0,0.0,1.0,1.0
automobile|bird,automobile->bird,automobile,bird,0.9,0.9,0.915,0.0,0.015000000000000013,0.555,0.56,0.0050000000000000044,1.0,1.0,0.0,0.9,1.0,0.1818181818181818
automobile|bird,bird->automobile,bird,automobile,0.57,0.655,0.57,0.08500000000000008,0.0,0.975,0.975,0.0,1.0,1.0,0.0,0.57,1.0,0.6013986013986015
deer|dog,deer->dog,deer,dog,0.0,0.0,0.005,0.0,0.005,0.005,0.015,0.009999999999999998,0.99875,0.99875,0.0,0.0,0.9988888888888889,0.9994441356309061
deer|dog,dog->deer,dog,deer,0.005,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.999375,0.998125,-0.0012499999999999734,0.005,1.0,0.9974937343358397
frog|ship,frog->ship,frog,ship,0.05,0.03,0.02,-0.020000000000000004,-0.030000000000000002,0.085,0.065,-0.020000000000000004,1.0,0.99875,-0.0012499999999999734,0.05,1.0,0.9743589743589745
frog|ship,ship->frog,ship,frog,0.055,0.06,0.045,0.0049999999999999975,-0.010000000000000002,0.055,0.065,0.010000000000000002,0.99875,0.999375,0.0006249999999999867,0.055,0.9994444444444446,0.97146
horse|truck,horse->truck,horse,truck,0.075,0.055,0.06,-0.019999999999999997,-0.015,0.05,0.065,0.015,1.0,1.0,0.0,0.075,1.0,0.9610389610389612
horse|truck,truck->horse,truck,horse,0.075,0.055,0.045,-0.019999999999999997,-0.03,0.055,0.07,0.015000000000000006,1.0,1.0,0.0,0.075,1.0,0.9610389610389612
