condition,target,erased_at_step,accuracy_at_erasure,maximum_later_accuracy,maximum_at_checkpoint,maximum_increase,material_change_threshold,significant_resurgence
retain_once,airplane,1,0.04,0.12,W02,0.07999999999999999,0.1,False
retain_once,automobile,2,0.71,0.8,W10,0.09000000000000008,0.1,False
retain_once,bird,3,0.47,0.91,W08,0.44000000000000006,0.1,True
retain_once,cat,4,0.0,0.0,W04,0.0,0.1,False
retain_once,deer,5,0.0,0.0,W05,0.0,0.1,False
retain_once,dog,6,0.13,0.85,W08,0.72,0.1,True
retain_once,frog,7,0.1,0.1,W07,0.0,0.1,False
retain_once,horse,8,0.1,0.1,W08,0.0,0.1,False
retain_once,ship,9,0.2,0.2,W09,0.0,0.1,False
retain_once,truck,10,0.4,0.4,W10,0.0,0.1,False
retain_always,airplane,1,0.04,0.1,W08,0.060000000000000005,0.1,False
retain_always,automobile,2,0.68,0.79,W09,0.10999999999999999,0.1,True
retain_always,bird,3,0.41,0.91,W09,0.5,0.1,True
retain_always,cat,4,0.0,0.0,W04,0.0,0.1,False
retain_always,deer,5,0.0,0.0,W05,0.0,0.1,False
retain_always,dog,6,0.11,0.79,W09,0.68,0.1,True
retain_always,frog,7,0.07,0.08,W08,0.009999999999999995,0.1,False
retain_always,horse,8,0.36,0.43,W10,0.07,0.1,False
retain_always,ship,9,0.2,0.2,W09,0.0,0.1,False
retain_always,truck,10,0.44,0.44,W10,0.0,0.1,False
