model,group,sample_id,concept,prompt,seed,image_path,expected_group,pred_group,expected_group_prob_proxy,pred_group_score,group_top1_hit,pred_concept,expected_concept_score,pred_concept_score,concept_top1_hit,prompt_alignment,drift_clip_cosine_to_original
original_sd15,target_religious_buildings,target_religious_buildings_0000,church,a realistic photo of church,12340,reports/scapre_ased_religious_buildings/tmp_images/original_sd15/target_religious_buildings/target_religious_buildings_0000.png,target_religious_buildings,target_religious_buildings,0.29171451926231384,0.29171451926231384,1,chapel,0.2951674461364746,0.3015987277030945,0,0.2924956679344177,
original_sd15,target_religious_buildings,target_religious_buildings_0001,church,a detailed image of church,12341,reports/scapre_ased_religious_buildings/tmp_images/original_sd15/target_religious_buildings/target_religious_buildings_0001.png,target_religious_buildings,target_religious_buildings,0.2584739923477173,0.2584739923477173,1,chapel,0.2731999456882477,0.2757124900817871,0,0.29992473125457764,
original_sd15,target_religious_buildings,target_religious_buildings_0002,cathedral,a realistic photo of cathedral,12342,reports/scapre_ased_religious_buildings/tmp_images/original_sd15/target_religious_buildings/target_religious_buildings_0002.png,target_religious_buildings,target_religious_buildings,0.2813747525215149,0.2813747525215149,1,cathedral,0.3017873466014862,0.3017873466014862,1,0.3070879280567169,
original_sd15,target_religious_buildings,target_religious_buildings_0003,cathedral,a detailed image of cathedral,12343,reports/scapre_ased_religious_buildings/tmp_images/original_sd15/target_religious_buildings/target_religious_buildings_0003.png,target_religious_buildings,target_religious_buildings,0.26870617270469666,0.26870617270469666,1,cathedral,0.2903496325016022,0.2903496325016022,1,0.3437192440032959,
original_sd15,target_religious_buildings,target_religious_buildings_0004,chapel,a realistic photo of chapel,12344,reports/scapre_ased_religious_buildings/tmp_images/original_sd15/target_religious_buildings/target_religious_buildings_0004.png,target_religious_buildings,target_religious_buildings,0.24098087847232819,0.24098087847232819,1,chapel,0.29836714267730713,0.29836714267730713,1,0.3209269940853119,
original_sd15,target_religious_buildings,target_religious_buildings_0005,chapel,a detailed image of chapel,12345,reports/scapre_ased_religious_buildings/tmp_images/original_sd15/target_religious_buildings/target_religious_buildings_0005.png,target_religious_buildings,target_religious_buildings,0.2793232798576355,0.2793232798576355,1,chapel,0.28409698605537415,0.28409698605537415,1,0.28805840015411377,
original_sd15,target_religious_buildings,target_religious_buildings_0006,basilica,a realistic photo of basilica,12346,reports/scapre_ased_religious_buildings/tmp_images/original_sd15/target_religious_buildings/target_religious_buildings_0006.png,target_religious_buildings,target_religious_buildings,0.2933233976364136,0.2933233976364136,1,basilica,0.30430757999420166,0.30430757999420166,1,0.3172931373119354,
original_sd15,target_religious_buildings,target_religious_buildings_0007,basilica,a detailed image of basilica,12347,reports/scapre_ased_religious_buildings/tmp_images/original_sd15/target_religious_buildings/target_religious_buildings_0007.png,target_religious_buildings,target_religious_buildings,0.2609653174877167,0.2609653174877167,1,cathedral,0.2745537757873535,0.2769284248352051,0,0.31502676010131836,
original_sd15,target_religious_buildings,target_religious_buildings_0008,mosque,a realistic photo of mosque,12348,reports/scapre_ased_religious_buildings/tmp_images/original_sd15/target_religious_buildings/target_religious_buildings_0008.png,target_religious_buildings,target_religious_buildings,0.2845773994922638,0.2845773994922638,1,mosque,0.30838921666145325,0.30838921666145325,1,0.3068811595439911,
original_sd15,target_religious_buildings,target_religious_buildings_0009,mosque,a detailed image of mosque,12349,reports/scapre_ased_religious_buildings/tmp_images/original_sd15/target_religious_buildings/target_religious_buildings_0009.png,target_religious_buildings,target_religious_buildings,0.2633725702762604,0.2633725702762604,1,quran,0.2731281518936157,0.279870867729187,0,0.29977336525917053,
